id,style,link,brand,description,day dress,category,price,color,Fabric,Outer Fabric,Lining,Care instructions,Collar,Collar,Cut,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Jacket length,Q1,Q2,Q3,Q4,Q5
11,girly,https://www.zalando.co.uk/vero-moda-petite-vmnora-new-singlet-calf-dress-day-dress-granada-skysnow-white-vm021c0a7-k11.html,Vero Moda Petite,VMNORA NEW SINGLET CALF DRESS , Day dress,summer-dresses,34.99,pastel blue,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Laces,,spaghetti,Polka dot,Adjustable straps,VM021C0A7-K11,Calf-length,Spaghetti straps,"39.5 "" (Size S)",Regular Fit,--,--,No,No,No,No,Yes
12,sporty,https://www.zalando.co.uk/jdy-jdymary-dress-day-dress-dark-grey-melange-jy121c0g3-c12.html,JDY,JDYMARY DRESS , Day dress,summer-dresses,25.99,grey,Sweat,"65% polyester, 35% viscose",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,Hooded,--,Plain,--,JY121C0G3-C12,Knee-length,Long,"40.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,No,No,No,No,No
13,alternative,https://www.zalando.co.uk/vila-petite-vietna-34-short-dress-day-dress-cement-vip21c03r-a11.html,VILA PETITE,VIETNA 3/4 SHORT DRESS , Day dress,summer-dresses,34.99,sand,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,,V-neck,Striped,--,VIP21C03R-A11,Short,Elbow length,"33.5 "" (Size 8)",Loose Fit,--,"13.0 "" (Size 8)",No,No,No,No,No
14,casual chic,https://www.zalando.co.uk/vero-moda-vmsunilla-nora-tie-shirt-dress-shirt-dress-blackblueyellow-ve121c365-q11.html,Vero Moda,VMSUNILLA NORA TIE SHIRT DRESS , Day dress,summer-dresses,34.99,black multi-coloured,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Button,,Low-cut v-neck,Floral,"Bust darts, bow",VE121C365-Q11,Short,Long,"34.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No
15,alternative,https://www.zalando.co.uk/rebecca-minkoff-mina-dress-day-dress-terra-rm621c02h-g11.html,Rebecca Minkoff,MINA DRESS , Day dress,summer-dresses,144.99,burnt orange,Sweat,100% cotton,--,Hand wash only,--,--,--,,Crew neck,Plain,--,RM621C02H-G11,Extra short,Elbow length,"32.5 "" (Size S)",Regular Fit,"Our model is 5' 11""  tall and is wearing size S",--,No,No,No,No,No
16,classic,https://www.zalando.co.uk/saint-tropez-edasz-solid-dress-day-dress-blue-deep-s2821c08e-k11.html,Saint Tropez,EDASZ SOLID DRESS , Day dress,summer-dresses,34.99,navy,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,--,--,,Low-cut v-neck,Plain,--,S2821C08E-K11,Knee-length,Elbow length,"39.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
17,casual chic,https://www.zalando.co.uk/evenandodd-day-dress-black-ev421c17y-q11.html,Even&Odd,Day dress,,summer-dresses,30.99,black,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Button,,Crew neck,Floral,Slip,EV421C17Y-Q11,Short,Long,"33.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",Yes,No,No,No,No
18,trendy,https://www.zalando.co.uk/vila-vipartina-dress-cocktail-dress-party-dress-bodacious-pink-v1021c2oq-j11.html,Vila,VIPARTINA DRESS , Cocktail dress / Party dress,Cocktail Dresses,30.99,pink,Jersey,"88% polyester, 12% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Wrap dress,Low-cut v-neck,Plain,Slip,V1021C2OQ-J11,Knee-length,Long,--,Slim Fit,--,--,No,No,No,No,No
19,edgy,https://www.zalando.co.uk/proenza-schouler-white-label-wrap-dress-cocktail-dress-party-dress-black-p1y21c00k-q11.html,Proenza Schouler White Label,WRAP DRESS , Day dress,summer-dresses,630,black,Faux leather,100% polyester,"50% polyester, 50% viscose",Hand wash only,--,--,Belt,Wrap dress,Low-cut v-neck,Plain,Belt included,P1Y21C00K-Q11,Calf-length,Long,"47.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)",No,No,No,No,No
20,casual chic,https://www.zalando.co.uk/modstroem-oline-day-dress-freesia-green-mo421c08p-m11.html,ModstrÃ¶m,OLINE , Day dress,Cocktail Dresses,104.99,green,--,100% viscose,--,--,--,--,Laces,Wrap dress,Low-cut v-neck,Floral,--,MO421C08P-M11,Calf-length,Long,"52.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
