Style,Link,Brand,Dress name ,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Article number,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,,,,,,,,,,,,,,,,,,,,,,,,
edgy,https://www.zalando.co.uk/2nd-day-loretta-crispy-day-dress-lark-s3821c068-b11.html,2nd Day,LORETTA CRISPY ,94.99,3,brown,Cotton,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Button,,Round neckline,Plain,--,S3821C068-B11,Short,Short,Short,"36.0 "" (Size 8)",Loose Fit,Loose fit,--,"16.5 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/maxandco-damerino-cocktail-dress-party-dress-black-mq921c0ba-q11.html,MAX&Co.,DAMERINO ,199.99,4,black,Polyester,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Zip,,Low v-neck,Plain,--,MQ921C0BA-Q11,Calf length,"23.5 "" (Size S)",Long,"44.5 "" (Size S)",Regular Fit,Regular fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/rich-and-royal-dress-long-printed-day-dress-scarlet-red-ri521c04x-g11.html,Rich & Royal,DRESS LONG PRINTED ,104.99,3,red,Jersey,"65% modal, 30% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Round neckline,Prints in general,--,RI521C04X-G11,Calf length,"24.5 "" (Size S)",Long,"49.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/seidensticker-malia-day-dress-dunkelblau-3se21c01l-k11.html,Seidensticker,MALIA  ,109.99,3,navy,Linnen,100% linen,--,--,Mandarin collar,--,--,,Low v-neck,Plain,Inseam pockets,3SE21C01L-K11,Knee length,Short,Short,"38.5 "" (Size 10)",--,,"Our model is 5' 10""  tall and is wearing size 10","16.5 "" (Size 10)",Yes,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/vero-moda-vmboa-highneck-short-dress-shirt-dress-pine-grove-ve121c2e2-m11.html,Vero Moda,Day dress,26.34,1,black,Polyester,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not bleach",Standing collar,--,Button,Accentuating the waist,Round neckline,Plain,Belt included,VE121C2E2-M11,Short,Long,Long,--,Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/superdry-day-dress-black-su221c0ng-q11.html,Superdry,STRAP BACK  ,34.99,1,black,Polyester,"58% modal, 42% polyester",--,"Do not bleach, do not tumble dry",--,--,--,,Boat neckline (wide),Plain,--,SU221C0NG-Q11,Maxi/long,Sleeveless,Sleeveless,--,--,,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,https://www.zalando.co.uk/soft-rebels-ulrikke-dress-day-dress-mahogany-r6721c06q-o11.html,Soft Rebels,ULRIKKE DRESS ,69.99,2,dusty pink,Polyester,"73% modal, 27% polyester",--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,,Round neckline,Plain,--,R6721C06Q-O11,Knee length,"18.5 "" (Size S)",Elbow length,"38.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/anna-field-day-dress-black-an621c1i6-q12.html,Anna Field,Jersey dress,28.99,1,black,Jersey,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Accentuating the waist,Round neckline,Plain,"Belt included, elasticated waist",AN621C1I6-Q12,Knee length,Spaghetti straps,Spaghetti straps,"41.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size S",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,https://www.zalando.co.uk/2nd-day-spin-day-dress-black-s3821c05s-q11.html,2nd Day,SPIN  ,179.99,4,black,Polyester,100% polyester,--,"Do not tumble dry, Hand wash only",Standing collar,--,--,,Round neckline,Plain,--,S3821C05S-Q11,Short,"23.5 "" (Size 8)",Long,"37.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/mango-marte2-day-dress-kaki-m9121c5kw-n11.html,Mango,MARTE2 ,49.99,2,army green,Linnen,"83% modal, 17% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",--,--,Button,,Low v-neck,Plain,--,M9121C5KW-N11,Calf length,Extra short,Short,--,Regular Fit,Regular fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/only-onlhanna-smock-dress-day-dress-multi-coloured-on321c2p4-c11.html,",Only",ONLHANNA SMOCK DRESS ,29.74,1,multi-coloured,Chiffon,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,Button,,Round neckline,Floral,"Elasticated waist, slip",ON321C2P4-C11,Knee length,"23.0 "" (Size S)",Long,"36.0 "" (Size S)",Regular Fit,Regular fit,--,"14.5 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/evenandodd-2-pack-day-dress-blackgrey-ev421c158-q13.html,Even&Odd,2 PACK ,24.99,1,black/grey,Jersey,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Round neckline,Prints in general,--,EV421C158-Q13,Knee length,Elbow length,Elbow length,"32.0 "" (Size S)",Loose Fit,Loose fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/jdy-jdyivy-mathilde-dress-day-dress-mottled-dark-grey-jy121c0px-c11.html,JDY,JDYIVY MATHILDE DRESS ,16.14,1,grey,Sweat,"63% polyester, 37% cotton",--,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",--,--,--,,Round neckline,Plain,--,JY121C0PX-C11,Short,"25.5 "" (Size S)",Long,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/fiorucci-alpine-angels-mini-bodice-dress-cocktail-dress-party-dress-multi-fi921c00k-t11.html,Fiorucci,ALPINE ANGELS MINI BODICE DRESS ,194.99,4,bright multi-coloured,Polyester,"97% polyester, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,Zip,Bodycon dresses,Square neckline,Prints in general,"Wired bustier, bow",FI921C00K-T11,Extra short,"23.0 "" (Size S)",Long,"28.5 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/jdy-jdyivy-dress-day-dress-lavendula-jy121c0dg-i11.html,JDY,JDYIVY DRESS ,17.99,1,pastel purple,Sweat,"62% cotton, 38% polyester",--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,,Round neckline,Plain,--,JY121C0DG-I11,Knee length,Short,Short,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,https://www.zalando.co.uk/superdry-alana-cami-day-dress-autumn-mustard-su221c0nj-e11.html,Superdry,ALANA ,44.99,2,orange,Polyester,"50% polyester, 50% cotton",--,--,--,--,--,,Spaghetti straps,--,--,SU221C0NJ-E11,--,Spaghetti straps,Spaghetti straps,--,--,,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/only-onlevery-hoodie-dress-day-dress-junebug-on321c2p6-m11.html,",Only",ONLEVERY HOODIE DRESS ,30.99,1,dark green,Sweat,"60% cotton, 40% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,Hooded dresses,--,Plain,Inseam pockets,ON321C2P6-M11,Short,"23.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/vero-moda-vmhenna-wrap-frill-dress-day-dress-laurel-wreath-ve121c2ra-m11.html,Vero Moda,VMHENNA WRAP FRILL DRESS ,30.99,1,pastel green,Polyester,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Laces,Wrap dresses,Low v-neck,Polka dot,Bust darts,VE121C2RA-M11,Short,Short,Short,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/wal-g-micha-round-neck-skater-dress-day-dress-pastel green-wg021c0so-m11.html,WAL G.,MICHA ROUND NECK SKATER DRESS ,37.99,1,pastel blue,Jersey,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,Zip,,Round neckline,Plain,--,WG021C0SO-M11,Short,Sleeveless,Sleeveless,"38.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10",--,No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/only-tall-onlolivia-wrap-dress-day-dress-dusk-blue-ond21c05c-k11.html,",Only",ONLOLIVIA DRESS ,25.99,1,pastel blue,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,Laces,Wrap dresses,Low v-neck,Floral,Bust darts,OND21C05C-K11,Knee length,Short,Short,"40.5 "" (Size 8)",Slim Fit,Slim fit,--,"15.5 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/see-by-chloe-day-dress-sand-se321e04e-b11.html,See by Chloe,Day dress,255,5,sand,Canvas,"54% cotton, 44% polyamide, 2% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,Laces,,Low v-neck,Plain,--,SE321E04E-B11,Short,Sleeveless,Sleeveless,"35.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","17.0 "" (Size 10)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/gap-tiered-midi-dress-day-dress-true-black-gp021c0kc-q11.html,GAP,TIERED MIDI DRESS ,64.99,2,black,--,100% viscose,--,Machine wash at 30Â°C,Mandarin collar,--,Button,,Round neckline,Prints in general,Bust darts,GP021C0KC-Q11,Calf length,"25.0 "" (Size M)",Long,"49.0 "" (Size M)",Regular Fit,Regular fit,--,"16.5 "" (Size M)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,https://www.zalando.co.uk/abodi-cadmael-dress-cocktail-dress-party-dress-black-abi21c001-q11.html,ABODI,CADMAEL DRESS ,865,5,black/brown,Leather,100% polyester,"68% acetate, 32% polyester",Do not wash,--,--,Zip,Bodycon dresses,Low v-neck,Checked,--,ABI21C001-Q11,Knee length,"24.0 "" (Size 10)",Long,"43.5 "" (Size 10)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/cotton-on-maternity-friendly-space-day-dress-blue-space-dye-c1q29f019-k11.html,Cotton On,FRIENDLY SPACE ,28.99,1,pastel blue,Rib,"72% viscose, 28% polyamide",--,Hand wash only,--,--,--,Bodycon dresses,Round neckline,Prints in general,--,C1Q29F019-K11,Calf length,Short,Short,"49.0 "" (Size 12)",Bodycon,Slim fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,https://www.zalando.co.uk/adidas-originals-day-dress-multi-coloured-ad121c08x-t11.html,Adidas,Day dress,49.95,2,brown,--,"93% cotton, 7% elastane",--,"Colour may run - please wash separately, do not tumble dry, machine wash at 30Â°C",Zip neck,--,Zip,,--,Prints in general,--,AD121C08X-T11,Short,Long,Long,"68.0 "" (Size 10)",Slim Fit,Slim fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/closed-noelle-day-dress-black-cl321c02e-q11.html,CLOSED,NOELLE ,279.99,5,black,Chiffon,100% viscose,--,Dry clean only,--,--,Zip,,Low v-neck,Plain,--,CL321C02E-Q11,Calf length,"24.5 "" (Size S)",Long,"51.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S",--,Yes,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/never-fully-dressed-rainbow-mini-wrap-cocktail-dress-party-dress-multi-nen21c04c-t11.html,Never Fully Dressed,RAINBOW MINI WRAP ,94.99,3,bright multi-coloured,--,"63% polyester, 31% metal, 6% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Laces,Wrap dresses,Low v-neck,Prints in general,--,NEN21C04C-T11,Knee length,Long,Long,--,Regular Fit,Regular fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/closet-closet-london-puff-sleeve-dress-cocktail-dress-party-dress-lilac-cl921c0tc-i11.html,Closet,CLOSET LONDON PUFF SLEEVE DRESS ,114.99,3,pastel purple,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Zip,,Round neckline,Prints in general,--,CL921C0TC-I11,Calf length,"24.5 "" (Size 10)",Long,"50.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/cult-gaia-orella-dress-cocktail-dress-party-dress-off-white-cui21c00u-a11.html,Cult Gaia,ORELLA DRESS ,440,5,off-white,--,"55% linen, 43% viscose, 2% elastane",--,Dry cleaning,--,--,Zip,,Low v-neck,Plain,--,CUI21C00U-A11,Calf length,Sleeveless,Sleeveless,"55.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",--,No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/only-onllaurence-day-dress-apple-butter-on321c2sn-g11.html,",Only",ONLLAURENCE  ,34.99,1,dusty pink,Tulle,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,,Low v-neck,Plain,Slip,ON321C2SN-G11,Short,"25.5 "" (Size S)",Long,"34.5 "" (Size S)",Regular Fit,Regular fit,--,"12.5 "" (Size S)",Yes,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/superdry-college-crew-jersey-dress-eclipse-navy-su221c0pf-k12.html,Superdry,COLLEGE CREW ,25,1,navy,Sweat,100% cotton,--,"Do not bleach, do not tumble dry",--,--,--,,Round neckline,Prints in general,--,SU221C0PF-K12,Extra short,Long,Long,--,Oversized,Loose fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/vero-moda-vmaya-vneck-dress-day-dress-black-ve121c2ec-q11.html,Vero Moda,VMAYA VNECK ,26.24,1,black,--,"99% polyester, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,,Henley neckline,Plain,Slip,VE121C2EC-Q11,Knee length,"24.0 "" (Size S)",Long,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/anna-field-mama-jersey-dress-black-ex429f035-q11.html,Anna Field,NURSING ,23.99,1,black,Sweat,"95% cotton, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,Hooded dresses,--,Plain,"Elasticated waist, nursing-friendly",EX429F035-Q11,Knee length,"25.5 "" (Size M)",Long,"37.0 "" (Size M)",Regular Fit,Regular fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/the-kooples-dress-cocktail-dress-party-dress-black-tha21c09o-q11.html,The Kooples,DRESS ,349.99,5,black,Chiffon,100% polyester,100% viscose,Dry clean only,--,--,Zip,,Round neckline,Plain,"Button row, slip",THA21C09O-Q11,Calf length,"25.0 "" (Size 8)",Long,"49.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/only-onlaneline-wrap-day-dress-moonlight-blue-on321c2pb-k11.html,",Only",ONLANELINE WRAP ,30.99,1,blue,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Wrap dresses,Low v-neck,Plain,"Elasticated waist, slip",ON321C2PB-K11,Short,"25.5 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,--,--,Yes,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/elisabetta-franchi-womens-dress-with-belt-cocktail-dress-party-dress-cammello-ef121c0bk-b11.html,Elisabetta Franchi,WOMENS DRESS WITH BELT ,514.99,5,sand,Leather,100% polyester,"97% polyester, 3% elastane",Hand wash only,Lapel collar,--,Zip,Accentuating the waist,Low v-neck,Plain,"Belt included, zip fastening, slip",EF121C0BK-B11,Short,Short,Short,"36.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/only-onlmella-dress-day-dress-blue-heron-stripes-on321c2ti-k11.html,",Only",ONLMELLA DRESS  ,34.99,1,pastel blue,--,"80% polyester, 20% cotton",--,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,Accentuating the waist,V-neck,Striped,"Border, bust darts, belt included",ON321C2TI-K11,Short,Elbow length,Elbow length,"33.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",--,Yes,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/ilse-jacobsen-ruma-day-dress-black-il121c04n-b11.html,Ilse Jacobsen,RUMA ,174.99,4,black,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Zip,Wrap dresses,Low v-neck,Prints in general,"Belt included, bust darts",IL121C04N-B11,Calf length,"20.5 "" (Size 8)",Long,"51.0 "" (Size 8)",Loose Fit,Loose fit,--,"16.0 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
