,cv_predicted,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
10,unknown,Cotton On Petite,PETITE DRESS , Day dress,summer-dresses,28.99,black,,,Rib,,"72% viscose, 28% polyamide",,Hand wash only,Turn-down collar,,,,Low-cut v-neck,Plain,,C6A21C008-Q11,Extra short,Short,"33.5 "" (Size S)",Bodycon,,
11,classic,Esprit Collection,Day dress,,summer-dresses,75.0,navy,100% polyester,,,,"86% cotton, 13% polyamide, 1% elastane",100% polyester,"Do not bleach, do not tumble dry, machine wash at 30°C",,,,,Crew neck,Striped,Slip,ES421C1LM-K12,Calf-length,Elbow length,,Regular Fit,,
12,sporty,Tommy Hilfiger,REGULAR HOODIE DRESS , Day dress,summer-dresses,84.49,black,,,Sweat,,100% cotton,,"Machine wash at 30°C, Machine wash on gentle cycle",Hood,,,,,Plain,"Inseam pockets, elasticated waist",TO121C0J1-Q11,Knee-length,"25.0 "" (Size S)","39.0 "" (Size S)",Regular Fit,,
13,girly,IVY & OAK BRIDAL,JOLANDA , Occasion wear,Occasion dresses,279.99,white,,,,,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Crew neck,Plain,"Button row, bust darts, slip, decorative buttons",IV521C026-A11,Calf-length,"25.5 "" (Size 8)","49.0 "" (Size 8)",Regular Fit,,"13.5 "" (Size 8)"
14,classic,MICHAEL Michael Kors,SPRING BUD MIDI DRESS , Day dress,summer-dresses,234.99,bordeaux,,Yes,,,100% polyester,100% polyester,"Machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Low-cut v-neck,Floral,"Belt included, slip",MK121C0KN-I11,Calf-length,"24.5 "" (Size S)","48.5 "" (Size S)",Regular Fit,,"15.0 "" (Size S)"
15,girly,ONLY,ONLTYRA LIFE SHORT DRESS , Day dress,summer-dresses,34.99,white,,,,,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Dry cleanable, Do not bleach",,,,Button,Crew neck,Plain,"Slip, Crochet Detailing",ON321C1JD-A11,Short,3/4 length,"36.0 "" (Size 10)",Normal fit,,
16,alternative,Superdry,ALANA , Day dress,summer-dresses,44.99,navy,,,,,100% viscose,,"Do not bleach, do not tumble dry",,,Side pockets,Button,Scoop neck,Plain,Border,SU221C0NJ-K11,Short,Spaghetti straps,,Regular Fit,,
17,trendy,David Koma,Cocktail dress / Party dress,,Cocktail Dresses,510.0,white,,,Rib,,"75% viscose, 23% nylon, 2% elastane",,Dry clean only,,,,Hook fastening ,Backless,Plain,,D0T21C011-I11,Extra short,"26.0 "" (Size 10)","33.5 "" (Size 10)",Bodycon,"Our model is 5' 10""  tall and is wearing size 10",
18,girly,Needle & Thread,WALTZING BLOOMS RUFFLE GOWN , Occasion wear,Occasion dresses,359.99,white multi-coloured,,,Tulle,,100% nylon,100% polyester,Dry cleanable,,,,Zip,Low-cut v-neck,Floral,Slip,NT521C0G5-J11,Long,Short,"58.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8",
19,trendy,Diane von Furstenberg,KORA DRESS , Day dress,summer-dresses,285.0,black/green,,,,,100% polyester,,Dry clean only,,,,,Low-cut v-neck,Print,"Belt included, inseam pockets",DF221C0BO-M11,Knee-length,Short,"34.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)"
20,sporty,Tommy Jeans Curve,BADGE CREW DRESS , Day dress,summer-dresses,79.99,navy,,,Sweat,,"70% cotton, 30% polyester",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,,,Plain,"Inseam pockets, elasticated waist",T2C21C009-K11,Short,"25.0 "" (Size 20)","36.0 "" (Size 20)",Loose Fit,,
21,girly,Alice + Olivia,VERNITA , Cocktail dress / Party dress,Cocktail Dresses,360.0,black,,,,,"50% viscose, 32% nylon, 18% cotton","94% polyester, 6% elastane",Dry clean only,Standing collar,,,Zip,,Plain,"Button row, slip, bow, border",A2N21C00R-Q11,Short,Short,"33.0 "" (Size 6)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 6","14.5 "" (Size 6)"
22,girly,ONLY Carmakoma,CARMARRAKESH CALF DRESS , Day dress,summer-dresses,43.99,dusty pink,,,,Semi-sheer,100% viscose,,"Do not tumble dry, machine wash at 30°C",Standing collar,,,,Low-cut v-neck,Print,Bust darts,ONA21C070-J11,Calf-length,"19.0 "" (Size 14)","49.0 "" (Size 14)",Loose Fit,,"14.5 "" (Size 14)"
23,casual chic,Calvin Klein Jeans,FLORAL DRESS , Day dress,summer-dresses,89.99,black,,,,,100% viscose,,Hand wash only,Mandarin collar,,,Zip,,Floral,,C1821C07H-Q11,Short,"24.0 "" (Size S)","32.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
24,trendy,VILA PETITE,VILAUREN DRESS , Day dress,summer-dresses,34.99,pastel pink,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,Belt included,VIP21C040-J11,Knee-length,Long,,Regular Fit,,
25,trendy,Glamorous Bloom,PPLISSE MIDE WITH SIDE SPLIT , Day dress,summer-dresses,38.99,red/white,,,Satin,,"73% polyester, 23% viscose, 4% elastane",,"Do not tumble dry, machine wash at 30°C",,,,,Crew neck,Checked,Belt included,GLI29F04L-G11,Calf-length,"24.5 "" (Size 8)","49.0 "" (Size 8)",Slim Fit,,"19.0 "" (Size 8)"
26,casual chic,Vero Moda Maternity,VMMHENNA WRAP FRILL DRESS , Day dress,summer-dresses,30.99,black,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,Laces,Cache-coeur,Polka dot,Bust darts,VE129F010-Q11,Knee-length,Short,"39.5 "" (Size S)",Regular Fit,,"14.5 "" (Size S)"
27,casual chic,Vila,VILANA V,NECK BELT DRESS ,summer-dresses,26.34,navy,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Floral,Belt included,V1021C2WU-K13,Short,"25.5 "" (Size 10)","38.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)"
28,alternative,Mango,MOGAMBOL H , Day dress,summer-dresses,39.99,off-white,,,,,"45% viscose, 40% cotton, 15% linen",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Square neck,Plain,Adjustable straps,M9121C5IF-A11,Calf-length,Spaghetti straps,,Slim Fit,,
29,alternative,Massimo Dutti,MIT NECKHOLDER , Day dress,summer-dresses,149.0,yellow,,,,,100% linen,,"Do not tumble dry, Do not wash",,,,Zip,Crew neck,Marl,,M3I21C0EZ-M11,Knee-length,Sleeveless,,Regular Fit,,
30,sporty,KARL LAGERFELD,SIGNATURE DRESS , Day dress,summer-dresses,199.99,white,,,Sweat,,100% cotton,,,,,,,Crew neck,Plain,"Inseam pockets, elasticated waist, embroidery",K4821C04W-A11,Knee-length,"26.5 "" (Size S)","34.5 "" (Size S)",Loose Fit,,
31,alternative,Swing,Cocktail dress / Party dress,,Cocktail Dresses,,gold,,,,,"95% polyester, 5% elastane","80% polyester, 20% elastane",,,,,Zip,Crew neck,,Slip,SG721C0EX-F11,Short,Short,"40.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",
32,girly,Needle & Thread,WILLOW RUFFLE GOWN , Occasion wear,Occasion dresses,449.99,bordeaux,,,Tulle,,100% polyester,100% polyester,Dry cleanable,,,,Zip,Crew neck,Plain,,NT521C0FW-G11,Long,Elbow length,"59.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8",
33,alternative,ONLY,ONLCLEAN LIFE SLIM DRESS  , Day dress,summer-dresses,17.99,black,,,Rib,,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,,Crew neck,Plain,,ON321C2SM-Q11,Extra short,Short,"30.5 "" (Size S)",Bodycon,"Our model is 5' 11""  tall and is wearing size S",
34,classic,Vila,VITINNY , Day dress,summer-dresses,24.99,navy,,,Jersey,,"79% polyester, 18% viscose, 3% elastane",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,Zip,Crew neck,Plain,Bust darts,V1021C0MM-K11,Short,"18.0 "" (Size S)","32.5 "" (Size S)",Normal fit,"Our model is 5' 10""  tall and is wearing size S",
35,girly,Needle & Thread,EMILANA SHORT SLEEVE DRESS , Cocktail dress / Party dress,Cocktail Dresses,394.99,silver,,,Tulle,,100% polyester,100% polyester,Dry clean only,,,,Zip,Crew neck,Plain,"Slip, border, embroidery",NT521C0F1-K11,Short,Short,"35.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
36,trendy,Abercrombie & Fitch,Day dress,,summer-dresses,89.99,green,,,Jersey,,"95% polyester, 5% elastane",,Machine wash at 30°C,,,,Zip,Backless,Plain,Bust darts,A0F21C09P-M11,Extra short,"Spaghetti straps, sleeveless","32.5 "" (Size S)",Slim Fit,,
37,girly,Hollister Co.,BEST IS BACK WOVEN WRAP DRESS , Day dress,summer-dresses,33.14,black,,,,,100% viscose,,,,,,Laces,Low-cut v-neck,Floral,,H0421C04Z-Q11,Extra short,Short,"30.5 "" (Size SxS)",Regular Fit,"Our model is 5' 9""  tall and is wearing size SxS","14.0 "" (Size SxS)"
38,classic,Monki,Day dress,,summer-dresses,31.0,black/white,,,,,100% polyester,,Machine wash at 40°C,,,,Button,Crew neck,Polka dot,,MOQ21C0BU-Q11,Calf-length,"23.5 "" (Size S)","42.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
39,trendy,Cras,LILI DRESS , Cocktail dress / Party dress,Cocktail Dresses,159.99,bright multi-coloured,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Laces,Crew neck,Print,Bust darts,CRG21C01D-J11,Calf-length,Elbow length,"45.5 "" (Size 8)",Loose Fit,"Our model is 5' 11""  tall and is wearing size 8","17.5 "" (Size 8)"
40,casual chic,Never Fully Dressed Tall,RETRO DAISY PANEL DRESS , Day dress,summer-dresses,104.99,black multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Mandarin collar,,,Button,,Floral,Bust darts,N0L21C01C-T11,Calf-length,Long,,Loose Fit,,
41,girly,YAS,YASANGLEA DRESS , Occasion wear,Occasion dresses,174.99,white,,,,,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Plain,Slip,Y0121C1SD-A11,Long,Sleeveless,"57.0 "" (Size S)",Regular Fit,,"11.5 "" (Size S)"
42,girly,SUMMERY Copenhagen,IBEN DRESS , Day dress,summer-dresses,194.99,pink,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C",,,,Laces,Low-cut v-neck,Checked,Bust darts,CEC21C03P-J11,Short,"23.5 "" (Size S)","33.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
43,edgy,b.young,BYJOSA TUNIC DRESS , Day dress,summer-dresses,39.99,black/white,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Henley,Print,,BY221C0F7-K12,Short,"26.0 "" (Size 8)","37.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)"
44,edgy,Diane von Furstenberg,BRIONI DRESS , Cocktail dress / Party dress,Cocktail Dresses,365.0,black,,,Satin,,100% silk,,Dry clean only,,,,,Cowl neck,Plain,Adjustable straps,DF221C0BH-Q11,Calf-length,Spaghetti straps,"49.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
45,edgy,Mango,MALAWI,L ,summer-dresses,35.99,black,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C",,,,,Low-cut v-neck,Plain,,M9121C5K6-Q11,Calf-length,Elbow length,,Loose Fit,,
46,girly,2nd Day,CINZIA BOUNCE , Day dress,summer-dresses,109.99,sand,,,,,"95% viscose, 4% cotton, 1% elastane",,Machine wash at 30°C,,,,,Square neck,Marl,,S3821C06G-B11,Calf-length,Short,"45.0 "" (Size 8)",Regular Fit,,
47,edgy,ALIGNE,FRANCESCA LOW BACK SLIP DRESS WITH SELF TIE , Cocktail dress / Party dress,Cocktail Dresses,74.99,black,,,Satin,,100% viscose,,Do not wash,,,,,Backless,Plain,"Bust darts, adjustable straps",ALY21C011-Q11,Calf-length,Spaghetti straps,"53.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)"
48,alternative,Love Moschino,Day dress,,summer-dresses,154.99,blue,,,Sweat,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Print,,LO921C083-K11,Short,Short,"32.5 "" (Size 8)",Regular Fit,,
49,edgy,ONLY,ONLMARIANA MYRINA DRESS , Day dress,summer-dresses,23.99,black,,,,,"97% polyester, 3% elastane",,"Machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Floral,Bow,ON321C1CC-Q12,Short,Short,"36.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)"
50,classic,Saint Tropez,LOUISESZ DRESS , Day dress,summer-dresses,59.99,red,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,,V-neck,Plain,,S2821C0EF-G11,Knee-length,"23.5 "" (Size S)","38.5 "" (Size S)",Loose Fit,,"15.5 "" (Size S)"
51,casual chic,NAF NAF,ORIENT  , Cocktail dress / Party dress,Cocktail Dresses,74.99,electric blue,,,Satin,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Plain,Slip,NA521C19A-M11,Short,Long,,Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","12.0 "" (Size 8)"
52,edgy,Philosophy di Lorenzo Serafini,Day dress,,summer-dresses,455.0,black,,,Chiffon,,100% polyester,100% polyester,"Hand wash only, Dry cleanable",,,,Zip,Crew neck,Plain,Slip,PHH21C00N-Q11,Short,"23.0 "" (Size 10)","34.5 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)"
53,casual chic,JDY,SHORT DRESS , Day dress,summer-dresses,18.99,black,,,Rib,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Backless,Floral,,JY121C0Q4-Q11,,"23.0 "" (Size S)","32.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
54,trendy,ONLY Petite,ONLVICTORIA WRAP DRESS , Day dress,summer-dresses,30.99,black/brown,,,,,"80% viscose, 20% nylon",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Do not iron, Machine wash on gentle cycle",Standing collar,,,Button,,Animal print,Belt included,OP421C0BU-Q11,Short,"23.5 "" (Size S)","33.0 "" (Size S)",Regular Fit,"Our model is 5' 5""  tall and is wearing size S","15.0 "" (Size S)"
55,casual chic,DanefÃ¦ KÃ¸benhavn,JULI DRESS , Day dress,summer-dresses,104.99,yellow,,,,,100% cotton,,Machine wash at 30°C,,,,Button,Crew neck,Floral,Bust darts,DAI21C00H-E12,Calf-length,Elbow length,"49.0 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)"
56,alternative,Gina Tricot,LIO DRESS , Jersey dress,Cocktail Dresses,25.99,black,,,Jersey,,"97% polyester, 3% elastane",,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",,,,,Backless,Plain,,GID21C08O-Q11,Short,Spaghetti straps,,Slim Fit,"Our model is 5' 9""  tall and is wearing size 8",
57,alternative,KARL LAGERFELD,PRINTED KAFTAN , Day dress,summer-dresses,349.99,navy,,,Satin,,100% silk,,,Turn-down collar,Asymmetrical,,Belt,Backless,Print,"Belt included, covered fastener",K4821C053-O11,Calf-length,"19.5 "" (Size S/M)","49.0 "" (Size S/M)",Loose Fit,,"15.5 "" (Size S/M)"
58,sporty,Minimum,RAGATTA , Day dress,summer-dresses,69.99,brown,,,Jersey,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,,Plain,Belt included,MI421C0BX-O11,Calf-length,Short,"48.0 "" (Size S)",Regular Fit,,
59,classic,Lauren Ralph Lauren,SLEEVELESS JERSEY DRESS , Cocktail dress / Party dress,Cocktail Dresses,139.99,black,,,Jersey,,"53% cotton, 41% viscose, 6% elastane","95% polyester, 5% elastane",Machine wash at 30°C,,,,Zip,Cache-coeur,Plain,Slip,L4221C1C6-Q11,Knee-length,Sleeveless,"40.5 "" (Size 10)",Slim Fit,,
60,alternative,ONLY,ONLINC FENJA DRESS , Day dress,summer-dresses,21.99,orange,,,Rib,,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,,Crew neck,Floral,,ON321C2QJ-H11,Short,Sleeveless,"34.5 "" (Size S)",Bodycon,"Our model is 5' 9""  tall and is wearing size S",
61,edgy,Glamorous Tall,FIXED WRAP FRONT SMOCK DRESS WITH LONG SLEEVES , Day dress,summer-dresses,28.99,black,,,,,"55% cotton, 45% polyester",100% cotton,"Do not tumble dry, machine wash at 30°C",,,,,Cache-coeur,Plain,Slip,GLC21C03E-Q11,Short,"25.0 "" (Size 8)","35.0 "" (Size 8)",Loose Fit,,"17.5 "" (Size 8)"
62,classic,Vila,PAYA , Day dress,summer-dresses,30.99,black,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Do not bleach",,,,Button,Crew neck,Floral,,V1021C2VH-Q12,Knee-length,Short,"36.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)"
63,classic,Mango,DALIA H , Day dress,summer-dresses,39.99,black/white,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C",,,,Zip,Crew neck,Paisley,,M9121C5FC-Q11,Short,Sleeveless,,Slim Fit,,
64,unknown,Guess by Marciano,AURORA DRESS , Cocktail dress / Party dress,Cocktail Dresses,179.99,grey,,,Satin,,100% polyester,100% polyester,"Machine wash at 30°C, Machine wash on gentle cycle",Polo neck,,,Zip,,Floral,"Lined fastener, underskirt",2GU21C09E-T11,Knee-length,"25.0 "" (Size 10)","39.5 "" (Size 10)",Regular Fit,,"16.0 "" (Size 10)"
65,edgy,Lindex,Day dress,,summer-dresses,39.99,dark green,,,,,100% cotton,,"Machine wash at 40°C, do not tumble dry",Standing collar,,,,,Floral,"Bust darts, border",L2E21C02D-K11,,"25.5 "" (Size 10/12)","37.0 "" (Size 10/12)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10/12","16.5 "" (Size 10/12)"
66,girly,Vero Moda,VMLISA DRESS , Day dress,summer-dresses,35.99,black,,,,,100% cotton,,,,,,,Backless,Plain,Bow,VE121C2Q9-Q11,Knee-length,Extra short,"38.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
67,trendy,Cinq Ã  Sept,KAYA DRESS , Day dress,summer-dresses,315.0,navy,,,,,100% polyester,100% polyester,Dry clean only,Standing collar,,,Zip,,Plain,,CIG21C00U-K11,Short,"25.5 "" (Size 8)","33.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
68,trendy,Never Fully Dressed Petite,LUCY PRINT CLASH DRESS , Cocktail dress / Party dress,Cocktail Dresses,104.99,bright multi-coloured,,,,,"98% polyester, 2% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Low-cut v-neck,Print,,NEZ21C01K-H11,Long,"23.5 "" (Size 8)","51.0 "" (Size 8)",Regular Fit,,"13.5 "" (Size 8)"
69,casual chic,Vero Moda Curve,VMOLGA , Day dress,summer-dresses,26.34,army green,,,,,100% polyester,,,,,,,Cache-coeur,Floral,Bust darts,VEE21C0CD-Q11,Short,"19.5 "" (Size 16)","38.0 "" (Size 16)",Regular Fit,,"15.5 "" (Size 16)"
70,girly,retrofÃªte,GABRIELLE ROBE , Cocktail dress / Party dress,Cocktail Dresses,455.0,gold,,,,,100% viscose,100% viscose,Dry clean only,,,,Belt,Cache-coeur,,Sequins,R0W21C007-O12,Extra short,"23.5 "" (Size S)","27.5 "" (Size S)",Regular Fit,"Our model is 5' 11""  tall and is wearing size S",
71,unknown,Alberta Ferretti,DRESS EMBROIDERED , Cocktail dress / Party dress,Cocktail Dresses,910.0,yellow,,,"Lace, tulle",,100% polyester,"90% acetate, 5% silk, 5% elastane",Dry clean only,,,,Zip,Crew neck,Plain,"Slip, border, embroidery",AF321C02E-E11,Short,"22.0 "" (Size 10)","35.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)"
72,girly,Hollister Co.,BEST IS BACK , Day dress,summer-dresses,34.99,pastel blue,,,Jersey,,"92% polyester, 8% elastane",100% polyester,Machine wash at 30°C,,,,,Backless,Floral,"Adjustable straps, bow",H0421C055-K11,Calf-length,"Sleeveless, spaghetti straps","47.0 "" (Size SxL)",Regular Fit,"Our model is 5' 10""  tall and is wearing size SxL",
73,girly,Vero Moda,VMFIE MINI DRESS , Day dress,summer-dresses,34.99,white,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",,,,,Cache-coeur,Polka dot,"Belt included, bust darts, slip",VE121C34D-A11,Short,"26.5 "" (Size S)","32.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","17.0 "" (Size S)"
74,classic,Marc O'Polo DENIM,DRESS SLEEVE ELASTIC CUFF , Day dress,summer-dresses,99.99,grey,,,,,100% lyocell,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Plain,Bust darts,OP521C06G-N11,Knee-length,"18.5 "" (Size S)","36.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)"
75,classic,ONLY,ONLSOPHIA DRESS , Day dress,summer-dresses,29.74,black/white,,,Tulle,,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Cache-coeur,Animal print,,ON321C206-Q11,Calf-length,"23.5 "" (Size 10)","46.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10",
76,girly,Selected Femme,SLFIONA SHORT DRESS , Day dress,summer-dresses,59.99,pastel purple,,,Chiffon,Semi-sheer,"98% polyester, 2% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,Button,,Plain,Belt included,SE521C144-I11,Short,"17.5 "" (Size 8)","35.5 "" (Size 8)",Loose Fit,,"19.5 "" (Size 8)"
77,edgy,2nd Day,LORETTA  , Day dress,summer-dresses,94.99,army green,,,,Semi-sheer,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Plain,,S3821C06I-N11,Short,Short,,Loose Fit,,
78,girly,Lauren Ralph Lauren,OFF THE SHOULDER GOWN , Occasion wear,Occasion dresses,219.99,white,,,Jersey,,"89% polyester, 11% elastane","94% polyester, 6% elastane","Machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Off-the-shoulder,Plain,"Bust darts, slip",L4221C1CS-A11,Long,Extra short,"57.5 "" (Size 10)",Slim Fit,,
