"Out of the following color options, which would you be least likely to wear? Limit your choices to max. 10 options.","Out of the following prints, which would you be least likely to wear? There is no choice limitation.","Out of the following necklines, which would you be least likely to wear? There is no choice limitation.","Out of the following collars, which would you be least likely to wear? There is no choice limitation.","Out of the following materials, which would you be least likely to wear? There is no choice limitation.","Out of the following dress types, which would you be least likely to wear? There is no choice limitation.","Out of the following skirt lengths, which would you be most likely to wear? There is no choice limitation.","Out of the following color options, which would you be most likely to wear? Limit your choices to max. 10 options.",What type of fit(s) do you prefer?,"Out of the following sleeve lengths types, which would you be most likely to wear? There is no choice limitation.","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Selected Choice","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Other options: - Text",What is your opinion on sequins/rhinestones?,What is your opinion on shoulder pads?,Are pockets in a dress important to you?,Do you like backless dresses?,Do you like sheer dresses?,What budget do you typically spend on dresses?,What is your height (+-)?,What is your age? You can leave this blank if you would rather not say.,Dress 1/20 How likely is it that you would wear this dress?,Dress 2/20 How likely is it that you would wear this dress?,Dress 3/20. How likely is it that you would wear this dress?,Dress 4/20. How likely is it that you would wear this dress?,Dress 5/20. How likely is it that you would wear this dress?,Dress 6/20. How likely is it that you would wear this dress?,Dress 7/20. How likely is it that you would wear this dress?,Dress 8/20 How likely is it that you would wear this dress?,Dress 9/20. How likely is it that you would wear this dress?,Dress 10/20. How likely is it that you would wear this dress?,Dress 11/20. How likely is it that you would wear this dress?,Dress 12/20. How likely is it that you would wear this dress?,Dress 13/20. How likely is it that you would wear this dress?,Dress 14/20. How likely is it that you would wear this dress?,Dress 15/20. How likely is it that you would wear this dress?,Dress 16/20. How likely is it that you would wear this dress?,Dress 17/20. How likely is it that you would wear this dress?,Dress 18/20. How likely is it that you would wear this dress?,Dress 19/20. How likely is it that you would wear this dress?,Dress 20/20. How likely is it that you would wear this dress?,"What styles do you identify most with? Limit yourself to picking three looks"
"Green,Purple,Yellow","Checked,Paisley","Cowl neckline","Zip neck collar","Leather,Satin","Bodycon dresses,Hooded dresses","Thigh length,Knee length,Calf length,Maxi/long","Black,Dusty pink,Grey,Navy,Orange,Pastel blue,Pastel green,Pastel orange,Red,Stone","Slim fit,Regular fit","Sleeveless,Short,Long","Ralph Lauren,Esprit,Tommy Hilfiger",,Neutral,Negative,No,Neutral,Neutral,â‚¬40-80,170 cm,48,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Burgundy,Burnt orange,Gold,Orange,Red,Silver","Animal print,Large floral,Paisley,Polka dot,Prints in general","Low round neckline","I like every collar","Jersey,Silk","Hooded dresses,Polo dresses","Short,Thigh length,Calf length,Maxi/long","Black,Dark green,Dusty pink,Pastel blue,Pastel green,Pastel orange,Pastel pink,Pastel purple,Pastel yellow,Pink,White","Regular fit,Loose fit","I like all sleeve lengths","Mango,NA-KD,Other options:","Monki",Negative,Neutral,Neutral,No,No,"< â‚¬40,â‚¬40-80",170 cm,19,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Green,Orange,Purple,Yellow","Striped,Prints in general","Cowl neckline,Square neckline","Peter pan collar","I don't have a preference on materials","Wrap dresses,Bodycon dresses,Pleated dresses","Thigh length,Maxi/long","Black,Blue,Electric blue,Off-white,Pastel blue,Pastel pink,Sand",I don't have a preference,"Short,Elbow length","Only,Mango,Esprit",,Neutral,Negative,Yes,Neutral,Neutral,â‚¬120 - 200,160,47,5- Very likely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Green,Yellow","Paisley,Striped","Henley neckline","Peter pan collar","Sweat,Wool","Hooded dresses,Polo dresses","Thigh length,Knee length,Calf length,Maxi/long","Black,Blue,Dusty pink,Navy,Off-white,Pastel blue,Pastel pink,White","Regular fit,Loose fit","Sleeveless,Short,Elbow length,Long","Only,Mango,Vila,Esprit",,Neutral,Negative,No,Neutral,No,"< â‚¬40,â‚¬40-80,â‚¬80-120",178,33,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Burnt orange,Green,Orange,Pastel purple,Purple,Red","Animal print,Checked,Small floral,Large floral,Paisley,Striped,Prints in general","Cowl neckline,Round neckline,V-neck,Square neckline","Lapel collar,Mandarin collar,Peter pan collar,Volant/frill collar,Standing collar","Leather,Lace,Linnen","Wrap dresses,Hooded dresses,Polo dresses","Knee length,Calf length,Maxi/long","Black,Blue,Dusty pink,Electric blue,Off-white,Pastel pink,Silver",I don't have a preference,"Short,Elbow length,Long","Only,Mango,Vila,Superdry,Esprit,Pieces",,Negative,Negative,No,No,Neutral,â‚¬80-120,1.70,43,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Electric blue,Orange,Pastel yellow,Stone,Yellow","Animal print,Small floral,Large floral,Paisley,Striped,Polka dot","V-neck,Low v-neck","Mandarin collar,Peter pan collar,Bow/shawl collar,Volant/frill collar,Standing collar","Leather,Jersey","Hooded dresses,Button down dresses,Pleated dresses","Extra short,Short","Black,Burgundy,Brown,Dark green,Green,Off-white,Pastel blue,Pastel green,Pastel purple,Pink","Regular fit,Loose fit","Strapless,Sleeveless,Short,One shoulder,Long","Other options:","Urban outfitters, motel rocks, jaded london",Neutral,Negative,No,Yes,Neutral,â‚¬40-80,166cm,21,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Burgundy,Brown,Burnt orange,Dark green,Electric blue,Green,Yellow","Paisley","Henley neckline,Square neckline","Mandarin collar,Peter pan collar,Zip neck collar","Linnen","Hooded dresses,Polo dresses,Button down dresses","Knee length,Maxi/long","Black,Gold,Pastel blue,Pastel pink,Red,Stone",Slim fit,"I like all sleeve lengths","Only,Vila,Esprit",,Neutral,Negative,No,Yes,Neutral,"â‚¬40-80,â‚¬80-120",1.74,42,3- Neutral,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,5- Very likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Green,Orange","Small floral,Paisley,Prints in general","Cowl neckline,Boat neckline (wide),Square neckline","Peter pan collar,Standing collar","Leather,Satin,Silk","Wrap dresses,Hooded dresses,Button down dresses","Short,Thigh length,Maxi/long","Black,Brown,Grey,Navy,Off-white,Sand,White","Slim fit,Regular fit","Sleeveless,Short,One shoulder,Long","Only,Superdry",,Neutral,Negative,Neutral,Yes,Neutral,â‚¬40-80,"1m 68 ",40,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,3- Neutral,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Dark green,Orange","Small floral,Large floral,Paisley,Prints in general","Square neckline","Peter pan collar","Linnen,Wool","Wrap dresses,Pleated dresses","Calf length,Maxi/long","Blue,Brown,Dusty pink,Grey,Navy",Loose fit,"Sleeveless,Elbow length,Long","Only,NA-KD,Tommy Hilfiger",,Neutral,Negative,Neutral,No,No,> â‚¬200,169,47,4- Likely to wear,4- Likely to wear,5- Very likely to wear,3- Neutral,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"Dusty pink,Orange,Pastel pink,Pink","Checked,Large floral","Cowl neckline,V-neck","Peter pan collar,Bow/shawl collar,Zip neck collar","Leather,Wool","Accentuating the waist,Wrap dresses,Bodycon dresses,Hooded dresses,Polo dresses,Button down dresses","Knee length,Maxi/long","Army green,Black,Grey,Navy",I don't have a preference,"Short,Elbow length,Long","Other options:","Marie mero, brax, ",Negative,Negative,No,No,No,â‚¬80-120,165,43,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burnt orange,Dark green,Orange,Pastel blue,Pastel orange,Pastel pink,Pink,Sand","Animal print,Checked,Striped","Low v-neck,Square neckline","Peter pan collar,Standing collar","I don't have a preference on materials","Hooded dresses","Short,Knee length,Maxi/long","Black,Blue,Grey,Navy,Off-white,Pastel pink,Pastel purple",Loose fit,"Short,One shoulder","Only,Other options:",,Neutral,Neutral,Neutral,Yes,Neutral,â‚¬80-120,177,49,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,,2- Unlikely to wear,,4- Likely to wear,4- Likely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,5- Very likely to wear,3- Neutral,5- Very likely to wear,,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Sporty - Adaptation of activewear, comfort focused,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Green,Pastel yellow,Purple","Small floral,Paisley,Prints in general","Cowl neckline,Low round neckline,Spaghetti straps","Peter pan collar,Standing collar","Jersey,Chiffon,Lace","Accentuating the waist,Wrap dresses,Bodycon dresses,Pleated dresses","Extra short,Short,Thigh length,Maxi/long","Black,Blue,Dark green,Dusty pink,Off-white,Sand",Slim fit,"Short,Elbow length,Long","Other options:","Ichi",Neutral,Neutral,Yes,No,Neutral,â‚¬120 - 200,1m64,40,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Sporty - Adaptation of activewear, comfort focused,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Dusty pink,Green,Pastel yellow,Purple,Silver,Yellow","Checked,Large floral,Polka dot","V-neck,Spaghetti straps","Peter pan collar,Zip neck collar","Lace","Hooded dresses,Polo dresses,Pleated dresses","Short","Black,Red",I don't have a preference,"Elbow length","Mango,NA-KD",,Negative,Neutral,No,Yes,Neutral,â‚¬80-120,160,26,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
