"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","brand","description","day dress","category","price","color","Bottom part material","Contains non-textile parts of animal origin","Fabric","Sheer","Outer fabric material","Lining","Care instructions","Collar","Cut","Pockets","Fastening","Neckline","Pattern","Details","Article number","Length","Sleeve length","Total length","Fit","Our model's height","Back width"
"sporty",2.1502948902871176E-13,5.587962900229791E-12,1.9530204894780763E-11,5.6253980538611634E-11,9.82284910130299E-17,0.9999999999181834,2.294189372820758E-13,12,"Tommy Hilfiger","REGULAR HOODIE DRESS ","Day dress","summer-dresses",84.49,"black",,,"Sweat",,"100% cotton",,"Machine wash at 30°C, Machine wash on gentle cycle","Hood",,,,,"Plain","Inseam pockets, elasticated waist","TO121C0J1-Q11","Knee-length","25.0 "" (Size S)","39.0 "" (Size S)","Regular Fit",,
"classic",1.9852705088199867E-11,7.360025654667925E-11,0.6548763050266959,2.3590282162625367E-6,0.035044735694569375,3.2538655496297173E-17,0.31007660015706556,13,"IVY & OAK BRIDAL","JOLANDA ","Occasion wear","Occasion dresses",279.99,"white",,,,,"100% viscose","100% viscose","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Zip","Crew neck","Plain","Button row, bust darts, slip, decorative buttons","IV521C026-A11","Calf-length","25.5 "" (Size 8)","49.0 "" (Size 8)","Regular Fit",,"13.5 "" (Size 8)"
"casual chic",3.620174285806994E-4,0.6219041700963521,0.37353871201757016,4.34840531823649E-4,9.81561582768299E-4,1.263444790696006E-13,0.0027786983427788474,14,"MICHAEL Michael Kors","SPRING BUD MIDI DRESS ","Day dress","summer-dresses",234.99,"bordeaux",,"Yes",,,"100% polyester","100% polyester","Machine wash at 30°C, Machine wash on gentle cycle",,,,"Button","Low-cut v-neck","Floral","Belt included, slip","MK121C0KN-I11","Calf-length","24.5 "" (Size S)","48.5 "" (Size S)","Regular Fit",,"15.0 "" (Size S)"
"casual chic",7.390357106836764E-5,0.8998912839957176,0.02827258643687642,2.089153367806047E-6,0.07152377751550562,2.3918719339087533E-6,2.339674555302445E-4,15,"ONLY","ONLTYRA LIFE SHORT DRESS ","Day dress","summer-dresses",34.99,"white",,,,,"100% viscose","100% polyester","Do not tumble dry, machine wash at 30°C, Dry cleanable, Do not bleach",,,,"Button","Crew neck","Plain","Slip, Crochet Detailing","ON321C1JD-A11","Short","3/4 length","36.0 "" (Size 10)","Normal fit",,
"alternative",0.9742768193900502,0.0257179222986411,1.68307265237481E-8,5.168608425486577E-6,2.5499804675431943E-9,7.3842822484494855E-9,6.293789401024554E-8,16,"Superdry","ALANA ","Day dress","summer-dresses",44.99,"navy",,,,,"100% viscose",,"Do not bleach, do not tumble dry",,,"Side pockets","Button","Scoop neck","Plain","Border","SU221C0NJ-K11","Short","Spaghetti straps",,"Regular Fit",,
"trendy",1.5970320952182068E-20,1.0785189228975859E-19,1.1877504375444077E-6,9.225330235008271E-4,0.0022384452183676212,9.968686699323225E-34,0.9968378340076941,17,"David Koma","Cocktail dress / Party dress",,"Cocktail Dresses",510.0,"white",,,"Rib",,"75% viscose, 23% nylon, 2% elastane",,"Dry clean only",,,,"Hook fastening ","Backless","Plain",,"D0T21C011-I11","Extra short","26.0 "" (Size 10)","33.5 "" (Size 10)","Bodycon","Our model is 5' 10""  tall and is wearing size 10",
"girly",3.574621286792606E-18,6.123184260314981E-17,1.1240089445520988E-7,3.245880968155499E-14,0.9999996165391527,2.1517247862464982E-26,2.710599201684837E-7,18,"Needle & Thread","WALTZING BLOOMS RUFFLE GOWN ","Occasion wear","Occasion dresses",359.99,"white multi-coloured",,,"Tulle",,"100% nylon","100% polyester","Dry cleanable",,,,"Zip","Low-cut v-neck","Floral","Slip","NT521C0G5-J11","Long","Short","58.5 "" (Size 8)","Regular Fit","Our model is 5' 9""  tall and is wearing size 8",
"classic",1.0278728020206123E-8,2.1217844627664677E-7,0.9965369839473157,0.0024272182736893304,7.409103321411308E-6,1.4552556674247606E-14,0.001028166218484675,19,"Diane von Furstenberg","KORA DRESS ","Day dress","summer-dresses",285.0,"black/green",,,,,"100% polyester",,"Dry clean only",,,,,"Low-cut v-neck","Print","Belt included, inseam pockets","DF221C0BO-M11","Knee-length","Short","34.5 "" (Size S)","Loose Fit","Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)"
"sporty",9.924580545807003E-6,6.210537936666284E-5,6.525567037375626E-5,1.2149727356853838E-5,9.988657980595879E-8,0.9998467352735122,3.7294822649660107E-6,20,"Tommy Jeans Curve","BADGE CREW DRESS ","Day dress","summer-dresses",79.99,"navy",,,"Sweat",,"70% cotton, 30% polyester",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle","Standing collar",,,,,"Plain","Inseam pockets, elasticated waist","T2C21C009-K11","Short","25.0 "" (Size 20)","36.0 "" (Size 20)","Loose Fit",,
"trendy",4.161492461013089E-13,8.081985209256584E-11,1.257348648226396E-4,0.13076258455288883,4.100915686399039E-5,4.027954128997567E-18,0.8690706713441886,21,"Alice + Olivia","VERNITA ","Cocktail dress / Party dress","Cocktail Dresses",360.0,"black",,,,,"50% viscose, 32% nylon, 18% cotton","94% polyester, 6% elastane","Dry clean only","Standing collar",,,"Zip",,"Plain","Button row, slip, bow, border","A2N21C00R-Q11","Short","Short","33.0 "" (Size 6)","Regular Fit","Our model is 5' 9""  tall and is wearing size 6","14.5 "" (Size 6)"
"alternative",0.9013383670961002,0.09248554875781721,0.0041576338566118795,1.4776027391248602E-5,0.001963252741068428,1.321602301162691E-9,4.0420199408849035E-5,22,"ONLY Carmakoma","CARMARRAKESH CALF DRESS ","Day dress","summer-dresses",43.99,"dusty pink",,,,"Semi-sheer","100% viscose",,"Do not tumble dry, machine wash at 30°C","Standing collar",,,,"Low-cut v-neck","Print","Bust darts","ONA21C070-J11","Calf-length","19.0 "" (Size 14)","49.0 "" (Size 14)","Loose Fit",,"14.5 "" (Size 14)"
"casual chic",3.201294758603593E-6,0.9997039433127489,2.633288829135932E-4,5.698304084045267E-6,2.319494887856288E-5,6.600755053255025E-9,6.266558607246141E-7,23,"Calvin Klein Jeans","FLORAL DRESS ","Day dress","summer-dresses",89.99,"black",,,,,"100% viscose",,"Hand wash only","Mandarin collar",,,"Zip",,"Floral",,"C1821C07H-Q11","Short","24.0 "" (Size S)","32.5 "" (Size S)","Regular Fit","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
"girly",0.04843843015257184,0.3217424877009264,0.27722826240156023,2.0723877649564615E-4,0.3522406820300148,1.6924609363743467E-7,1.427296923374179E-4,24,"VILA PETITE","VILAUREN DRESS ","Day dress","summer-dresses",34.99,"pastel pink",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Button","Crew neck","Floral","Belt included","VIP21C040-J11","Knee-length","Long",,"Regular Fit",,
"edgy",0.0012179321114856386,0.0049320251766022585,0.0024918668709751697,0.9870674581929306,1.5626170745545686E-4,2.0878542501324837E-7,0.004134247155125795,25,"Glamorous Bloom","PPLISSE MIDE WITH SIDE SPLIT ","Day dress","summer-dresses",38.99,"red/white",,,"Satin",,"73% polyester, 23% viscose, 4% elastane",,"Do not tumble dry, machine wash at 30°C",,,,,"Crew neck","Checked","Belt included","GLI29F04L-G11","Calf-length","24.5 "" (Size 8)","49.0 "" (Size 8)","Slim Fit",,"19.0 "" (Size 8)"
"casual chic",3.5539144527326654E-4,0.7943652596471666,0.006653966848277065,0.01103940589350993,0.18758565828737844,8.209065160252854E-13,3.1787757382354877E-7,26,"Vero Moda Maternity","VMMHENNA WRAP FRILL DRESS ","Day dress","summer-dresses",30.99,"black",,,,,"100% polyester",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,"Laces","Cache-coeur","Polka dot","Bust darts","VE129F010-Q11","Knee-length","Short","39.5 "" (Size S)","Regular Fit",,"14.5 "" (Size S)"
"classic",0.36981879969469866,0.03215600546398611,0.4842797417310525,6.39681148070989E-6,0.1136509656567394,1.4385813400462693E-11,8.809062765683577E-5,27,"Vila","VILANA V","NECK BELT DRESS ","summer-dresses",26.34,"navy",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Low-cut v-neck","Floral","Belt included","V1021C2WU-K13","Short","25.5 "" (Size 10)","38.5 "" (Size 10)","Regular Fit","Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)"
"trendy",0.00416629172565197,0.002247193724607564,6.855904043464871E-4,4.193043906525901E-4,0.49063482451178503,6.429228493595614E-8,0.5018467309506716,28,"Mango","MOGAMBOL H ","Day dress","summer-dresses",39.99,"off-white",,,,,"45% viscose, 40% cotton, 15% linen",,"Do not tumble dry, machine wash at 30°C",,,,"Zip","Square neck","Plain","Adjustable straps","M9121C5IF-A11","Calf-length","Spaghetti straps",,"Slim Fit",,
"classic",0.003019830518751665,3.8158905525799045E-4,0.9618158453337036,1.6136993969367513E-4,0.004353336386814158,0.005815182771349264,0.024452845994429467,29,"Massimo Dutti","MIT NECKHOLDER ","Day dress","summer-dresses",149.0,"yellow",,,,,"100% linen",,"Do not tumble dry, Do not wash",,,,"Zip","Crew neck","Marl",,"M3I21C0EZ-M11","Knee-length","Sleeveless",,"Regular Fit",,
"sporty",8.04084757571032E-4,0.0026356518050210166,0.01649383238791882,2.8323203732436096E-4,3.7834521931265596E-4,0.8820555357547665,0.09734931803808554,30,"KARL LAGERFELD","SIGNATURE DRESS ","Day dress","summer-dresses",199.99,"white",,,"Sweat",,"100% cotton",,,,,,,"Crew neck","Plain","Inseam pockets, elasticated waist, embroidery","K4821C04W-A11","Knee-length","26.5 "" (Size S)","34.5 "" (Size S)","Loose Fit",,
"girly",1.5429727474879537E-6,8.320985503852959E-5,0.03629193791434634,9.130578077974614E-5,0.9496290092933843,4.6452919819984E-8,0.01390294773078373,31,"Swing","Cocktail dress / Party dress",,"Cocktail Dresses",,"gold",,,,,"95% polyester, 5% elastane","80% polyester, 20% elastane",,,,,"Zip","Crew neck",,"Slip","SG721C0EX-F11","Short","Short","40.5 "" (Size 8)","Slim Fit","Our model is 5' 10""  tall and is wearing size 8",
"girly",8.611641058380036E-19,2.4445945056251118E-18,5.208337676665995E-4,6.2409081756491345E-9,0.9820733050182835,3.4828500003761094E-29,0.017405854973141666,32,"Needle & Thread","WILLOW RUFFLE GOWN ","Occasion wear","Occasion dresses",449.99,"bordeaux",,,"Tulle",,"100% polyester","100% polyester","Dry cleanable",,,,"Zip","Crew neck","Plain",,"NT521C0FW-G11","Long","Elbow length","59.0 "" (Size 8)","Regular Fit","Our model is 5' 9""  tall and is wearing size 8",
"sporty",2.919547084821775E-4,4.748931173964628E-4,0.0038138374707248164,0.016059984945923356,0.09506203322349517,0.8840692664360988,2.2803009787913126E-4,33,"ONLY","ONLCLEAN LIFE SLIM DRESS  ","Day dress","summer-dresses",17.99,"black",,,"Rib",,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,,"Crew neck","Plain",,"ON321C2SM-Q11","Extra short","Short","30.5 "" (Size S)","Bodycon","Our model is 5' 11""  tall and is wearing size S",
"classic",8.593561374821079E-4,0.00554246484961841,0.9933625778548759,1.3165096758868337E-8,9.352830965653093E-5,1.4167541596852055E-4,3.8426730189043337E-7,34,"Vila","VITINNY ","Day dress","summer-dresses",24.99,"navy",,,"Jersey",,"79% polyester, 18% viscose, 3% elastane",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,"Zip","Crew neck","Plain","Bust darts","V1021C0MM-K11","Short","18.0 "" (Size S)","32.5 "" (Size S)","Normal fit","Our model is 5' 10""  tall and is wearing size S",
"girly",8.455566914350054E-15,2.6515559671178773E-12,6.982516175712513E-5,5.185831808091646E-5,0.8270138606460635,5.6633603210182015E-24,0.17286445587143837,35,"Needle & Thread","EMILANA SHORT SLEEVE DRESS ","Cocktail dress / Party dress","Cocktail Dresses",394.99,"silver",,,"Tulle",,"100% polyester","100% polyester","Dry clean only",,,,"Zip","Crew neck","Plain","Slip, border, embroidery","NT521C0F1-K11","Short","Short","35.5 "" (Size 8)","Regular Fit","Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
"girly",1.6586784354301462E-4,2.619455101962409E-4,2.223242684705109E-4,2.6775352857526427E-6,0.9498499657450263,3.5042079751266372E-9,0.049497215593270284,36,"Abercrombie & Fitch","Day dress",,"summer-dresses",89.99,"green",,,"Jersey",,"95% polyester, 5% elastane",,"Machine wash at 30°C",,,,"Zip","Backless","Plain","Bust darts","A0F21C09P-M11","Extra short","Spaghetti straps, sleeveless","32.5 "" (Size S)","Slim Fit",,
"girly",0.042462422543502486,0.1951585518394396,4.6829676270567806E-4,0.02619551259339774,0.7355185430634634,8.812013033852735E-7,1.9579199618758304E-4,37,"Hollister Co.","BEST IS BACK WOVEN WRAP DRESS ","Day dress","summer-dresses",33.14,"black",,,,,"100% viscose",,,,,,"Laces","Low-cut v-neck","Floral",,"H0421C04Z-Q11","Extra short","Short","30.5 "" (Size SxS)","Regular Fit","Our model is 5' 9""  tall and is wearing size SxS","14.0 "" (Size SxS)"
"classic",7.333558722646946E-6,0.29856624155084216,0.6113963674419615,0.009025246502584275,0.05087273679808245,2.1734626527488882E-7,0.030131856801541696,38,"Monki","Day dress",,"summer-dresses",31.0,"black/white",,,,,"100% polyester",,"Machine wash at 40°C",,,,"Button","Crew neck","Polka dot",,"MOQ21C0BU-Q11","Calf-length","23.5 "" (Size S)","42.0 "" (Size S)","Regular Fit","Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
"edgy",1.4425602359414004E-4,0.03535068450485881,7.058940136479404E-4,0.6299389655699579,0.0034800401690512667,6.996333211301289E-14,0.33038015971882,39,"Cras","LILI DRESS ","Cocktail dress / Party dress","Cocktail Dresses",159.99,"bright multi-coloured",,,,,"100% polyester",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Laces","Crew neck","Print","Bust darts","CRG21C01D-J11","Calf-length","Elbow length","45.5 "" (Size 8)","Loose Fit","Our model is 5' 11""  tall and is wearing size 8","17.5 "" (Size 8)"
"casual chic",0.07083639657060906,0.9077284966683341,0.018736198904047166,0.002621786101957074,3.282010573205671E-5,5.282320513115618E-13,4.4301648792147456E-5,40,"Never Fully Dressed Tall","RETRO DAISY PANEL DRESS ","Day dress","summer-dresses",104.99,"black multi-coloured",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle","Mandarin collar",,,"Button",,"Floral","Bust darts","N0L21C01C-T11","Calf-length","Long",,"Loose Fit",,
"trendy",4.868011182330581E-10,2.5496258019203415E-10,0.0360881625000548,6.1612147958252595E-9,0.06786517066099096,1.1697920661724658E-10,0.8960466598189966,41,"YAS","YASANGLEA DRESS ","Occasion wear","Occasion dresses",174.99,"white",,,,,"100% cotton","100% cotton","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Low-cut v-neck","Plain","Slip","Y0121C1SD-A11","Long","Sleeveless","57.0 "" (Size S)","Regular Fit",,"11.5 "" (Size S)"
"casual chic",2.1737167308703853E-4,0.9666067579114497,1.5318680964273277E-4,2.4559832256110396E-5,0.03296951366193482,1.866554749955205E-7,2.84234561544595E-5,42,"SUMMERY Copenhagen","IBEN DRESS ","Day dress","summer-dresses",194.99,"pink",,,,,"100% cotton",,"Do not tumble dry, machine wash at 30°C",,,,"Laces","Low-cut v-neck","Checked","Bust darts","CEC21C03P-J11","Short","23.5 "" (Size S)","33.5 "" (Size S)","Loose Fit","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
"classic",0.0012432008260353353,0.019165467817737956,0.9787861827358864,8.193348454656749E-5,8.303506296227562E-5,4.335166407699037E-7,6.397465561903969E-4,43,"b.young","BYJOSA TUNIC DRESS ","Day dress","summer-dresses",39.99,"black/white",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Henley","Print",,"BY221C0F7-K12","Short","26.0 "" (Size 8)","37.0 "" (Size 8)","Loose Fit","Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)"
"trendy",8.503614926238243E-16,1.6185264766559747E-12,4.485434199085414E-5,0.02199183306002008,1.672081276144968E-8,3.047166273368789E-25,0.9779632958755569,44,"Diane von Furstenberg","BRIONI DRESS ","Cocktail dress / Party dress","Cocktail Dresses",365.0,"black",,,"Satin",,"100% silk",,"Dry clean only",,,,,"Cowl neck","Plain","Adjustable straps","DF221C0BH-Q11","Calf-length","Spaghetti straps","49.5 "" (Size S)","Regular Fit","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
"classic",0.05728369903971265,0.13884895499210761,0.5381306704239993,0.014635314755980412,0.04086008770893055,8.012814233721689E-4,0.2094399916558974,45,"Mango","MALAWI","L ","summer-dresses",35.99,"black",,,,,"100% cotton",,"Do not tumble dry, machine wash at 30°C",,,,,"Low-cut v-neck","Plain",,"M9121C5K6-Q11","Calf-length","Elbow length",,"Loose Fit",,
"casual chic",0.3564742989467476,0.42303560378942767,0.13994683263710822,4.317305518945481E-4,0.028258603300184672,0.005661677291154588,0.04619125348348272,46,"2nd Day","CINZIA BOUNCE ","Day dress","summer-dresses",109.99,"sand",,,,,"95% viscose, 4% cotton, 1% elastane",,"Machine wash at 30°C",,,,,"Square neck","Marl",,"S3821C06G-B11","Calf-length","Short","45.0 "" (Size 8)","Regular Fit",,
"trendy",1.82544554317031E-7,1.2511534017258315E-6,2.1536191390813687E-4,0.2094944487405763,2.0673783003743596E-5,2.2494942387260717E-14,0.7902680818645332,47,"ALIGNE","FRANCESCA LOW BACK SLIP DRESS WITH SELF TIE ","Cocktail dress / Party dress","Cocktail Dresses",74.99,"black",,,"Satin",,"100% viscose",,"Do not wash",,,,,"Backless","Plain","Bust darts, adjustable straps","ALY21C011-Q11","Calf-length","Spaghetti straps","53.0 "" (Size 8)","Regular Fit","Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)"
"sporty",0.12994785683798704,0.04930057795687401,0.0020951260027850197,0.004255214820693735,2.99536436510251E-6,0.5956979826227654,0.21870024639452967,48,"Love Moschino","Day dress",,"summer-dresses",154.99,"blue",,,"Sweat",,"100% cotton",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Crew neck","Print",,"LO921C083-K11","Short","Short","32.5 "" (Size 8)","Regular Fit",,
"casual chic",8.021535637749693E-5,0.9992382473922181,1.3252538292291919E-4,2.2895028831261614E-4,3.1788812766274664E-4,1.4137089188237677E-10,2.17331113519991E-6,49,"ONLY","ONLMARIANA MYRINA DRESS ","Day dress","summer-dresses",23.99,"black",,,,,"97% polyester, 3% elastane",,"Machine wash at 30°C, Machine wash on gentle cycle",,,,,"Crew neck","Floral","Bow","ON321C1CC-Q12","Short","Short","36.0 "" (Size 8)","Regular Fit","Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)"
"classic",0.010969834016982162,0.06843236236457653,0.9092265897810301,2.3972170609547615E-4,2.5218018602196136E-4,0.00986494644341933,0.0010143655018744436,50,"Saint Tropez","LOUISESZ DRESS ","Day dress","summer-dresses",59.99,"red",,,,,"100% cotton",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle","Standing collar",,,,"V-neck","Plain",,"S2821C0EF-G11","Knee-length","23.5 "" (Size S)","38.5 "" (Size S)","Loose Fit",,"15.5 "" (Size S)"
"trendy",6.29811806223525E-8,2.3578148286746983E-6,0.010448444488434745,0.006505817991549839,1.1151522393161565E-6,3.010449217254121E-13,0.9830422015714658,51,"NAF NAF","ORIENT  ","Cocktail dress / Party dress","Cocktail Dresses",74.99,"electric blue",,,"Satin",,"100% polyester",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Button","Crew neck","Plain","Slip","NA521C19A-M11","Short","Long",,"Regular Fit","Our model is 5' 10""  tall and is wearing size 8","12.0 "" (Size 8)"
"edgy",5.1363356599292E-13,8.772072518637652E-12,0.006357042926285082,0.4971131016405043,6.745789047515209E-4,7.18495086127359E-25,0.4958552765191732,52,"Philosophy di Lorenzo Serafini","Day dress",,"summer-dresses",455.0,"black",,,"Chiffon",,"100% polyester","100% polyester","Hand wash only, Dry cleanable",,,,"Zip","Crew neck","Plain","Slip","PHH21C00N-Q11","Short","23.0 "" (Size 10)","34.5 "" (Size 10)","Slim Fit","Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)"
"casual chic",0.00816427638666303,0.7232930687860925,0.1966728067905047,0.03158231337932064,0.03577095885662701,0.003710972342267739,8.056034585245392E-4,53,"JDY","SHORT DRESS ","Day dress","summer-dresses",18.99,"black",,,"Rib",,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Backless","Floral",,"JY121C0Q4-Q11",,"23.0 "" (Size S)","32.5 "" (Size S)","Regular Fit","Our model is 5' 10""  tall and is wearing size S",
"casual chic",2.950076574280442E-4,0.49963552970575814,0.005176650814733284,0.4901283936295893,0.0015551400333070659,1.822784895669898E-7,0.0032090958806944986,54,"ONLY Petite","ONLVICTORIA WRAP DRESS ","Day dress","summer-dresses",30.99,"black/brown",,,,,"80% viscose, 20% nylon",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Do not iron, Machine wash on gentle cycle","Standing collar",,,"Button",,"Animal print","Belt included","OP421C0BU-Q11","Short","23.5 "" (Size S)","33.0 "" (Size S)","Regular Fit","Our model is 5' 5""  tall and is wearing size S","15.0 "" (Size S)"
