cv_predicted,Styles,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59
edgy,edgy,0.883921567,4309,https://www.zalando.co.uk/2nd-day-loretta-crispy-day-dress-lark-s3821c068-b11.html,2nd Day,LORETTA CRISPY , Day dress,summer-dresses,Â£94.99,brown,--,--,--,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Button,Crew neck,Plain,--,S3821C068-B11,Short,Short,"36.0 "" (Size 8)",Loose Fit,--,"16.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.7156078240000001,6519,https://www.zalando.co.uk/maxandco-damerino-cocktail-dress-party-dress-black-mq921c0ba-q11.html,MAX&Co.,DAMERINO , Cocktail dress / Party dress,Cocktail Dresses,Â£199.99,black,--,--,--,--,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,--,MQ921C0BA-Q11,Calf-length,"23.5 "" (Size S)","44.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.20566236100000002,7500,https://www.zalando.co.uk/rich-and-royal-dress-long-printed-day-dress-scarlet-red-ri521c04x-g11.html,Rich & Royal,DRESS LONG PRINTED , Day dress,Cocktail Dresses,Â£104.99,red,--,--,Jersey,--,"65% modal, 30% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Print,--,RI521C04X-G11,Calf-length,"24.5 "" (Size S)","49.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.786772418,1489,https://www.zalando.co.uk/seidensticker-malia-day-dress-dunkelblau-3se21c01l-k11.html,Seidensticker,MALIA  , Day dress,summer-dresses,Â£109.99,navy,--,--,--,Semi-sheer,100% linen,--,--,Mandarin collar,--,--,--,Low-cut v-neck,Plain,Inseam pockets,3SE21C01L-K11,Knee-length,Short,"38.5 "" (Size 10)",--,"Our model is 5' 10""  tall and is wearing size 10","16.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.88160596,5642,https://www.zalando.co.uk/vero-moda-vmboa-highneck-short-dress-shirt-dress-pine-grove-ve121c2e2-m11.html,Vero Moda,Day dress,,summer-dresses,Â£26.34,black,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not bleach",Standing collar,--,--,Button,--,Plain,Belt included,VE121C2E2-M11,Short,Long,--,Regular Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.482939157,1924,https://www.zalando.co.uk/superdry-day-dress-black-su221c0ng-q11.html,Superdry,STRAP BACK  , Shift dress,summer-dresses,Â£34.99,black,--,--,--,--,"58% modal, 42% polyester",--,"Do not bleach, do not tumble dry",--,--,--,--,--,Plain,--,SU221C0NG-Q11,Long,Sleeveless,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,alternative,0.231574605,2279,https://www.zalando.co.uk/soft-rebels-ulrikke-dress-day-dress-mahogany-r6721c06q-o11.html,Soft Rebels,ULRIKKE DRESS , Day dress,summer-dresses,Â£69.99,dusty pink,--,--,--,--,"73% modal, 27% polyester",--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,--,R6721C06Q-O11,Knee-length,"18.5 "" (Size S)","38.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.565466948,1566,https://www.zalando.co.uk/anna-field-day-dress-black-an621c1i6-q12.html,Anna Field,Jersey dress,,summer-dresses,Â£28.99,black,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,--,Plain,"Belt included, elasticated waist",AN621C1I6-Q12,Knee-length,Spaghetti straps,"41.5 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.9487546640000001,4425,https://www.zalando.co.uk/2nd-day-spin-day-dress-black-s3821c05s-q11.html,2nd Day,SPIN  , Day dress,summer-dresses,Â£179.99,black,--,--,--,--,100% polyester,--,"Do not tumble dry, Hand wash only",Standing collar,--,--,--,--,Plain,--,S3821C05S-Q11,Short,"23.5 "" (Size 8)","37.0 "" (Size 8)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.9458829329999999,4551,https://www.zalando.co.uk/mango-marte2-day-dress-kaki-m9121c5kw-n11.html,Mango,MARTE2 , Day dress,summer-dresses,Â£49.99,army green,--,--,--,--,"83% modal, 17% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",--,--,--,Button,Low-cut v-neck,Plain,--,M9121C5KW-N11,Calf-length,Extra short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,casual chic,0.989102906,649,https://www.zalando.co.uk/only-onlhanna-smock-dress-day-dress-multi-coloured-on321c2p4-c11.html,ONLY,ONLHANNA SMOCK DRESS , Day dress,summer-dresses,Â£29.74,multi-coloured,--,--,Chiffon,--,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Floral,"Elasticated waist, slip",ON321C2P4-C11,Knee-length,"23.0 "" (Size S)","36.0 "" (Size S)",Regular Fit,--,"14.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.101998478,5446,https://www.zalando.co.uk/evenandodd-2-pack-day-dress-blackgrey-ev421c158-q13.html,Even&Odd,2 PACK , Day dress,summer-dresses,Â£24.99,black/grey,--,--,Jersey,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Print,--,EV421C158-Q13,Knee-length,Elbow length,"32.0 "" (Size S)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,casual chic,0.382307081,728,https://www.zalando.co.uk/jdy-jdyivy-mathilde-dress-day-dress-mottled-dark-grey-jy121c0px-c11.html,JDY,JDYIVY MATHILDE DRESS , Day dress,summer-dresses,Â£16.14,grey,--,--,Sweat,--,"63% polyester, 37% cotton",--,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",--,--,--,--,Crew neck,Marl,--,JY121C0PX-C11,Short,"25.5 "" (Size S)","33.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,girly,0.828059089,7380,https://www.zalando.co.uk/fiorucci-alpine-angels-mini-bodice-dress-cocktail-dress-party-dress-multi-fi921c00k-t11.html,Fiorucci,ALPINE ANGELS MINI BODICE DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£194.99,bright multi-coloured,--,--,--,--,"97% polyester, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Print,"Wired bustier, bow",FI921C00K-T11,Extra short,"23.0 "" (Size S)","28.5 "" (Size S)",Bodycon,"Our model is 5' 11""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.39625721399999997,1368,https://www.zalando.co.uk/jdy-jdyivy-dress-day-dress-lavendula-jy121c0dg-i11.html,JDY,JDYIVY DRESS , Day dress,summer-dresses,Â£17.99,pastel purple,--,--,Sweat,--,"62% cotton, 38% polyester",--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Crew neck,Plain,--,JY121C0DG-I11,Knee-length,Short,"38.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,alternative,0.744237777,499,https://www.zalando.co.uk/superdry-alana-cami-day-dress-autumn-mustard-su221c0nj-e11.html,Superdry,ALANA , Day dress,summer-dresses,Â£44.99,orange,--,--,--,--,"50% polyester, 50% cotton",--,--,--,--,--,--,--,--,--,SU221C0NJ-E11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.437735551,456,https://www.zalando.co.uk/only-onlevery-hoodie-dress-day-dress-junebug-on321c2p6-m11.html,ONLY,ONLEVERY HOODIE DRESS , Day dress,summer-dresses,Â£30.99,dark green,--,--,Sweat,--,"60% cotton, 40% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,--,--,Marl,Inseam pockets,ON321C2P6-M11,Short,"23.0 "" (Size S)","32.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.557304469,217,https://www.zalando.co.uk/vero-moda-vmhenna-wrap-frill-dress-day-dress-laurel-wreath-ve121c2ra-m11.html,Vero Moda,VMHENNA WRAP FRILL DRESS , Day dress,summer-dresses,Â£30.99,pastel green,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Laces,Cache-coeur,Polka dot,Bust darts,VE121C2RA-M11,Short,Short,"38.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.683509969,1597,https://www.zalando.co.uk/wal-g-micha-round-neck-skater-dress-day-dress-mint-wg021c0so-m11.html,WAL G.,MICHA ROUND NECK SKATER DRESS , Jersey dress,summer-dresses,Â£37.99,pastel blue,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Plain,--,WG021C0SO-M11,Short,Sleeveless,"38.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.594730492,1173,https://www.zalando.co.uk/only-tall-onlolivia-wrap-dress-day-dress-dusk-blue-ond21c05c-k11.html,ONLY Tall,ONLOLIVIA DRESS , Day dress,summer-dresses,Â£25.99,pastel blue,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Floral,Bust darts,OND21C05C-K11,Knee-length,Short,"40.5 "" (Size 8)",Slim Fit,--,"15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
unknown,classic,0.390890444,3807,https://www.zalando.co.uk/see-by-chloe-day-dress-sand-se321e04e-b11.html,See by ChloÃ©,Day dress,,summer-dresses,Â£255.00,sand,--,--,Canvas,--,"54% cotton, 44% polyamide, 2% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Laces,Low-cut v-neck,Plain,--,SE321E04E-B11,Short,Sleeveless,"35.0 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10","17.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,casual chic,0.701481749,480,https://www.zalando.co.uk/gap-tiered-midi-dress-day-dress-true-black-gp021c0kc-q11.html,GAP,TIERED MIDI DRESS , Day dress ,summer-dresses,Â£64.99,black,--,--,--,--,100% viscose,--,Machine wash at 30Â°C,Mandarin collar,--,--,Button,--,Print,Bust darts,GP021C0KC-Q11,Calf-length,"25.0 "" (Size M)","49.0 "" (Size M)",Regular Fit,--,"16.5 "" (Size M)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.9621788090000001,7064,https://www.zalando.co.uk/abodi-cadmael-dress-cocktail-dress-party-dress-black-abi21c001-q11.html,ABODI,CADMAEL DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£865.00,black/brown,--,--,Faux leather,--,100% polyester,"68% acetate, 32% polyester",Do not wash,--,--,--,Zip,Low-cut v-neck,Checked,--,ABI21C001-Q11,Knee-length,"24.0 "" (Size 10)","43.5 "" (Size 10)",Bodycon,"Our model is 5' 11""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.26010338,4443,https://www.zalando.co.uk/cotton-on-maternity-friendly-space-day-dress-blue-space-dye-c1q29f019-k11.html,Cotton On Maternity,FRIENDLY SPACE , Day dress,summer-dresses,Â£28.99,pastel blue,--,--,Rib,--,"72% viscose, 28% polyamide",--,Hand wash only,--,--,--,--,Crew neck,Print,--,C1Q29F019-K11,Calf-length,Short,"49.0 "" (Size 12)",Bodycon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
unknown,edgy,0.905242228,3789,https://www.zalando.co.uk/adidas-originals-day-dress-multi-coloured-ad121c08x-t11.html,adidas Originals,Day dress,,summer-dresses,Â£49.95,brown,--,--,--,--,"93% cotton, 7% elastane",--,"Colour may run - please wash separately, do not tumble dry, machine wash at 30Â°C",Zip neck,--,--,Zip,--,Print,--,AD121C08X-T11,Short,Long,"68.0 "" (Size 10)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.811611023,4118,https://www.zalando.co.uk/closed-noelle-day-dress-black-cl321c02e-q11.html,CLOSED,NOELLE , Day dress,summer-dresses,Â£279.99,black,--,--,Chiffon,Semi-sheer,100% viscose,--,Dry clean only,--,--,--,Zip,Low-cut v-neck,Plain,--,CL321C02E-Q11,Calf-length,"24.5 "" (Size S)","51.0 "" (Size S)",Regular Fit,"Our model is 5' 11""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.47858191200000005,7244,https://www.zalando.co.uk/never-fully-dressed-rainbow-mini-wrap-cocktail-dress-party-dress-multi-nen21c04c-t11.html,Never Fully Dressed,RAINBOW MINI WRAP , Cocktail dress / Party dress,Cocktail Dresses,Â£94.99,bright multi-coloured,--,--,--,--,"63% polyester, 31% metal, 6% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Colourful,--,NEN21C04C-T11,Knee-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.162999816,6789,https://www.zalando.co.uk/closet-closet-london-puff-sleeve-dress-cocktail-dress-party-dress-lilac-cl921c0tc-i11.html,Closet,CLOSET LONDON PUFF SLEEVE DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£114.99,pastel purple,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Crew neck,Print,--,CL921C0TC-I11,Calf-length,"24.5 "" (Size 10)","50.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.8740474979999999,6773,https://www.zalando.co.uk/cult-gaia-orella-dress-cocktail-dress-party-dress-off-white-cui21c00u-a11.html,Cult Gaia,ORELLA DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£440.00,off-white,--,--,--,--,"55% linen, 43% viscose, 2% elastane",--,Dry cleaning,--,--,--,Zip,Backless,Plain,--,CUI21C00U-A11,Calf-length,Sleeveless,"55.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.643294668,816,https://www.zalando.co.uk/only-onllaurence-day-dress-apple-butter-on321c2sn-g11.html,ONLY,ONLLAURENCE  , Day dress,summer-dresses,Â£34.99,dusty pink,--,--,Tulle,Semi-sheer,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,Slip,ON321C2SN-G11,Short,"25.5 "" (Size S)","34.5 "" (Size S)",Regular Fit,--,"12.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.911190555,3733,https://www.zalando.co.uk/superdry-college-crew-jersey-dress-eclipse-navy-su221c0pf-k12.html,Superdry,COLLEGE CREW , Day dress,summer-dresses,Â£25.00,navy,--,--,Sweat,--,100% cotton,--,"Do not bleach, do not tumble dry",--,--,--,--,Crew neck,Print,--,SU221C0PF-K12,Extra short,Long,--,Oversized,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.448653161,5686,https://www.zalando.co.uk/vero-moda-vmaya-vneck-dress-day-dress-black-ve121c2ec-q11.html,Vero Moda,VMAYA VNECK , Day dress,summer-dresses,Â£26.24,black,--,--,--,--,"99% polyester, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,--,Henley,Plain,Slip,VE121C2EC-Q11,Knee-length,"24.0 "" (Size S)","38.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.432046694,3315,https://www.zalando.co.uk/anna-field-mama-jersey-dress-black-ex429f035-q11.html,Anna Field MAMA,NURSING , Day Dress ,summer-dresses,Â£23.99,black,--,--,Sweat,--,"95% cotton, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,--,--,Plain,"Elasticated waist, nursing-friendly",EX429F035-Q11,Knee-length,"25.5 "" (Size M)","37.0 "" (Size M)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
