,cv_predicted,Style,Brand,"Dress name ",Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?
10,edgy,edgy,2nd Day,"LORETTA CRISPY ",94.99,3,brown,Cotton,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Button,Wrap dresses,Round neckline,Plain,Slip,Short,Short,Short,"36.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)",No,No,No,No,No
11,classic,classic,MAX&Co.,"DAMERINO ",199.99,4,black,Polyester,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Calf length,"23.5 "" (Size S)",Long,"44.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
12,trendy,trendy,Rich & Royal,"DRESS LONG PRINTED ",104.99,3,red,Jersey,"65% modal, 30% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Prints in general,Slip,Calf length,"24.5 "" (Size S)",Long,"49.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
13,classic,classic,Seidensticker,"MALIA  ",109.99,3,navy,Linnen,100% linen,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Inseam pockets,Knee length,Short,Short,"38.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","16.5 "" (Size 10)",Yes,No,No,No,No
14,trendy,trendy,Vero Moda,Day dress,26.34,1,black,Polyester,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not bleach",Standing collar,Asymmetrical,Button,Accentuating the waist,Round neckline,Plain,Belt included,Short,Long,Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
15,sporty,sporty,Superdry,"STRAP BACK  ",34.99,1,black,Polyester,"58% modal, 42% polyester",100% polyester,"Do not bleach, do not tumble dry",Standing collar,Asymmetrical,Zip,Wrap dresses,Boat neckline (wide),Plain,Slip,Maxi/long,Sleeveless,Sleeveless,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
16,alternative,alternative,Soft Rebels,"ULRIKKE DRESS ",69.99,2,dusty pink,Polyester,"73% modal, 27% polyester",100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Slip,Knee length,"18.5 "" (Size S)",Elbow length,"38.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
17,trendy,trendy,Anna Field,Jersey dress,28.99,1,black,Jersey,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Accentuating the waist,Round neckline,Plain,"Belt included, elasticated waist",Knee length,Spaghetti straps,Spaghetti straps,"41.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
18,edgy,edgy,2nd Day,"SPIN  ",179.99,4,black,Polyester,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Slip,Short,"23.5 "" (Size 8)",Long,"37.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
19,classic,classic,Mango,"MARTE2 ",49.99,2,army green,Linnen,"83% modal, 17% polyester",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",Standing collar,Asymmetrical,Button,Wrap dresses,Low v-neck,Plain,Slip,Calf length,Extra short,Short,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
20,alternative,casual chic,Only,"ONLHANNA SMOCK DRESS ",29.74,1,multi-coloured,Chiffon,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Standing collar,Asymmetrical,Button,Wrap dresses,Round neckline,Floral,"Elasticated waist, slip",Knee length,"23.0 "" (Size S)",Long,"36.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size S)",No,No,No,No,No
21,sporty,sporty,Even&Odd,"2 PACK ",24.99,1,black/grey,Jersey,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Prints in general,Slip,Knee length,Elbow length,Elbow length,"32.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
22,edgy,casual chic,JDY,"JDYIVY MATHILDE DRESS ",16.14,1,grey,Sweat,"63% polyester, 37% cotton",100% polyester,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Slip,Short,"25.5 "" (Size S)",Long,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
23,girly,girly,Fiorucci,"ALPINE ANGELS MINI BODICE DRESS ",194.99,4,bright multi-coloured,Polyester,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Bodycon dresses,Square neckline,Prints in general,"Wired bustier, bow",Extra short,"23.0 "" (Size S)",Long,"28.5 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,Yes
24,sporty,sporty,JDY,"JDYIVY DRESS ",17.99,1,pastel purple,Sweat,"62% cotton, 38% polyester",100% polyester,"Machine wash at 40Â°C, do not tumble dry",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Slip,Knee length,Short,Short,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
25,alternative,alternative,Superdry,"ALANA ",44.99,2,orange,Polyester,"50% polyester, 50% cotton",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Spaghetti straps,Plain,Slip,Short,Spaghetti straps,Spaghetti straps,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
26,sporty,sporty,Only,"ONLEVERY HOODIE DRESS ",30.99,1,dark green,Sweat,"60% cotton, 40% polyester",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,Inseam pockets,Short,"23.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
27,girly,girly,Vero Moda,"VMHENNA WRAP FRILL DRESS ",30.99,1,pastel green,Polyester,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Laces,Wrap dresses,Low v-neck,Polka dot,Bust darts,Short,Short,Short,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No
28,girly,girly,WAL G.,"MICHA ROUND NECK SKATER DRESS ",37.99,1,pastel blue,Jersey,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Slip,Short,Sleeveless,Sleeveless,"38.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 8)",No,No,No,No,Yes
29,girly,girly,Only,"ONLOLIVIA DRESS ",25.99,1,pastel blue,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Laces,Wrap dresses,Low v-neck,Floral,Bust darts,Knee length,Short,Short,"40.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No
30,alternative,classic,See by Chloe,Day dress,255.0,5,sand,Canvas,"54% cotton, 44% polyamide, 2% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Laces,Wrap dresses,Low v-neck,Plain,Slip,Short,Sleeveless,Sleeveless,"35.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","17.0 "" (Size 10)",No,No,No,No,No
31,classic,casual chic,GAP,"TIERED MIDI DRESS ",64.99,2,black,Chiffon,100% viscose,100% polyester,Machine wash at 30Â°C,Mandarin collar,Asymmetrical,Button,Wrap dresses,Round neckline,Prints in general,Bust darts,Calf length,"25.0 "" (Size M)",Long,"49.0 "" (Size M)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size M)",No,No,No,No,No
32,edgy,edgy,ABODI,"CADMAEL DRESS ",865.0,5,black/brown,Leather,100% polyester,"68% acetate, 32% polyester",Do not wash,Standing collar,Asymmetrical,Zip,Bodycon dresses,Low v-neck,Checked,Slip,Knee length,"24.0 "" (Size 10)",Long,"43.5 "" (Size 10)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No
33,edgy,edgy,Adidas,Day dress,49.95,2,brown,Chiffon,"93% cotton, 7% elastane",100% polyester,"Colour may run - please wash separately, do not tumble dry, machine wash at 30Â°C",Zip neck,Asymmetrical,Zip,Wrap dresses,Low v-neck,Prints in general,Slip,Short,Long,Long,"68.0 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
34,classic,classic,CLOSED,"NOELLE ",279.99,5,black,Chiffon,100% viscose,100% polyester,Dry clean only,Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Calf length,"24.5 "" (Size S)",Long,"51.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size 8)",Yes,No,No,No,No
35,trendy,trendy,Never Fully Dressed,"RAINBOW MINI WRAP ",94.99,3,bright multi-coloured,Chiffon,"63% polyester, 31% metal, 6% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Laces,Wrap dresses,Low v-neck,Prints in general,Slip,Knee length,Long,Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
36,trendy,trendy,Closet,"CLOSET LONDON PUFF SLEEVE DRESS ",114.99,3,pastel purple,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Prints in general,Slip,Calf length,"24.5 "" (Size 10)",Long,"50.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No
37,girly,trendy,Cult Gaia,"ORELLA DRESS ",440.0,5,off-white,Chiffon,"55% linen, 43% viscose, 2% elastane",100% polyester,Dry cleaning,Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Calf length,Sleeveless,Sleeveless,"55.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,Yes
38,girly,girly,Only,"ONLLAURENCE  ",34.99,1,dusty pink,Tulle,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Short,"25.5 "" (Size S)",Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","12.5 "" (Size S)",Yes,No,No,No,No
39,sporty,sporty,Superdry,"COLLEGE CREW ",25.0,1,navy,Sweat,100% cotton,100% polyester,"Do not bleach, do not tumble dry",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Prints in general,Slip,Extra short,Long,Long,"34.5 "" (Size S)",Oversized,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
40,classic,classic,Vero Moda,"VMAYA VNECK ",26.24,1,black,Chiffon,"99% polyester, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",Standing collar,Asymmetrical,Zip,Wrap dresses,Henley neckline,Plain,Slip,Knee length,"24.0 "" (Size S)",Long,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
41,sporty,sporty,Anna Field,"NURSING ",23.99,1,black,Sweat,"95% cotton, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,"Elasticated waist, nursing-friendly",Knee length,"25.5 "" (Size M)",Long,"37.0 "" (Size M)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
42,classic,classic,The Kooples,"DRESS ",349.99,5,black,Chiffon,100% polyester,100% viscose,Dry clean only,Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,"Button row, slip",Calf length,"25.0 "" (Size 8)",Long,"49.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)",No,No,No,No,No
43,classic,casual chic,Only,"ONLANELINE WRAP ",30.99,1,blue,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,"Elasticated waist, slip",Short,"25.5 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",Yes,No,No,No,No
44,trendy,trendy,Elisabetta Franchi,"WOMENS DRESS WITH BELT ",514.99,5,sand,Leather,100% polyester,"97% polyester, 3% elastane",Hand wash only,Lapel collar,Asymmetrical,Zip,Accentuating the waist,Low v-neck,Plain,"Belt included, zip fastening, slip",Short,Short,Short,"36.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No
45,girly,girly,Only,"ONLMELLA DRESS  ",34.99,1,pastel blue,Chiffon,"80% polyester, 20% cotton",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Accentuating the waist,V-neck,Striped,"Border, bust darts, belt included",Short,Elbow length,Elbow length,"33.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",Yes,No,No,No,No
46,casual chic,casual chic,Ilse Jacobsen,"RUMA ",174.99,4,black,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Prints in general,"Belt included, bust darts",Calf length,"20.5 "" (Size 8)",Long,"51.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","16.0 "" (Size 8)",No,No,No,No,No
47,casual chic,casual chic,Esprit,"LIGHT ",59.99,2,red,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,Asymmetrical,Zip,Button down dresses,Low v-neck,Floral,Decorative buttons,Knee length,"24.0 "" (Size 10)",Long,"40.5 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","16.0 "" (Size 10)",No,No,No,No,No
48,trendy,casual chic,JDY,"JDYMATHILDE DRESS ",23.99,1,pastel green,Jersey,"65% polyester, 35% cotton",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Slip,Short,"25.0 "" (Size S)",Long,"34.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
49,casual chic,casual chic,PS Paul Smith,"DRESS ",279.99,5,blue,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,V-neck,Floral,Border,Short,"26.0 "" (Size 8)",Long,"35.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No
50,trendy,trendy,Versace Jeans Couture,"CADY BISTRETCH ",329.99,5,black,Chiffon,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Square neckline,Plain,Slip,Extra short,Sleeveless,Sleeveless,"33.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes
51,trendy,trendy,Only,"ONLDAYA STRAP PRINT DRESS ",25.99,1,green,Satin,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Cowl neckline,Prints in general,Slip,Extra short,Spaghetti straps,Spaghetti straps,"34.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes
52,trendy,trendy,GANT,"PLEATED DRESS ",219.99,5,multi-coloured,Chiffon,100% polyester,100% polyester,Machine wash at 30Â°C,Turn-down collar,Asymmetrical,Button,Button down dresses,Low v-neck,Prints in general,Belt included,Calf length,"23.5 "" (Size 8)",Long,"47.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No
53,classic,classic,Vero Moda,"VMKATNISS SHORT DRESS ",31.49,1,black,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Button,Accentuating the waist,Round neckline,Floral,"Belt included, bust darts, slip",Short,Sleeveless,Sleeveless,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
54,classic,classic,Esprit,"DRESSES LIGHT ",54.99,2,red,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Laces,Wrap dresses,V-neck,Plain,Slip,Knee length,"20.0 "" (Size 10)",Long,"39.5 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 10)",No,No,No,No,No
55,girly,girly,Vero Moda,"VMHENNA WRAP FRILL DRESS ",30.99,1,red,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Belt,Wrap dresses,Low v-neck,Polka dot,Slip,Knee length,Short,Short,"36.0 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size S)",No,No,No,No,No
56,girly,girly,Needle & Thread,"FLORET BALLERINA DRESS ",499.99,5,pastel pink,Tulle,100% polyester,100% polyester,Dry clean only,Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Floral,"Bust darts, slip, border, embroidery",Calf length,"25.0 "" (Size 8)",Long,"48.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
57,girly,girly,"IVY & OAK ","DRESS ",239.99,5,white,Lace,"75% cotton, 25% nylon","65% cotton, 32% nylon, 3% elastane","Hand wash only, Dry cleanable",Mandarin collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,"Bust darts, slip, fringing",Knee length,Short,Short,"41.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes
58,alternative,trendy,WAL G.,"JINA SKATER DRESS ",33.99,1,dark green,Jersey,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Short,Spaghetti straps,Spaghetti straps,"34.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 8)",No,No,No,No,No
59,sporty,sporty,Polo Ralph Lauren,"COTTON MESH POLO DRESS ",139.99,4,pink,PiquÃ©,100% cotton,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,Asymmetrical,Zip,Polo dresses,Low v-neck,Plain,Slip,Short,Short,Short,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
60,alternative,girly,Only,"ONLOLIVIA WRAP DRESS ",25.99,1,black/red,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Laces,Wrap dresses,Low v-neck,Floral,Bust darts,Knee length,Short,Short,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
