link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zalando.co.uk/wal-g-mimi-one-shoulder-dress-occasion-wear-dark-fushia-wg021c0r5-j11.html,WAL G.,MIMI ONE SHOULDER DRESS , Jersey dress,Occasion dresses,Â£42.99,dark fushia,--,--,Jersey,--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,Asymmetrical,--,Zip,--,Plain,--,WG021C0R5-J11,Long,"Strapless, spaghetti straps","59.0 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/mascara-occasion-wear-red-m0921c0e6-g11.html,Mascara,Occasion wear,,Occasion dresses,Â£199.99,red,--,--,Tulle,--,100% polyester,100% polyester,"Do not tumble dry, Do not wash",--,--,--,Zip,Backless,Plain,"Padded bust, slip, sequins, rhinestones",M0921C0E6-G11,Long,Spaghetti straps,"61.5 "" (Size 8)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/mascara-occasion-wear-red-m0921c0e6-g11.html,Mascara,Occasion wear,,Occasion dresses,Â£199.99,taupe,--,--,Tulle,--,100% polyester,100% polyester,"Do not tumble dry, Do not wash",--,--,--,Zip,Backless,Plain,"Padded bust, slip, sequins, rhinestones",M0921C0E6-G11,Long,Spaghetti straps,"61.5 "" (Size 8)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-hamley-dress-occasion-wear-navy-blue-wg021c0rs-k11.html,WAL G.,HAMLEY DRESS , Occasion wear,Occasion dresses,Â£49.99,navy blue,--,--,"Jersey, tulle",--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,Slip,WG021C0RS-K11,Long,Spaghetti straps,"57.5 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-evening-dress-occasion-wear-majorelle-blue-sg721c0m0-k11.html,Swing,EVENING DRESS , Occasion wear,Occasion dresses,Â£159.99,majorelle blue,--,--,Chiffon,--,100% polyester,100% polyester,--,--,--,--,Zip,Backless,Plain,"Padded bust, sequins, rhinestones",SG721C0M0-K11,Long,Spaghetti straps,"60.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-evening-dress-occasion-wear-majorelle-blue-sg721c0m0-k11.html,Swing,EVENING DRESS , Occasion wear,Occasion dresses,Â£159.99,flamingo pink,--,--,Chiffon,--,100% polyester,100% polyester,--,--,--,--,Zip,Backless,Plain,"Padded bust, sequins, rhinestones",SG721C0M0-K11,Long,Spaghetti straps,"60.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/lace-and-beads-gabriella-occasion-wear-sage-ls721c0gi-m11.html,Lace & Beads,GABRIELLA , Occasion wear,Occasion dresses,Â£139.99,sage,--,--,Tulle,--,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",--,--,--,Zip,Cache-coeur,Plain,"Bust darts, sequins, underskirt, rhinestones",LS721C0GI-M11,Long,Short,"58.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/love-copenhagen-lora-dress-cocktail-dress-party-dress-red-bud-l1g21c057-g11.html,Love Copenhagen,LORA MAXI DRESS , Occasion wear,Occasion dresses,Â£139.99,red bud,--,--,Satin,--,100% polyester,--,--,--,--,--,Zip,Cache-coeur,Floral,"Belt included, bust darts, embroidery",L1G21C057-G11,Long,Short,"54.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-evening-dress-occasion-wear-flamingo-pink-sg721c0m0-k12.html,Swing,EVENING DRESS , Occasion wear,Occasion dresses,Â£159.99,flamingo pink,--,--,Chiffon,--,100% polyester,100% polyester,--,--,--,--,Zip,Backless,Plain,"Padded bust, slip, sequins, rhinestones",SG721C0M0-K12,Long,Spaghetti straps,"63.0 "" (Size 10)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-evening-dress-occasion-wear-flamingo-pink-sg721c0m0-k12.html,Swing,EVENING DRESS , Occasion wear,Occasion dresses,Â£159.99,majorelle blue,--,--,Chiffon,--,100% polyester,100% polyester,--,--,--,--,Zip,Backless,Plain,"Padded bust, slip, sequins, rhinestones",SG721C0M0-K12,Long,Spaghetti straps,"63.0 "" (Size 10)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/lauren-ralph-lauren-monae-occasion-wear-blacksparkling-champagne-l4221c1av-q11.html,Lauren Ralph Lauren,MONAE , Occasion wear,Occasion dresses,Â£264.99,black/sparkling champagne,--,--,Jersey,--,"94% polyester, 6% elastane","95% polyester, 5% elastane","Hand wash only, Dry cleanable",--,--,--,Zip,Cache-coeur,--,Sequins,L4221C1AV-Q11,Long,Spaghetti straps,"61.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,100% nylon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-darling-maxi-dress-occasion-wear-dark-grey-wg021c0r9-c11.html,WAL G.,DARLING MAXI DRESS , Occasion wear,Occasion dresses,Â£79.99,dark grey,--,--,Tulle,--,100% polyester,"95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Cache-coeur,Plain,"Padded bust, slip, sequins",WG021C0R9-C11,Knee-length,"23.5 "" (Size 10)","59.0 "" (Size 10)",Bodycon,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-darling-maxi-dress-occasion-wear-dark-grey-wg021c0r9-c11.html,WAL G.,DARLING MAXI DRESS , Occasion wear,Occasion dresses,Â£79.99,emerald green,--,--,Tulle,--,100% polyester,"95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Cache-coeur,Plain,"Padded bust, slip, sequins",WG021C0R9-C11,Knee-length,"23.5 "" (Size 10)","59.0 "" (Size 10)",Bodycon,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/tfnc-rochelle-occasion-wear-pink-tf121c0ow-j11.html,TFNC,ROCHELLE , Occasion wear,Occasion dresses,Â£46.99,pink,--,--,Chiffon,--,100% polyester,100% polyester,Hand wash only,--,--,--,--,Cowl neck,Plain,"Bust darts, slip",TF121C0OW-J11,Long,Sleeveless,--,Regular Fit,--,"17.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/vila-vimilina-long-dress-occasion-wear-total-eclipse-v1021c29l-k11.html,Vila,VIMILINA LONG DRESS , Occasion wear,Occasion dresses,Â£46.74,total eclipse,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,"Slip, bow",V1021C29L-K11,Long,Sleeveless,"56.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/vila-vimilina-long-dress-occasion-wear-total-eclipse-v1021c29l-k11.html,Vila,VIMILINA LONG DRESS , Occasion wear,Occasion dresses,Â£46.74,black,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,"Slip, bow",V1021C29L-K11,Long,Sleeveless,"56.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/vila-vimilina-long-dress-occasion-wear-total-eclipse-v1021c29l-k11.html,Vila,VIMILINA LONG DRESS , Occasion wear,Occasion dresses,Â£46.74,pale mauve,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,"Slip, bow",V1021C29L-K11,Long,Sleeveless,"56.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/vila-vimilina-long-dress-occasion-wear-total-eclipse-v1021c29l-k11.html,Vila,VIMILINA LONG DRESS , Occasion wear,Occasion dresses,Â£46.74,winetasting,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,"Slip, bow",V1021C29L-K11,Long,Sleeveless,"56.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-occasion-wear-ivory-sg721c0lw-a11.html,Swing,Occasion wear,,Occasion dresses,Â£199.99,ivory,--,--,Chiffon,--,100% polyester,"97% polyester, 3% elastane","Do not tumble dry, Do not wash",--,--,--,Zip,Cache-coeur,Plain,Slip,SG721C0LW-A11,Long,Elbow length,"57.5 "" (Size 10)",Regular Fit,--,"12.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-high-neck-maxi-occasion-wear-red-wg021c07w-g11.html,WAL G.,HIGH NECK MAXI , Occasion wear,Occasion dresses,Â£54.99,red,--,--,Lace,--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,Zip,--,Plain,"Bust darts, padded bust, slip",WG021C07W-G11,Long,Sleeveless,"62.0 "" (Size 10)",Tight fit,"Our model is 5' 11""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-jayne-lee-dress-occasion-wear-gold-wg021c0qp-f11.html,WAL G.,JAYNE LEE DRESS , Occasion wear,Occasion dresses,Â£79.99,gold,--,--,Knit,--,100% polyester,"95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,Asymmetrical,--,Zip,Cache-coeur,Plain,"Bust darts, adjustable straps, slip, sequins",WG021C0QP-F11,Long,"24.5 "" (Size 10)","58.5 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/molly-bracken-ladies-dress-occasion-wear-copper-m6121c0uk-g11.html,Molly Bracken,LADIES DRESS , Occasion wear,Occasion dresses,Â£69.99,copper,--,--,--,--,"70% viscose, 30% lyocell",100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,Slip,M6121C0UK-G11,Knee-length,Sleeveless,"46.0 "" (Size S)",Regular Fit,--,"8.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/mascara-occasion-wear-spring-m0921c0eb-j11.html,Mascara,Occasion wear,,Occasion dresses,Â£199.99,spring,--,--,"Lace, tulle",Semi-sheer,100% polyester,--,Do not tumble dry,--,--,--,Zip,Backless,Plain,"Padded bust, slip, rhinestones",M0921C0EB-J11,Long,Sleeveless,"60.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,100% polyester,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/lace-and-beads-savannah-occasion-wear-nudesilver-ls721c0fu-j11.html,Lace & Beads,SAVANNAH , Occasion wear,Occasion dresses,Â£104.99,nude/silver,--,--,"Chiffon, tulle",--,100% polyester,100% polyester,Hand wash only,--,--,--,Zip,Crew neck,--,"Bust darts, slip, sequins, flower applique, rhinestones",LS721C0FU-J11,Long,Extra short,"57.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)",--,--,100% polyester,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/lace-and-beads-savannah-occasion-wear-nudesilver-ls721c0fu-j11.html,Lace & Beads,SAVANNAH , Occasion wear,Occasion dresses,Â£104.99,navy,--,--,"Chiffon, tulle",--,100% polyester,100% polyester,Hand wash only,--,--,--,Zip,Crew neck,--,"Bust darts, slip, sequins, flower applique, rhinestones",LS721C0FU-J11,Long,Extra short,"57.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)",--,--,100% polyester,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/lace-and-beads-savannah-occasion-wear-nudesilver-ls721c0fu-j11.html,Lace & Beads,SAVANNAH , Occasion wear,Occasion dresses,Â£104.99,sage,--,--,"Chiffon, tulle",--,100% polyester,100% polyester,Hand wash only,--,--,--,Zip,Crew neck,--,"Bust darts, slip, sequins, flower applique, rhinestones",LS721C0FU-J11,Long,Extra short,"57.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)",--,--,100% polyester,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/jarlo-esmeralda-occasion-wear-navy-j3121c085-k11.html,Jarlo,ESMERALDA , Occasion wear,Occasion dresses,Â£139.99,navy,--,--,--,--,100% nylon,"98% polyester, 2% elastane","Do not tumble dry, Do not wash",--,--,--,Zip,Backless,Plain,Slip,J3121C085-K11,Calf-length,"Strapless, sleeveless","49.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/vila-virilla-v-neck-ankle-dress-occasion-wear-misty-rose-v1021c2w5-j11.html,Vila,VIRILLA , Occasion wear,Occasion dresses,Â£52.24,misty rose,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Volant collar,--,--,Zip,Backless,Plain,"Bust darts, slip",V1021C2W5-J11,Long,Extra short,"56.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/vila-virilla-v-neck-ankle-dress-occasion-wear-misty-rose-v1021c2w5-j11.html,Vila,VIRILLA , Occasion wear,Occasion dresses,Â£52.24,navy ,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Volant collar,--,--,Zip,Backless,Plain,"Bust darts, slip",V1021C2W5-J11,Long,Extra short,"56.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/mascara-occasion-wear-mauve-m0921c0dp-i11.html,Mascara,Occasion wear,,Occasion dresses,Â£199.99,mauve,--,--,Tulle,--,100% polyester,100% polyester,Dry clean only,--,--,--,Zip,Low-cut v-neck,Plain,"Padded bust, slip, sequins, rhinestones",M0921C0DP-I11,Long,Spaghetti straps,"61.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/vila-vimilia-pearl-ankle-dress-occasion-wear-cloud-dancer-white-v1021c2y9-a11.html,Vila,VIMILIA PEARL ANKLE DRESS , Occasion wear,Occasion dresses,Â£89.99,cloud dancer white,--,--,Tulle,--,100% nylon,100% polyester,Hand wash only,--,--,--,Button,Backless,Plain,"Adjustable straps, slip, rhinestones",V1021C2Y9-A11,Long,Spaghetti straps,"59.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/yas-yasanglea-dress-occasion-wear-star-white-y0121c1sd-a11.html,YAS,YASANGLEA DRESS , Occasion wear,Occasion dresses,Â£174.99,star white,--,--,--,--,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,Slip,Y0121C1SD-A11,Long,Sleeveless,"57.0 "" (Size S)",Regular Fit,--,"11.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/vila-visancia-v-neck-ankle-dress-occasion-wear-desert-sage-v1021c2x1-m11.html,Vila,VISANCIAV NECK , Occasion wear,Occasion dresses,Â£37.39,desert sage,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,"Slip, border",V1021C2X1-M11,Long,Sleeveless,"54.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/vila-visancia-v-neck-ankle-dress-occasion-wear-desert-sage-v1021c2x1-m11.html,Vila,VISANCIAV NECK , Occasion wear,Occasion dresses,Â£37.39,navy blazer,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,"Slip, border",V1021C2X1-M11,Long,Sleeveless,"54.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/lace-and-beads-saron-occasion-wear-lilac-ls721c0gj-i11.html,Lace & Beads,SARON , Occasion wear,Occasion dresses,Â£139.99,lilac,--,--,Tulle,--,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",--,--,--,Zip,Backless,Plain,"Bust darts, embroidery, slip, rhinestones",LS721C0GJ-I11,Long,Short,"58.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
