Style options,Styles,Random order,Original order,,link,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
,casual chic,0.701481749,480,,https://www.zalando.co.uk/gap-tiered-midi-dress-day-dress-true-black-gp021c0kc-q11.html,TIERED MIDI DRESS , Day dress ,summer-dresses,Â£64.99,black,--,--,--,--,100% viscose,--,Machine wash at 30Â°C,Mandarin collar,--,--,Button,--,Print,Bust darts,GP021C0KC-Q11,Calf-length,"25.0 "" (Size M)","49.0 "" (Size M)",Regular Fit,--,"16.5 "" (Size M)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.656008727,1234,,https://www.zalando.co.uk/gap-woven-dress-shift-dress-stem-green-gp021c0k5-m11.html,WOVEN DRESS , Day dress,summer-dresses,Â£43.99,dark green,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Floral,Bust darts,GP021C0K5-M11,Short,"25.0 "" (Size XS)","35.5 "" (Size XS)",Regular Fit,"Our model is 5' 10""  tall and is wearing size XS","14.0 "" (Size XS)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.26010338,4443,,https://www.zalando.co.uk/cotton-on-maternity-friendly-space-day-dress-blue-space-dye-c1q29f019-k11.html,FRIENDLY SPACE , Day dress,summer-dresses,Â£28.99,pastel blue,--,--,Rib,--,"72% viscose, 28% polyamide",--,Hand wash only,--,--,--,--,Crew neck,Print,--,C1Q29F019-K11,Calf-length,Short,"49.0 "" (Size 12)",Bodycon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.124578161,5875,,https://www.zalando.co.uk/superdry-isabella-funnel-day-dress-dark-charcoal-marl-su221c0lz-c11.html,ISABELLA FUNNEL , Day dress,summer-dresses,Â£45.49,brown,--,--,--,--,"53% polyester, 23% nylon, 22% wool, 2% elastane",--,"Do not tumble dry, Do not bleach",--,--,--,--,--,--,--,SU221C0LZ-C11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.811611023,4118,,https://www.zalando.co.uk/closed-noelle-day-dress-black-cl321c02e-q11.html,NOELLE , Day dress,summer-dresses,Â£279.99,black,--,--,Chiffon,Semi-sheer,100% viscose,--,Dry clean only,--,--,--,Zip,Low-cut v-neck,Plain,--,CL321C02E-Q11,Calf-length,"24.5 "" (Size S)","51.0 "" (Size S)",Regular Fit,"Our model is 5' 11""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.478581912,7244,,https://www.zalando.co.uk/never-fully-dressed-rainbow-mini-wrap-cocktail-dress-party-dress-multi-nen21c04c-t11.html,RAINBOW MINI WRAP , Cocktail dress / Party dress,Cocktail Dresses,Â£94.99,bright multi-coloured,--,--,--,--,"63% polyester, 31% metal, 6% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Colourful,--,NEN21C04C-T11,Knee-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.162999816,6789,,https://www.zalando.co.uk/closet-closet-london-puff-sleeve-dress-cocktail-dress-party-dress-lilac-cl921c0tc-i11.html,CLOSET LONDON PUFF SLEEVE DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£114.99,pastel purple,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Crew neck,Print,--,CL921C0TC-I11,Calf-length,"24.5 "" (Size 10)","50.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.874047498,6773,,https://www.zalando.co.uk/cult-gaia-orella-dress-cocktail-dress-party-dress-off-white-cui21c00u-a11.html,ORELLA DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£440.00,off-white,--,--,--,--,"55% linen, 43% viscose, 2% elastane",--,Dry cleaning,--,--,--,Zip,Backless,Plain,--,CUI21C00U-A11,Calf-length,Sleeveless,"55.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.643294668,816,,https://www.zalando.co.uk/only-onllaurence-day-dress-apple-butter-on321c2sn-g11.html,ONLLAURENCE  , Day dress,summer-dresses,Â£34.99,dusty pink,--,--,Tulle,Semi-sheer,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,Slip,ON321C2SN-G11,Short,"25.5 "" (Size S)","34.5 "" (Size S)",Regular Fit,--,"12.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.911190555,3733,,https://www.zalando.co.uk/superdry-college-crew-jersey-dress-eclipse-navy-su221c0pf-k12.html,COLLEGE CREW , Day dress,summer-dresses,Â£25.00,navy,--,--,Sweat,--,100% cotton,--,"Do not bleach, do not tumble dry",--,--,--,--,Crew neck,Print,--,SU221C0PF-K12,Extra short,Long,--,Oversized,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.448653161,5686,,https://www.zalando.co.uk/vero-moda-vmaya-vneck-dress-day-dress-black-ve121c2ec-q11.html,VMAYA VNECK , Day dress,summer-dresses,Â£26.24,black,--,--,--,--,"99% polyester, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,--,Henley,Plain,Slip,VE121C2EC-Q11,Knee-length,"24.0 "" (Size S)","38.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.432046694,3315,,https://www.zalando.co.uk/anna-field-mama-jersey-dress-black-ex429f035-q11.html,NURSING , Day Dress ,summer-dresses,Â£23.99,black,--,--,Sweat,--,"95% cotton, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,--,--,Plain,"Elasticated waist, nursing-friendly",EX429F035-Q11,Knee-length,"25.5 "" (Size M)","37.0 "" (Size M)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.112464568,6999,,https://www.zalando.co.uk/the-kooples-dress-cocktail-dress-party-dress-black-tha21c09o-q11.html,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£349.99,black,--,--,Chiffon,--,100% polyester,100% viscose,Dry clean only,--,--,--,Zip,Crew neck,Plain,"Button row, slip",THA21C09O-Q11,Calf-length,"25.0 "" (Size 8)","49.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.038880357,756,,https://www.zalando.co.uk/only-onlaneline-wrap-day-dress-moonlight-blue-on321c2pb-k11.html,ONLANELINE WRAP , Day dress,summer-dresses,Â£30.99,blue,--,--,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Cache-coeur,Plain,"Elasticated waist, slip",ON321C2PB-K11,Short,"25.5 "" (Size S)","35.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.983691749,7003,,https://www.zalando.co.uk/elisabetta-franchi-womens-dress-with-belt-cocktail-dress-party-dress-cammello-ef121c0bk-b11.html,WOMENS DRESS WITH BELT , Cocktail dress / Party dress,Cocktail Dresses,Â£514.99,sand,--,--,Faux leather,--,100% polyester,"97% polyester, 3% elastane",Hand wash only,Lapel collar,--,--,Zip,--,Plain,"Belt included, zip fastening, slip",EF121C0BK-B11,Short,Short,"36.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
