,cv_predicted,Styles,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
10,edgy,edgy,2nd Day,LORETTA CRISPY , Day dress,summer-dresses,94.99,brown,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Plain,Slip,S3821C068-B11,Short,Short,"36.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)"
11,classic,classic,MAX&Co.,DAMERINO , Cocktail dress / Party dress,Cocktail Dresses,199.99,black,100% polyester,Yes,Chiffon,Semi-sheer,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,MQ921C0BA-Q11,Calf-length,"23.5 "" (Size S)","44.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
12,trendy,trendy,Rich & Royal,DRESS LONG PRINTED , Day dress,Cocktail Dresses,104.99,red,100% polyester,Yes,Jersey,Semi-sheer,"65% modal, 30% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Print,Slip,RI521C04X-G11,Calf-length,"24.5 "" (Size S)","49.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)"
13,classic,classic,Seidensticker,MALIA  , Day dress,summer-dresses,109.99,navy,100% polyester,Yes,Chiffon,Semi-sheer,100% linen,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Mandarin collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Inseam pockets,3SE21C01L-K11,Knee-length,Short,"38.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","16.5 "" (Size 10)"
14,trendy,trendy,Vero Moda,Day dress, Day dress,summer-dresses,26.34,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Dry cleanable, Do not bleach",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Plain,Belt included,VE121C2E2-M11,Short,Long,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)"
15,sporty,sporty,Superdry,STRAP BACK  , Shift dress,summer-dresses,34.99,black,100% polyester,Yes,Chiffon,Semi-sheer,"58% modal, 42% polyester",100% polyester,"Do not bleach, do not tumble dry",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,SU221C0NG-Q11,Long,Sleeveless,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
16,alternative,alternative,Soft Rebels,ULRIKKE DRESS , Day dress,summer-dresses,69.99,dusty pink,100% polyester,Yes,Chiffon,Semi-sheer,"73% modal, 27% polyester",100% polyester,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,R6721C06Q-O11,Knee-length,"18.5 "" (Size S)","38.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
17,trendy,trendy,Anna Field,Jersey dress, Day dress,summer-dresses,28.99,black,100% polyester,Yes,Jersey,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,"Belt included, elasticated waist",AN621C1I6-Q12,Knee-length,Spaghetti straps,"41.5 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)"
18,edgy,edgy,2nd Day,SPIN  , Day dress,summer-dresses,179.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,S3821C05S-Q11,Short,"23.5 "" (Size 8)","37.0 "" (Size 8)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)"
19,classic,classic,Mango,MARTE2 , Day dress,summer-dresses,49.99,army green,100% polyester,Yes,Chiffon,Semi-sheer,"83% modal, 17% polyester",100% polyester,"Do not tumble dry, machine wash at 30°C, Dry cleanable",Standing collar,Asymmetrical,Hoodie pocket,Button,Low-cut v-neck,Plain,Slip,M9121C5KW-N11,Calf-length,Extra short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
20,alternative,casual chic,ONLY,ONLHANNA SMOCK DRESS , Day dress,summer-dresses,29.74,multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,"Elasticated waist, slip",ON321C2P4-C11,Knee-length,"23.0 "" (Size S)","36.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size S)"
21,sporty,sporty,Even&Odd,2 PACK , Day dress,summer-dresses,24.99,black/grey,100% polyester,Yes,Jersey,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Print,Slip,EV421C158-Q13,Knee-length,Elbow length,"32.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
22,edgy,casual chic,JDY,JDYIVY MATHILDE DRESS , Day dress,summer-dresses,16.14,grey,100% polyester,Yes,Sweat,Semi-sheer,"63% polyester, 37% cotton",100% polyester,"Machine wash at 40°C, do not tumble dry, A shrinkage of up to 5% may occur",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Marl,Slip,JY121C0PX-C11,Short,"25.5 "" (Size S)","33.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)"
23,trendy,girly,Fiorucci,ALPINE ANGELS MINI BODICE DRESS , Cocktail dress / Party dress,Cocktail Dresses,194.99,bright multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Print,"Wired bustier, bow",FI921C00K-T11,Extra short,"23.0 "" (Size S)","28.5 "" (Size S)",Bodycon,"Our model is 5' 11""  tall and is wearing size S","15.0 "" (Size S)"
24,sporty,sporty,JDY,JDYIVY DRESS , Day dress,summer-dresses,17.99,pastel purple,100% polyester,Yes,Sweat,Semi-sheer,"62% cotton, 38% polyester",100% polyester,"Machine wash at 40°C, do not tumble dry",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,JY121C0DG-I11,Knee-length,Short,"38.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
25,alternative,alternative,Superdry,ALANA , Day dress,summer-dresses,44.99,orange,100% polyester,Yes,Chiffon,Semi-sheer,"50% polyester, 50% cotton",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,SU221C0NJ-E11,Short,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
26,sporty,sporty,ONLY,ONLEVERY HOODIE DRESS , Day dress,summer-dresses,30.99,dark green,100% polyester,Yes,Sweat,Semi-sheer,"60% cotton, 40% polyester",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Hood,Asymmetrical,Hoodie pocket,Zip,Crew neck,Marl,Inseam pockets,ON321C2P6-M11,Short,"23.0 "" (Size S)","32.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
27,girly,girly,Vero Moda,VMHENNA WRAP FRILL DRESS , Day dress,summer-dresses,30.99,pastel green,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Laces,Cache-coeur,Polka dot,Bust darts,VE121C2RA-M11,Short,Short,"38.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)"
28,girly,girly,WAL G.,MICHA ROUND NECK SKATER DRESS , Jersey dress,summer-dresses,37.99,pastel blue,100% polyester,Yes,Jersey,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,Slip,WG021C0SO-M11,Short,Sleeveless,"38.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 8)"
29,girly,girly,ONLY Tall,ONLOLIVIA DRESS , Day dress,summer-dresses,25.99,pastel blue,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Cache-coeur,Floral,Bust darts,OND21C05C-K11,Knee-length,Short,"40.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
30,unknown,classic,See by ChloÃ©,Day dress, Day dress,summer-dresses,255.0,sand,100% polyester,Yes,Canvas,Semi-sheer,"54% cotton, 44% polyamide, 2% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Laces,Low-cut v-neck,Plain,Slip,SE321E04E-B11,Short,Sleeveless,"35.0 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10","17.0 "" (Size 10)"
31,classic,casual chic,GAP,TIERED MIDI DRESS , Day dress ,summer-dresses,64.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,Machine wash at 30°C,Mandarin collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Print,Bust darts,GP021C0KC-Q11,Calf-length,"25.0 "" (Size M)","49.0 "" (Size M)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size M)"
32,edgy,edgy,ABODI,CADMAEL DRESS , Cocktail dress / Party dress,Cocktail Dresses,865.0,black/brown,100% polyester,Yes,Faux leather,Semi-sheer,100% polyester,"68% acetate, 32% polyester",Do not wash,Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Checked,Slip,ABI21C001-Q11,Knee-length,"24.0 "" (Size 10)","43.5 "" (Size 10)",Bodycon,"Our model is 5' 11""  tall and is wearing size 10","14.0 "" (Size 10)"
33,sporty,sporty,Cotton On Maternity,FRIENDLY SPACE , Day dress,summer-dresses,28.99,pastel blue,100% polyester,Yes,Rib,Semi-sheer,"72% viscose, 28% polyamide",100% polyester,Hand wash only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Print,Slip,C1Q29F019-K11,Calf-length,Short,"49.0 "" (Size 12)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
34,unknown,edgy,adidas Originals,Day dress, Day dress,summer-dresses,49.95,brown,100% polyester,Yes,Chiffon,Semi-sheer,"93% cotton, 7% elastane",100% polyester,"Colour may run - please wash separately, do not tumble dry, machine wash at 30°C",Zip neck,Asymmetrical,Hoodie pocket,Zip,Crew neck,Print,Slip,AD121C08X-T11,Short,Long,"68.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
35,classic,classic,CLOSED,NOELLE , Day dress,summer-dresses,279.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,CL321C02E-Q11,Calf-length,"24.5 "" (Size S)","51.0 "" (Size S)",Regular Fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size 8)"
36,trendy,trendy,Never Fully Dressed,RAINBOW MINI WRAP , Cocktail dress / Party dress,Cocktail Dresses,94.99,bright multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,"63% polyester, 31% metal, 6% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Cache-coeur,Colourful,Slip,NEN21C04C-T11,Knee-length,Long,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
37,trendy,trendy,Closet,CLOSET LONDON PUFF SLEEVE DRESS , Cocktail dress / Party dress,Cocktail Dresses,114.99,pastel purple,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Print,Slip,CL921C0TC-I11,Calf-length,"24.5 "" (Size 10)","50.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)"
38,trendy,trendy,Cult Gaia,ORELLA DRESS , Cocktail dress / Party dress,Cocktail Dresses,440.0,off-white,100% polyester,Yes,Chiffon,Semi-sheer,"55% linen, 43% viscose, 2% elastane",100% polyester,Dry cleaning,Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,Slip,CUI21C00U-A11,Calf-length,Sleeveless,"55.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
39,girly,girly,ONLY,ONLLAURENCE  , Day dress,summer-dresses,34.99,dusty pink,100% polyester,Yes,Tulle,Semi-sheer,100% polyester,100% polyester,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,ON321C2SN-G11,Short,"25.5 "" (Size S)","34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","12.5 "" (Size S)"
40,sporty,sporty,Superdry,COLLEGE CREW , Day dress,summer-dresses,25.0,navy,100% polyester,Yes,Sweat,Semi-sheer,100% cotton,100% polyester,"Do not bleach, do not tumble dry",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Print,Slip,SU221C0PF-K12,Extra short,Long,"34.5 "" (Size S)",Oversized,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
41,classic,classic,Vero Moda,VMAYA VNECK , Day dress,summer-dresses,26.24,black,100% polyester,Yes,Chiffon,Semi-sheer,"99% polyester, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",Standing collar,Asymmetrical,Hoodie pocket,Zip,Henley,Plain,Slip,VE121C2EC-Q11,Knee-length,"24.0 "" (Size S)","38.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)"
42,sporty,sporty,Anna Field MAMA,NURSING , Day Dress ,summer-dresses,23.99,black,100% polyester,Yes,Sweat,Semi-sheer,"95% cotton, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Hood,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,"Elasticated waist, nursing-friendly",EX429F035-Q11,Knee-length,"25.5 "" (Size M)","37.0 "" (Size M)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
43,classic,classic,The Kooples,DRESS , Cocktail dress / Party dress,Cocktail Dresses,349.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% viscose,Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,"Button row, slip",THA21C09O-Q11,Calf-length,"25.0 "" (Size 8)","49.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)"
44,classic,casual chic,ONLY,ONLANELINE WRAP , Day dress,summer-dresses,30.99,blue,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Plain,"Elasticated waist, slip",ON321C2PB-K11,Short,"25.5 "" (Size S)","35.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
45,trendy,trendy,Elisabetta Franchi,WOMENS DRESS WITH BELT , Cocktail dress / Party dress,Cocktail Dresses,514.99,sand,100% polyester,Yes,Faux leather,Semi-sheer,100% polyester,"97% polyester, 3% elastane",Hand wash only,Lapel collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,"Belt included, zip fastening, slip",EF121C0BK-B11,Short,Short,"36.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)"
46,girly,girly,ONLY,ONLMELLA DRESS  , Day dress,summer-dresses,34.99,pastel blue,100% polyester,Yes,Chiffon,Semi-sheer,"80% polyester, 20% cotton",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Striped,"Border, bust darts, belt included",ON321C2TI-K11,Short,Elbow length,"33.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
47,casual chic,casual chic,Ilse Jacobsen,RUMA , Day dress,summer-dresses,174.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Print,"Belt included, bust darts",IL121C04N-B11,Calf-length,"20.5 "" (Size 8)","51.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","16.0 "" (Size 8)"
48,casual chic,casual chic,Esprit,LIGHT , Day dress,summer-dresses,59.99,red,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Floral,Decorative buttons,ES121C225-G11,Knee-length,"24.0 "" (Size 10)","40.5 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","16.0 "" (Size 10)"
49,trendy,casual chic,JDY,JDYMATHILDE DRESS , Day dress,summer-dresses,23.99,pastel green,100% polyester,Yes,Jersey,Semi-sheer,"65% polyester, 35% cotton",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,JY121C0HD-M11,Short,"25.0 "" (Size S)","34.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
50,casual chic,casual chic,PS Paul Smith,DRESS , Day dress,summer-dresses,279.99,blue,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Floral,Border,PS721C034-K11,Short,"26.0 "" (Size 8)","35.5 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)"
51,trendy,trendy,Versace Jeans Couture,CADY BISTRETCH , Cocktail dress / Party dress,Cocktail Dresses,329.99,black,100% polyester,Yes,Chiffon,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,Slip,VEI21C042-Q11,Extra short,Sleeveless,"33.0 "" (Size 8)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)"
52,trendy,trendy,ONLY Petite,ONLDAYA STRAP PRINT DRESS , Cocktail dress / Party dress,Cocktail Dresses,25.99,green,100% polyester,Yes,Satin,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Print,Slip,OP421C0DT-M11,Extra short,Spaghetti straps,"34.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
53,trendy,trendy,GANT,PLEATED DRESS , Day dress,summer-dresses,219.99,multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,Machine wash at 30°C,Shirt collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Print,Belt included,GA321C061-A11,Calf-length,"23.5 "" (Size 8)","47.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)"
54,classic,classic,Vero Moda,VMKATNISS SHORT DRESS , Day dress,summer-dresses,31.49,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,"Belt included, bust darts, slip",VE121C2PA-Q11,Short,Sleeveless,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
55,classic,classic,Esprit,DRESSES LIGHT , Day dress,summer-dresses,54.99,red,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,V-neck,Plain,Slip,ES121C22N-G11,Knee-length,"20.0 "" (Size 10)","39.5 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 10)"
56,girly,girly,Vero Moda Petite,VMHENNA WRAP FRILL DRESS , Day dress,Cocktail Dresses,30.99,red,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Belt,Cache-coeur,Polka dot,Slip,VM021C0D8-G11,Knee-length,Short,"36.0 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size S)"
