,Style,Link,Brand,Dress name ,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Article number,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?
829,,https://www.zalando.co.uk/cotton-on-petite-petite-dress-shift-dress-black-c6a21c008-q11.html,Cotton On,PETITE DRESS ,28.99,1,black,Rib,"72% viscose, 28% polyamide",--,Hand wash only,Turn-down collar,--,--,Bodycon dresses,Low v-neck,Plain,--,C6A21C008-Q11,Extra short,Short,Short,"33.5 "" (Size S)",Bodycon,Slim fit,--,--,No,No,No,No,No
830,,https://www.zalando.co.uk/esprit-collection-day-dress-navy-es421c1lm-k12.html,Esprit,Day dress,75.00,2,navy,--,"86% cotton, 13% polyamide, 1% elastane",100% polyester,"Do not bleach, do not tumble dry, machine wash at 30Â°C",--,--,--,,Round neckline,Striped,Slip,ES421C1LM-K12,Calf length,Elbow length,Elbow length,--,Regular Fit,Regular fit,--,--,No,No,No,No,No
831,,https://www.zalando.co.uk/tommy-hilfiger-regular-hoodie-short-sweatshirt-black-to121c0j1-q11.html,Tommy Hilfiger,REGULAR HOODIE DRESS ,84.49,3,black,Sweat,100% cotton,--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,Hooded dresses,--,Plain,"Inseam pockets, elasticated waist",TO121C0J1-Q11,Knee length,"25.0 "" (Size S)",Long,"39.0 "" (Size S)",Regular Fit,Regular fit,--,--,No,yes,No,No,No
832,,https://www.zalando.co.uk/ivy-and-oak-bridal-jolanda-occasion-wear-snow-white-iv521c026-a11.html,IVY & OAK ,JOLANDA ,279.99,5,white,--,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Zip,,Round neckline,Plain,"Button row, bust darts, slip, decorative buttons",IV521C026-A11,Calf length,"25.5 "" (Size 8)",Long,"49.0 "" (Size 8)",Regular Fit,Regular fit,--,"13.5 "" (Size 8)",No,No,No,No,No
833,,https://www.zalando.co.uk/michael-michael-kors-spring-bud-midi-dress-day-dress-sangria-mk121c0kn-i11.html,MICHAEL Michael Kors,SPRING BUD MIDI DRESS ,234.99,5,burgundy,--,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Button,Accentuating the waist,Low v-neck,Floral,"Belt included, slip",MK121C0KN-I11,Calf length,"24.5 "" (Size S)",Long,"48.5 "" (Size S)",Regular Fit,Regular fit,--,"15.0 "" (Size S)",No,No,No,No,No
834,,https://www.zalando.co.uk/only-day-dress-off-white-on321c1jd-a11.html,Only,ONLTYRA LIFE SHORT DRESS ,34.99,1,white,--,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not bleach",--,--,Button,,Round neckline,Plain,"Slip, Crochet Detailing",ON321C1JD-A11,Short,3/4 length,Elbow length,"36.0 "" (Size 10)",Regular Fit,Regular fit,--,--,No,No,No,No,No
835,,https://www.zalando.co.uk/superdry-day-dress-eclipse-navy-su221c0nj-k11.html,Superdry,ALANA ,44.99,2,navy,--,100% viscose,--,"Do not bleach, do not tumble dry",--,--,Button,,Low round neckline,Plain,Border,SU221C0NJ-K11,Short,Spaghetti straps,Spaghetti straps,--,Regular Fit,Regular fit,--,--,No,Yes,No,No,No
837,,https://www.zalando.co.uk/david-koma-cocktail-dress-party-dress-white-d0t21c011-i11.html,David Koma,Cocktail dress / Party dress,510.00,5,white,Rib,"75% viscose, 23% nylon, 2% elastane",--,Dry clean only,--,--,Hook fasteningÂ ,Bodycon dresses,Round neckline,Plain,--,D0T21C011-I11,Extra short,Long,Long,"33.5 "" (Size 10)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size 10",--,No,No,No,No,Yes
838,,https://www.zalando.co.uk/needle-and-thread-waltzing-blooms-ruffle-gown-occasion-wear-moonshine-nt521c0g5-j11.html,Needle & Thread,WALTZING BLOOMS RUFFLE GOWN ,359.99,5,white multi-coloured,Tulle,100% nylon,100% polyester,Dry cleanable,--,--,Zip,,Low v-neck,Floral,Slip,NT521C0G5-J11,Maxi/long,Short,Short,"58.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",--,No,No,No,No,No
839,,https://www.zalando.co.uk/diane-von-furstenberg-kora-dress-day-dress-green-df221c0bo-m11.html,Diane von Furstenberg,KORA DRESS ,285.00,5,black/green,--,100% polyester,--,Dry clean only,--,--,--,Accentuating the waist,Low v-neck,Prints in general,"Belt included, inseam pockets",DF221C0BO-M11,Knee length,Short,Short,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)",No,yes,No,No,No
840,,https://www.zalando.co.uk/tommy-jeans-curve-badge-crew-dress-day-dress-twilight-navy-t2c21c009-k11.html,Tommy Hilfiger,BADGE CREW DRESS ,79.99,2,navy,Sweat,"70% cotton, 30% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,,--,Plain,"Inseam pockets, elasticated waist",T2C21C009-K11,Short,"25.0 "" (Size 20)",Long,"36.0 "" (Size 20)",Loose Fit,Loose fit,--,--,No,yes,No,No,No
841,,https://www.zalando.co.uk/alice-olivia-vernita-cocktail-dress-party-dress-black-a2n21c00r-q11.html,Alice + Olivia,VERNITA ,360.00,5,black,--,"50% viscose, 32% nylon, 18% cotton","94% polyester, 6% elastane",Dry clean only,Standing collar,--,Zip,,--,Plain,"Button row, slip, bow, border",A2N21C00R-Q11,Short,Short,Short,"33.0 "" (Size 6)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 6","14.5 "" (Size 6)",No,No,No,No,No
842,,https://www.zalando.co.uk/only-carmakoma-carmarrakesh-calf-dress-day-dress-rose-brown-ona21c070-j11.html,Only,CARMARRAKESH CALF DRESS ,43.99,2,dusty pink,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,,Low v-neck,Prints in general,Bust darts,ONA21C070-J11,Calf length,"19.0 "" (Size 14)",Elbow length,"49.0 "" (Size 14)",Loose Fit,Loose fit,--,"14.5 "" (Size 14)",Yes,No,No,No,No
843,,https://www.zalando.co.uk/calvin-klein-jeans-floral-dress-day-dress-black-c1821c07h-q11.html,Calvin Klein,FLORAL DRESS ,89.99,3,black,--,100% viscose,--,Hand wash only,Mandarin collar,--,Zip,,Round neckline,Floral,--,C1821C07H-Q11,Short,"24.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
844,,https://www.zalando.co.uk/vila-petite-vilauren-dress-day-dress-light-pink-vip21c040-j11.html,Vila,VILAUREN DRESS ,34.99,1,pastel pink,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Button,Accentuating the waist,Round neckline,Floral,Belt included,VIP21C040-J11,Knee length,Long,Long,--,Regular Fit,Regular fit,--,--,No,No,No,No,No
845,,https://www.zalando.co.uk/glamorous-bloom-pplisse-mide-with-side-split-day-dress-dark-red-check-plisse-gli29f04l-g11.html,Glamorous,PPLISSE MIDE WITH SIDE SPLIT ,38.99,1,red/white,Satin,"73% polyester, 23% viscose, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Accentuating the waist,Round neckline,Checked,Belt included,GLI29F04L-G11,Calf length,"24.5 "" (Size 8)",Long,"49.0 "" (Size 8)",Slim Fit,Slim fit,--,"19.0 "" (Size 8)",No,No,No,No,No
846,,https://www.zalando.co.uk/vila-vilana-v-neck-belt-dress-day-dress-navy-v1021c2wu-k13.html,Vila,VILANA V,26.34,1,navy,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Accentuating the waist,Low v-neck,Floral,Belt included,V1021C2WU-K13,Short,"25.5 "" (Size 10)",Long,"38.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No
847,,https://www.zalando.co.uk/mango-day-dress-ecru-m9121c5if-a11.html,Mango,MOGAMBOL H ,39.99,1,off-white,--,"45% viscose, 40% cotton, 15% linen",--,"Do not tumble dry, machine wash at 30Â°C",--,--,Zip,,Square neckline,Plain,Adjustable straps,M9121C5IF-A11,Calf length,Spaghetti straps,Spaghetti straps,--,Slim Fit,Slim fit,--,--,No,No,No,No,No
848,,https://www.zalando.co.uk/massimo-dutti-mit-neckholder-day-dress-yellow-m3i21c0ez-m11.html,Massimo Dutti,MIT NECKHOLDER ,149.00,4,yellow,--,100% linen,--,"Do not tumble dry, Do not wash",--,--,Zip,,Round neckline,Plain,--,M3I21C0EZ-M11,Knee length,Sleeveless,Sleeveless,--,Regular Fit,Regular fit,--,--,No,No,No,No,No
849,,https://www.zalando.co.uk/karl-lagerfeld-signature-dress-day-dress-off-white-k4821c04w-a11.html,KARL LAGERFELD,SIGNATURE DRESS ,199.99,4,white,Sweat,100% cotton,--,--,--,--,--,,Round neckline,Plain,"Inseam pockets, elasticated waist, embroidery",K4821C04W-A11,Knee length,"26.5 "" (Size S)",Long,"34.5 "" (Size S)",Loose Fit,Loose fit,--,--,No,yes,No,No,No
850,,https://www.zalando.co.uk/swing-cocktail-dress-party-dress-gold-sg721c0ex-f11.html,Swing,Cocktail dress / Party dress,89.99,3,gold,--,"95% polyester, 5% elastane","80% polyester, 20% elastane",--,--,--,Zip,,Round neckline,--,Slip,SG721C0EX-F11,Short,Short,Short,"40.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",--,No,No,No,No,No
851,,https://www.zalando.co.uk/needle-and-thread-willow-ruffle-gown-occasion-wear-burgundy-nt521c0fw-g11.html,Needle & Thread,WILLOW RUFFLE GOWN ,449.99,5,burgundy,Tulle,100% polyester,100% polyester,Dry cleanable,--,--,Zip,,Round neckline,Plain,--,NT521C0FW-G11,Maxi/long,Elbow length,Elbow length,"59.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",--,No,No,No,No,No
852,,https://www.zalando.co.uk/only-onlclean-life-slim-dress-shift-dress-black-on321c2sm-q11.html,Only,ONLCLEAN LIFE SLIM DRESS  ,17.99,1,black,Rib,"95% cotton, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Bodycon dresses,Round neckline,Plain,--,ON321C2SM-Q11,Extra short,Short,Short,"30.5 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size S",--,No,No,No,No,No
853,,https://www.zalando.co.uk/vila-vitinny-jersey-dress-v1021c0mm-k11.html,Vila,VITINNY ,24.99,1,navy,Jersey,"79% polyester, 18% viscose, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,Zip,,Round neckline,Plain,Bust darts,V1021C0MM-K11,Short,"18.0 "" (Size S)",Elbow length,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",--,No,No,No,No,No
854,,https://www.zalando.co.uk/needle-and-thread-emilana-short-sleeve-dress-cocktail-dress-party-dress-ice-blue-nt521c0f1-k11.html,Needle & Thread,EMILANA SHORT SLEEVE DRESS ,394.99,5,silver,Tulle,100% polyester,100% polyester,Dry clean only,--,--,Zip,,Round neckline,Plain,"Slip, border, embroidery",NT521C0F1-K11,Short,Short,Short,"35.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
855,,https://www.zalando.co.uk/abercrombie-and-fitch-day-dress-green-solid-a0f21c09p-m11.html,Abercrombie & Fitch,Day dress,89.99,3,green,Jersey,"95% polyester, 5% elastane",--,Machine wash at 30Â°C,--,--,Zip,,Boat neckline (wide),Plain,Bust darts,A0F21C09P-M11,Extra short,Spaghetti straps,Spaghetti straps,"32.5 "" (Size S)",Slim Fit,Slim fit,--,--,No,No,No,No,Yes
856,,https://www.zalando.co.uk/hollister-co-day-dress-black-h0421c04z-q11.html,Hollister Co.,BEST IS BACK WOVEN WRAP DRESS ,33.14,1,black,--,100% viscose,--,--,--,--,Laces,,Low v-neck,Floral,--,H0421C04Z-Q11,Extra short,Short,Short,"30.5 "" (Size SxS)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size SxS","14.0 "" (Size SxS)",No,No,No,No,No
857,,https://www.zalando.co.uk/monki-day-dress-watery-dot-moq21c0bu-q11.html,Monki,Day dress,31.00,1,black/white,--,100% polyester,--,Machine wash at 40Â°C,--,--,Button,,Round neckline,Polka dot,--,MOQ21C0BU-Q11,Calf length,"23.5 "" (Size S)",Long,"42.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
858,,https://www.zalando.co.uk/cras-lili-dress-cocktail-dress-party-dress-pink-crg21c01d-j11.html,Cras,LILI DRESS ,159.99,4,bright multi-coloured,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Laces,,Round neckline,Prints in general,Bust darts,CRG21C01D-J11,Calf length,Elbow length,Elbow length,"45.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","17.5 "" (Size 8)",No,No,No,No,No
859,,https://www.zalando.co.uk/never-fully-dressed-tall-retro-daisy-panel-dress-day-dress-multi-n0l21c01c-t11.html,Never Fully Dressed,RETRO DAISY PANEL DRESS ,104.99,3,black multi-coloured,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,--,Button,,Round neckline,Floral,Bust darts,N0L21C01C-T11,Calf length,Long,Long,--,Loose Fit,Loose fit,--,--,No,No,No,No,No
860,,https://www.zalando.co.uk/yas-yasanglea-dress-occasion-wear-star-white-y0121c1sd-a11.html,Yas,YASANGLEA DRESS ,174.99,4,white,--,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Low v-neck,Plain,Slip,Y0121C1SD-A11,Maxi/long,Sleeveless,Sleeveless,"57.0 "" (Size S)",Regular Fit,Regular fit,--,"11.5 "" (Size S)",No,No,No,No,No
861,,https://www.zalando.co.uk/summery-copenhagen-iben-dress-day-dress-super-pink-cec21c03p-j11.html,SUMMERY Copenhagen,IBEN DRESS ,194.99,4,pink,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Laces,,Low v-neck,Checked,Bust darts,CEC21C03P-J11,Short,"23.5 "" (Size S)",Long,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
862,,https://www.zalando.co.uk/byoung-josa-tunic-dress-day-dress-copenhagen-night-mix-by221c0f7-k12.html,b.young,BYJOSA TUNIC DRESS ,39.99,1,black/white,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Henley neckline,Prints in general,--,BY221C0F7-K12,Short,"26.0 "" (Size 8)",Long,"37.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)",No,No,No,No,No
863,,https://www.zalando.co.uk/diane-von-furstenberg-brioni-dress-cocktail-dress-party-dress-black-df221c0bh-q11.html,Diane von Furstenberg,BRIONI DRESS ,365.00,5,black,Satin,100% silk,--,Dry clean only,--,--,--,,Cowl neckline,Plain,Adjustable straps,DF221C0BH-Q11,Calf length,Spaghetti straps,Spaghetti straps,"49.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
864,,https://www.zalando.co.uk/mango-day-dress-noir-m9121c5k6-q11.html,Mango,MALAWI,35.99,1,black,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,,Low v-neck,Plain,--,M9121C5K6-Q11,Calf length,Elbow length,Elbow length,--,Loose Fit,Loose fit,--,--,No,No,No,No,No
865,,https://www.zalando.co.uk/2nd-day-cinzia-bounce-day-dress-oatmeal-s3821c06g-b11.html,2nd Day,CINZIA BOUNCE ,109.99,3,sand,--,"95% viscose, 4% cotton, 1% elastane",--,Machine wash at 30Â°C,--,--,--,,Square neckline,Plain,--,S3821C06G-B11,Calf length,Short,Short,"45.0 "" (Size 8)",Regular Fit,Regular fit,--,--,No,No,No,No,No
866,,https://www.zalando.co.uk/aligne-cocktail-dress-party-dress-black-aly21c011-q11.html,ALIGNE,FRANCESCA LOW BACK SLIP DRESS WITH SELF TIE ,74.99,2,black,Satin,100% viscose,--,Do not wash,--,--,--,,Spaghetti straps,Plain,"Bust darts, adjustable straps",ALY21C011-Q11,Calf length,Spaghetti straps,Spaghetti straps,"53.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,Yes
867,,https://www.zalando.co.uk/love-moschino-day-dress-blue-lo921c083-k11.html,Love Moschino,Day dress,154.99,4,blue,Sweat,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Round neckline,Prints in general,--,LO921C083-K11,Short,Short,Short,"32.5 "" (Size 8)",Regular Fit,Regular fit,--,--,No,No,No,No,No
868,,https://www.zalando.co.uk/only-onlmariana-myrina-dress-day-dress-black-on321c1cc-q12.html,Only,ONLMARIANA MYRINA DRESS ,23.99,1,black,--,"97% polyester, 3% elastane",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Round neckline,Floral,Bow,ON321C1CC-Q12,Short,Short,Short,"36.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No
869,,https://www.zalando.co.uk/saint-tropez-louisesz-dress-day-dress-calypso-coral-s2821c0ef-g11.html,Saint Tropez,LOUISESZ DRESS ,59.99,2,red,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,,V-neck,Plain,--,S2821C0EF-G11,Knee length,"23.5 "" (Size S)",Long,"38.5 "" (Size S)",Loose Fit,Loose fit,--,"15.5 "" (Size S)",No,No,No,No,No
870,,https://www.zalando.co.uk/naf-naf-orient-cocktail-dress-party-dress-green-na521c19a-m11.html,NAF NAF,ORIENT  ,74.99,2,electric blue,Satin,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Button,,Round neckline,Plain,Slip,NA521C19A-M11,Short,Long,Long,--,Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","12.0 "" (Size 8)",No,No,No,No,No
872,,https://www.zalando.co.uk/philosophy-di-lorenzo-serafini-day-dress-black-phh21c00n-q11.html,Philosophy di Lorenzo Serafini,Day dress,455.00,5,black,Chiffon,100% polyester,100% polyester,"Hand wash only, Dry cleanable",--,--,Zip,,Round neckline,Plain,Slip,PHH21C00N-Q11,Short,"23.0 "" (Size 10)",Long,"34.5 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)",No,No,No,No,No
873,,https://www.zalando.co.uk/jdy-short-dress-day-dress-black-jy121c0q4-q11.html,JDY,SHORT DRESS ,18.99,1,black,Rib,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Round neckline,Floral,--,JY121C0Q4-Q11,--,"23.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",--,No,No,No,No,Yes
874,,https://www.zalando.co.uk/only-petite-onlvictoria-wrap-dress-day-dress-trench-coatbreaker-op421c0bu-q11.html,Only,ONLVICTORIA WRAP DRESS ,30.99,1,black/brown,--,"80% viscose, 20% nylon",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Do not iron, Machine wash on gentle cycle",Standing collar,--,Button,Accentuating the waist,--,Animal Prints in general,Belt included,OP421C0BU-Q11,Short,"23.5 "" (Size S)",Long,"33.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 5""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
875,,https://www.zalando.co.uk/danefa-koebenhavn-juli-dress-day-dress-mellow-yellow-fleurie-dai21c00h-e12.html,DanefÃ¦ KÃ¸benhavn,JULI DRESS ,104.99,3,yellow,--,100% cotton,--,Machine wash at 30Â°C,--,--,Button,,Round neckline,Floral,Bust darts,DAI21C00H-E12,Calf length,Elbow length,Elbow length,"49.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No
876,,https://www.zalando.co.uk/gina-tricot-lio-dress-cocktail-dress-party-dress-black-gid21c08o-q11.html,Gina Tricot,LIO DRESS ,25.99,1,black,Jersey,"97% polyester, 3% elastane",--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,,Spaghetti straps,Plain,--,GID21C08O-Q11,Short,Spaghetti straps,Spaghetti straps,--,Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 8",--,No,No,No,No,Yes
878,,https://www.zalando.co.uk/karl-lagerfeld-printed-kaftan-day-dress-dark-blue-k4821c053-o11.html,KARL LAGERFELD,PRINTED KAFTAN ,349.99,5,navy,Satin,100% silk,--,--,Turn-down collar,Asymmetrical,Belt,Button down dresses,Round neckline,Prints in general,"Belt included, covered fastener",K4821C053-O11,Calf length,"19.5 "" (Size S/M)",Long,"49.0 "" (Size S/M)",Loose Fit,Loose fit,--,"15.5 "" (Size S/M)",No,No,No,No,Yes
879,,https://www.zalando.co.uk/minimum-ragatta-day-dress-crocodile-mi421c0bx-o11.html,Minimum,RAGATTA ,69.99,2,brown,Jersey,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Accentuating the waist,Round neckline,Plain,Belt included,MI421C0BX-O11,Calf length,Short,Short,"48.0 "" (Size S)",Regular Fit,Regular fit,--,--,No,No,No,No,No
880,,https://www.zalando.co.uk/lauren-ralph-lauren-afara-cocktail-dress-party-dress-polo-black-l4221c1c6-q11.html,Ralph Lauren,SLEEVELESS JERSEY DRESS ,139.99,4,black,Jersey,"53% cotton, 41% viscose, 6% elastane","95% polyester, 5% elastane",Machine wash at 30Â°C,--,--,Zip,Wrap dresses,Low v-neck,Plain,Slip,L4221C1C6-Q11,Knee length,Sleeveless,Sleeveless,"40.5 "" (Size 10)",Slim Fit,Slim fit,--,--,No,No,No,No,No
