link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,,,,,,,,,,,,,,,,,,,,
https://www.zalando.co.uk/edc-by-esprit-cocktail-dress-party-dress-black-ed121c0yw-q11.html,edc by Esprit,Cocktail dress / Party dress,,Cocktail Dresses,Â£29.99,black,--,--,--,--,"95% polyester, 5% elastane",100% viscose,"Machine wash at 40Â°C, do not tumble dry, Do not bleach",--,--,--,Zip,Crew neck,--,"Sequins, slip",ED121C0YW-Q11,Short,Sleeveless,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-v-neck-ruffle-sleeve-midi-dress-cocktail-dress-party-dress-blackroyal-blue-wg021c0mi-q12.html,WAL G.,V NECK RUFFLE SLEEVE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£37.99,black/royal blue,--,--,Jersey,--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,Bust darts,WG021C0MI-Q12,Knee-length,Extra short,"41.5 "" (Size 10)",Bodycon,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-v-neck-ruffle-sleeve-midi-dress-cocktail-dress-party-dress-blackroyal-blue-wg021c0mi-q12.html,WAL G.,V NECK RUFFLE SLEEVE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£37.99,black/rust,--,--,Jersey,--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,Bust darts,WG021C0MI-Q12,Knee-length,Extra short,"41.5 "" (Size 10)",Bodycon,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-v-neck-ruffle-sleeve-midi-dress-cocktail-dress-party-dress-blackroyal-blue-wg021c0mi-q12.html,WAL G.,V NECK RUFFLE SLEEVE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£37.99,navy blue,--,--,Jersey,--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,Bust darts,WG021C0MI-Q12,Knee-length,Extra short,"41.5 "" (Size 10)",Bodycon,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/anna-field-petite-cocktail-dress-party-dress-dark-blue-ani21c03v-k11.html,Anna Field Petite,Cocktail dress / Party dress,,Cocktail Dresses,Â£21.99,dark blue,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Boat neck,Plain,--,ANI21C03V-K11,Knee-length,"17.0 "" (Size S)","40.0 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/gina-tricot-meridiandress-cocktail-dress-party-dress-spring-garden-gid21c05o-j11.html,Gina Tricot,EXCLUSIVE MERIDIANDRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£34.99,spring garden,--,--,Chiffon,--,100% polyester,100% polyester,--,--,Asymmetrical,--,Zip,--,Floral,"Elasticated waist, slip",GID21C05O-J11,Short,"27.0 "" (Size 8)","34.0 "" (Size 8)",Regular Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/gina-tricot-meridiandress-cocktail-dress-party-dress-spring-garden-gid21c05o-j11.html,Gina Tricot,EXCLUSIVE MERIDIANDRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£34.99,black,--,--,Chiffon,--,100% polyester,100% polyester,--,--,Asymmetrical,--,Zip,--,Floral,"Elasticated waist, slip",GID21C05O-J11,Short,"27.0 "" (Size 8)","34.0 "" (Size 8)",Regular Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/4th-and-reckless-lamar-midi-dress-cocktail-dress-party-dress-black-4t021c03c-q11.html,4th & Reckless,LAMAR MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£47.99,black ,--,--,Rib,--,"90% polyester, 10% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Scoop neck,Plain,--,4T021C03C-Q11,Calf-length,Long,"44.0 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/anna-field-petite-cocktail-dress-party-dress-black-ani21c03q-q11.html,Anna Field Petite,Cocktail dress / Party dress,,Cocktail Dresses,Â£32.99,black,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Floral,Bust darts,ANI21C03Q-Q11,Knee-length,Short,"37.0 "" (Size 8)",Slim Fit,--,"13.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/abercrombie-and-fitch-twist-front-skirt-slim-cocktail-dress-party-dress-black-solid-a0f21c097-q11.html,Abercrombie & Fitch,TWIST FRONT SKIRT SLIM , Cocktail dress / Party dress,Cocktail Dresses,Â£55.24,black solid,--,--,--,--,"65% polyester, 33% viscose, 2% elastane",100% polyester,Machine wash at 30Â°C,--,--,--,Zip,Low-cut v-neck,Plain,--,A0F21C097-Q11,Extra short,"23.0 "" (Size S)","31.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S","13.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-v-neck-skater-cocktail-dress--party-dress-black-wg021c0ah-q11.html,WAL G.,V NECK SKATER , Cocktail dress / Party dress,Cocktail Dresses,Â£33.99,video overlay,--,--,"Jersey, Lace",--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,"Padded bust, wired bustier",WG021C0AH-Q11,Extra short,Sleeveless,"33.5 "" (Size 10)",Fitted waist,"Our model is 5' 11""  tall and is wearing size 10",--,--,--,"95% polyester, 5% elastane",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-cole-puff-sleeve-skater-dress-cocktail-dress-party-dress-white-wg021c0s9-a11.html,WAL G.,COLE PUFF SLEEVE SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£38.99,white,--,--,--,--,"96% polyester, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Plain,--,WG021C0S9-A11,Short,Elbow length,"34.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/edited-genesis-dress-cocktail-dress-party-dress-black-edd21c0kb-q11.html,EDITED,GENESIS DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£69.99,black,--,--,Satin,--,100% polyester,--,--,--,--,--,Zip,Crew neck,Animal print,Bust darts,EDD21C0KB-Q11,Extra short,"22.0 "" (Size 10)","32.0 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10","13.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/anna-field-cocktail-dress-party-dress-blackwhite-an621c1ot-q11.html,Anna Field,Cocktail dress / Party dress,,Cocktail Dresses,Â£32.99,black/white,--,--,"Lace, chiffon",--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Backless,--,Slip,AN621C1OT-Q11,Long,Sleeveless,"59.0 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,"50% polyamide, 40% cotton, 10% viscose",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/anna-field-short-sleeves-off-shoulder-lace-skirt-dress-cocktail-dress-party-dress-black-an621c1pb-q11.html,Anna Field,SHORT SLEEVES  OFF SHOULDER LACE SKIRT DRESS  , Cocktail dress / Party dress,Cocktail Dresses,Â£41.99,black,--,--,--,--,100% polyamide,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Backless,Plain,Slip,AN621C1PB-Q11,Knee-length,Short,"39.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,"68% viscose, 28% polyester, 4% elastane",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/forever-new-opal-bias-cowl-midi-dress-cocktail-dress-party-dress-rose-rust-fod21c0ft-j11.html,Forever New,OPAL BIAS COWL MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£109.99,rose rust,--,--,Satin,--,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, Do not wash",--,--,--,Zip,Backless,Plain,"Adjustable straps, slip",FOD21C0FT-J11,Calf-length,Spaghetti straps,"46.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","12.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/forever-new-opal-bias-cowl-midi-dress-cocktail-dress-party-dress-rose-rust-fod21c0ft-j11.html,Forever New,OPAL BIAS COWL MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£109.99,sage,--,--,Satin,--,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, Do not wash",--,--,--,Zip,Backless,Plain,"Adjustable straps, slip",FOD21C0FT-J11,Calf-length,Spaghetti straps,"46.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","12.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-stacey-skater-dress-cocktail-dress-party-dress-electric-blue-wg021c0nu-k11.html,WAL G.,STACEY SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£35.99,electric blue,--,--,--,--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Off-the-shoulder,Plain,--,WG021C0NU-K11,Short,Short,"31.5 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-day-dress-purple-es421c1m7-i11.html,Esprit Collection,Cocktail dress / Party dress,,Cocktail Dresses,Â£75.00,purple,--,--,Satin,--,100% viscose,100% viscose,"Do not bleach, do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Cache-coeur,Plain,"Belt included, slip",ES421C1M7-I11,Calf-length,3/4 length,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/anna-field-cocktail-dress-party-dress-blackpink-an621c1qj-q11.html,Anna Field,Jersey dress,,Cocktail Dresses,Â£26.34,black/pink,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Floral,Bust darts,AN621C1QJ-Q11,Short,Extra short,"38.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/anna-field-cocktail-dress-party-dress-blackpink-an621c1qj-q11.html,Anna Field,Jersey dress,,Cocktail Dresses,Â£26.34,bordeaux/black,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Floral,Bust darts,AN621C1QJ-Q11,Short,Extra short,"38.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/forever-new-lucile-mini-dress-cocktail-dress-party-dress-spot-fod21c0fn-q11.html,Forever New,LUCILE MINI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£109.99,spot,--,No,--,--,"75% viscose, 25% nylon",100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Polka dot,Slip,FOD21C0FN-Q11,Short,"25.0 "" (Size 10)","32.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","17.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/naf-naf-justine-cocktail-dress-party-dress-lipstick-na521c18b-g11.html,NAF NAF,JUSTINE , Cocktail dress / Party dress,Cocktail Dresses,Â£49.99,lipstick,--,--,Tulle,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,"Slip, bow",NA521C18B-G11,Short,Elbow length,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/naf-naf-justine-cocktail-dress-party-dress-lipstick-na521c18b-g11.html,NAF NAF,JUSTINE , Cocktail dress / Party dress,Cocktail Dresses,Â£49.99,noir,--,--,Tulle,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,"Slip, bow",NA521C18B-G11,Short,Elbow length,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-v-neck-ruffle-sleeve-midi-dress-cocktail-dress-party-dress-navy-blue-wg021c0mi-k11.html,WAL G.,V NECK RUFFLE SLEEVE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£37.99,navy blue,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,"Bust darts, wired bustier",WG021C0MI-K11,Knee-length,Extra short,"43.5 "" (Size 10)",Bodycon,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-v-neck-ruffle-sleeve-midi-dress-cocktail-dress-party-dress-navy-blue-wg021c0mi-k11.html,WAL G.,V NECK RUFFLE SLEEVE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£37.99,black/royal blue,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,"Bust darts, wired bustier",WG021C0MI-K11,Knee-length,Extra short,"43.5 "" (Size 10)",Bodycon,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-v-neck-ruffle-sleeve-midi-dress-cocktail-dress-party-dress-navy-blue-wg021c0mi-k11.html,WAL G.,V NECK RUFFLE SLEEVE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£37.99,black/rust,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,"Bust darts, wired bustier",WG021C0MI-K11,Knee-length,Extra short,"43.5 "" (Size 10)",Bodycon,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/vila-viceleste-v-neck-midi-dress-cocktail-dress-party-dress-magenta-haze-v1021c2xk-j11.html,Vila,VICELESTE V NECK MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£59.99,magenta haze,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,"Belt included, bust darts, slip",V1021C2XK-J11,Calf-length,"19.5 "" (Size 8)","47.0 "" (Size 8)",Regular Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/naf-naf-new-joey-cocktail-dress--party-dress-na521c0mc-g11.html,NAF NAF,NEW JOEY , Cocktail dress / Party dress,Cocktail Dresses,Â£39.99,video overlay,--,--,Chiffon,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Low-cut v-neck,Plain,Slip,NA521C0MC-G11,Short,Extra short,"36.0 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/naf-naf-new-joey-cocktail-dress--party-dress-na521c0mc-g11.html,NAF NAF,NEW JOEY , Cocktail dress / Party dress,Cocktail Dresses,Â£39.99,lipstick,--,--,Chiffon,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Low-cut v-neck,Plain,Slip,NA521C0MC-G11,Short,Extra short,"36.0 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/naf-naf-new-joey-cocktail-dress--party-dress-na521c0mc-g11.html,NAF NAF,NEW JOEY , Cocktail dress / Party dress,Cocktail Dresses,Â£39.99,noir,--,--,Chiffon,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Low-cut v-neck,Plain,Slip,NA521C0MC-G11,Short,Extra short,"36.0 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/anna-field-tall-cocktail-dress-party-dress-dark-blue-anh21c00t-k11.html,Anna Field Tall,Cocktail dress / Party dress,,Cocktail Dresses,Â£33.99,dark blue,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Boat neck,Plain,--,ANH21C00T-K11,Calf-length,"17.0 "" (Size S)","49.0 "" (Size S)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-cocktail-dress-party-dress-ivory-sg721c0it-a11.html,Swing,Cocktail dress / Party dress,,Cocktail Dresses,Â£149.99,ivory,--,--,Chiffon,Semi-sheer,100% polyester,"97% polyester, 3% elastane",--,--,--,--,Zip,Crew neck,Plain,"Bust darts, slip",SG721C0IT-A11,Calf-length,Short,"45.5 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,100% polyester,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
