"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","Unnamed: 0","Brand","Dress name ","Price","Price Category","Color","Fabric","Outer fabric material","Lining","Care instructions","Collar","Cut","Fastening","Type of dress","Neckline","Consolidated Prints","Details","Dress length","Sleeve length","Consolidated sleeve length","Total length","Fit","Consolidated fit","Our model's height","Back width","Sheer?","Pockets?","Rhinestones?","Shoulderpads?","Backless?","cv_predicted"
"classic",4.5952935035348666E-7,0.0026941436965932973,0.9697517701024762,0.02685775450884343,2.0337178287948937E-5,1.0594714092565863E-7,6.754290373077553E-4,10,829,"Cotton On","PETITE DRESS ",28.99,1,"black","Rib","72% viscose, 28% polyamide",,"Hand wash only","Turn-down collar",,,"Bodycon dresses","Low v-neck","Plain",,"Extra short","Short","Short","33.5 "" (Size S)","Bodycon","Slim fit",,,"No","No","No","No","No","unknown"
"classic",0.012097403239057333,4.5132755375256286E-4,0.9874495844356252,1.802586170064444E-7,1.4051062182553387E-6,5.545404925843049E-9,9.386132444460739E-8,11,830,"Esprit","Day dress",75.0,2,"navy",,"86% cotton, 13% polyamide, 1% elastane","100% polyester","Do not bleach, do not tumble dry, machine wash at 30Â°C",,,,,"Round neckline","Striped","Slip","Calf length","Elbow length","Elbow length",,"Regular Fit","Regular fit",,,"No","No","No","No","No","classic"
"sporty",2.090202799393824E-18,1.450590346280885E-18,5.327848477110681E-17,8.773639232064587E-16,3.902424526169104E-23,0.9999999999999991,5.915179018419141E-17,12,831,"Tommy Hilfiger","REGULAR HOODIE DRESS ",84.49,3,"black","Sweat","100% cotton",,"Machine wash at 30Â°C, Machine wash on gentle cycle","Hood",,,"Hooded dresses",,"Plain","Inseam pockets, elasticated waist","Knee length","25.0 "" (Size S)","Long","39.0 "" (Size S)","Regular Fit","Regular fit",,,"No","yes","No","No","No","sporty"
"girly",1.6746960290762211E-9,2.652439060407721E-6,0.059760196158090736,1.0378819812396442E-4,0.557177329943974,5.24627964273345E-15,0.3829560315860497,13,832,"IVY & OAK ","JOLANDA ",279.99,5,"white",,"100% viscose","100% viscose","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip",,"Round neckline","Plain","Button row, bust darts, slip, decorative buttons","Calf length","25.5 "" (Size 8)","Long","49.0 "" (Size 8)","Regular Fit","Regular fit",,"13.5 "" (Size 8)","No","No","No","No","No","girly"
"classic",2.3641496914328434E-5,0.0011002020360202924,0.9986303400865543,1.844638209706862E-5,2.058418315821331E-5,7.469982436292073E-14,2.0678581518126387E-4,14,833,"MICHAEL Michael Kors","SPRING BUD MIDI DRESS ",234.99,5,"burgundy",,"100% polyester","100% polyester","Machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button","Accentuating the waist","Low v-neck","Floral","Belt included, slip","Calf length","24.5 "" (Size S)","Long","48.5 "" (Size S)","Regular Fit","Regular fit",,"15.0 "" (Size S)","No","No","No","No","No","classic"
"casual chic",5.265108930158008E-6,0.8440320814515124,7.788254445831473E-5,3.4966797722969283E-9,0.1558824135335881,1.0512223237003152E-11,2.353854319143326E-6,15,834,"Only","ONLTYRA LIFE SHORT DRESS ",34.99,1,"white",,"100% viscose","100% polyester","Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not bleach",,,"Button",,"Round neckline","Plain","Slip, Crochet Detailing","Short","3/4 length","Elbow length","36.0 "" (Size 10)","Regular Fit","Regular fit",,,"No","No","No","No","No","girly"
"alternative",0.9999990438182672,9.137779387142801E-7,2.6546092839822553E-10,4.13644339432931E-8,5.954743815594452E-11,1.9990572462072083E-11,6.943611951667152E-10,16,835,"Superdry","ALANA ",44.99,2,"navy",,"100% viscose",,"Do not bleach, do not tumble dry",,,"Button",,"Low round neckline","Plain","Border","Short","Spaghetti straps","Spaghetti straps",,"Regular Fit","Regular fit",,,"No","Yes","No","No","No","alternative"
"trendy",1.0136089535085101E-25,7.291004754930293E-20,6.424818206134768E-8,3.8453432445586273E-8,4.899297078088414E-6,1.359407441302505E-32,0.9999949980013073,17,837,"David Koma","Cocktail dress / Party dress",510.0,5,"white","Rib","75% viscose, 23% nylon, 2% elastane",,"Dry clean only",,,"Hook fasteningÂ ","Bodycon dresses","Round neckline","Plain",,"Extra short","Long","Long","33.5 "" (Size 10)","Bodycon","Slim fit","Our model is 5' 10""  tall and is wearing size 10",,"No","No","No","No","Yes","trendy"
"girly",7.056426974258075E-17,1.0834944435326399E-13,8.028496918518933E-9,3.371779942757976E-13,0.9999999869847767,5.9845526745202116E-24,4.986280861304107E-9,18,838,"Needle & Thread","WALTZING BLOOMS RUFFLE GOWN ",359.99,5,"white multi-coloured","Tulle","100% nylon","100% polyester","Dry cleanable",,,"Zip",,"Low v-neck","Floral","Slip","Maxi/long","Short","Short","58.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8",,"No","No","No","No","No","girly"
"classic",9.441806453738664E-11,3.1742950485718013E-9,0.9995383818517616,4.175536495307017E-6,1.1703035156617227E-5,6.993280376889516E-16,4.457363078724667E-4,19,839,"Diane von Furstenberg","KORA DRESS ",285.0,5,"black/green",,"100% polyester",,"Dry clean only",,,,"Accentuating the waist","Low v-neck","Prints in general","Belt included, inseam pockets","Knee length","Short","Short","34.5 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)","No","yes","No","No","No","trendy"
"sporty",1.139644181389633E-9,7.579227262393416E-11,2.102384069040582E-8,1.3020401941799645E-11,1.0059102983253885E-14,0.9999999776652748,8.24175467588348E-11,20,840,"Tommy Hilfiger","BADGE CREW DRESS ",79.99,2,"navy","Sweat","70% cotton, 30% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Standing collar",,,,,"Plain","Inseam pockets, elasticated waist","Short","25.0 "" (Size 20)","Long","36.0 "" (Size 20)","Loose Fit","Loose fit",,,"No","yes","No","No","No","sporty"
"trendy",5.952032836030799E-10,5.254197630485043E-9,0.0028868559812432215,0.026346665672352082,0.015619574277662918,2.761338528559925E-14,0.9551468982193133,21,841,"Alice + Olivia","VERNITA ",360.0,5,"black",,"50% viscose, 32% nylon, 18% cotton","94% polyester, 6% elastane","Dry clean only","Standing collar",,"Zip",,,"Plain","Button row, slip, bow, border","Short","Short","Short","33.0 "" (Size 6)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 6","14.5 "" (Size 6)","No","No","No","No","No","girly"
"girly",0.07052881381240367,0.04547826645408296,0.02259362102038425,1.1779378156213642E-5,0.8610900790882668,2.0309815454046392E-10,2.974400436078948E-4,22,842,"Only","CARMARRAKESH CALF DRESS ",43.99,2,"dusty pink",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C","Standing collar",,,,"Low v-neck","Prints in general","Bust darts","Calf length","19.0 "" (Size 14)","Elbow length","49.0 "" (Size 14)","Loose Fit","Loose fit",,"14.5 "" (Size 14)","Yes","No","No","No","No","girly"
"casual chic",4.625435816689593E-4,0.99930145521824,2.1319903694084547E-4,1.5054249000794242E-5,2.6551289772740573E-6,1.8738977487461825E-11,5.09276643319861E-6,23,843,"Calvin Klein","FLORAL DRESS ",89.99,3,"black",,"100% viscose",,"Hand wash only","Mandarin collar",,"Zip",,"Round neckline","Floral",,"Short","24.0 "" (Size S)","Long","32.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)","No","No","No","No","No","casual chic"
"girly",0.0020498459022558475,0.3993328827090915,0.009722638231585336,3.264549282060118E-6,0.5879474860667002,2.277410750811595E-11,9.438825183109189E-4,24,844,"Vila","VILAUREN DRESS ",34.99,1,"pastel pink",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button","Accentuating the waist","Round neckline","Floral","Belt included","Knee length","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","trendy"
"trendy",3.2759099870262925E-6,0.04848000202722806,5.947975115402419E-4,0.008098036375712183,0.0016862478291017023,9.222576661710606E-11,0.9411376402542051,25,845,"Glamorous","PPLISSE MIDE WITH SIDE SPLIT ",38.99,1,"red/white","Satin","73% polyester, 23% viscose, 4% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,"Accentuating the waist","Round neckline","Checked","Belt included","Calf length","24.5 "" (Size 8)","Long","49.0 "" (Size 8)","Slim Fit","Slim fit",,"19.0 "" (Size 8)","No","No","No","No","No","trendy"
"casual chic",2.700088779175566E-4,0.9900624801364172,0.009498611974142054,3.0777291599930346E-5,1.3739077488630837E-4,3.618450092801202E-13,7.309446752491662E-7,26,846,"Vila","VILANA V",26.34,1,"navy",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Accentuating the waist","Low v-neck","Floral","Belt included","Short","25.5 "" (Size 10)","Long","38.5 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)","No","No","No","No","No","casual chic"
"trendy",1.0568464032949587E-5,1.279294968308045E-6,2.768108131832927E-7,2.9033542819627438E-8,3.0757031855348156E-4,7.207603431129374E-13,0.9996802760773685,27,847,"Mango","MOGAMBOL H ",39.99,1,"off-white",,"45% viscose, 40% cotton, 15% linen",,"Do not tumble dry, machine wash at 30Â°C",,,"Zip",,"Square neckline","Plain","Adjustable straps","Calf length","Spaghetti straps","Spaghetti straps",,"Slim Fit","Slim fit",,,"No","No","No","No","No","alternative"
"classic",6.070821184286844E-4,1.5717326890552998E-6,0.7474238104823019,0.005099036836291444,0.003157821976390647,1.8109691278091477E-7,0.2437104957569856,28,848,"Massimo Dutti","MIT NECKHOLDER ",149.0,4,"yellow",,"100% linen",,"Do not tumble dry, Do not wash",,,"Zip",,"Round neckline","Plain",,"Knee length","Sleeveless","Sleeveless",,"Regular Fit","Regular fit",,,"No","No","No","No","No","alternative"
"sporty",3.7192620670573283E-6,5.516314252823615E-6,3.139330846088142E-4,7.761547170171887E-6,9.641498872778155E-9,0.9948634010330534,0.004805659117348823,29,849,"KARL LAGERFELD","SIGNATURE DRESS ",199.99,4,"white","Sweat","100% cotton",,,,,,,"Round neckline","Plain","Inseam pockets, elasticated waist, embroidery","Knee length","26.5 "" (Size S)","Long","34.5 "" (Size S)","Loose Fit","Loose fit",,,"No","yes","No","No","No","sporty"
"classic",0.0021152157191593906,0.002062097954129336,0.6550844264699042,3.739194224986793E-5,0.2841780393501866,2.6835873987600244E-8,0.056522801728496774,30,850,"Swing","Cocktail dress / Party dress",89.99,3,"gold",,"95% polyester, 5% elastane","80% polyester, 20% elastane",,,,"Zip",,"Round neckline",,"Slip","Short","Short","Short","40.5 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size 8",,"No","No","No","No","No","alternative"
"girly",2.4024719414632226E-16,3.9447953842253226E-15,3.191344772757239E-5,3.6097780665570153E-8,0.9997567672285153,2.4710079872690128E-26,2.1128322597225424E-4,31,851,"Needle & Thread","WILLOW RUFFLE GOWN ",449.99,5,"burgundy","Tulle","100% polyester","100% polyester","Dry cleanable",,,"Zip",,"Round neckline","Plain",,"Maxi/long","Elbow length","Elbow length","59.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8",,"No","No","No","No","No","girly"
"edgy",3.221471820554519E-4,0.4403935412603995,0.005870127803784272,0.5123478079180582,0.021076073017295777,1.3492839969200197E-5,0.019976809978437694,32,852,"Only","ONLCLEAN LIFE SLIM DRESS  ",17.99,1,"black","Rib","95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,"Bodycon dresses","Round neckline","Plain",,"Extra short","Short","Short","30.5 "" (Size S)","Bodycon","Slim fit","Our model is 5' 11""  tall and is wearing size S",,"No","No","No","No","No","alternative"
"classic",0.01053105023400957,0.006207323299511856,0.9831752813270924,2.6247325327878862E-6,8.22866496452568E-5,7.1390469109226416E-9,1.4266181613042199E-6,33,853,"Vila","VITINNY ",24.99,1,"navy","Jersey","79% polyester, 18% viscose, 3% elastane",,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",,,"Zip",,"Round neckline","Plain","Bust darts","Short","18.0 "" (Size S)","Elbow length","32.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","classic"
"girly",9.890891313094597E-15,2.0983172633518934E-12,2.520809560163255E-6,2.0493478244023668E-8,0.9999604983320093,5.293298620638725E-23,3.6960362844028036E-5,34,854,"Needle & Thread","EMILANA SHORT SLEEVE DRESS ",394.99,5,"silver","Tulle","100% polyester","100% polyester","Dry clean only",,,"Zip",,"Round neckline","Plain","Slip, border, embroidery","Short","Short","Short","35.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","girly"
"trendy",4.143165229032479E-9,1.7927264672752979E-7,1.957526224556182E-9,2.2142833160186528E-10,4.947053124275547E-4,1.3370667229580162E-14,0.9995051090927924,35,855,"Abercrombie & Fitch","Day dress",89.99,3,"green","Jersey","95% polyester, 5% elastane",,"Machine wash at 30Â°C",,,"Zip",,"Boat neckline (wide)","Plain","Bust darts","Extra short","Spaghetti straps","Spaghetti straps","32.5 "" (Size S)","Slim Fit","Slim fit",,,"No","No","No","No","Yes","trendy"
"girly",2.673175319671028E-4,0.008961235946533218,1.42063328258854E-5,1.587631142967733E-5,0.9907315734966653,1.9126419900809753E-9,9.788467936692038E-6,36,856,"Hollister Co.","BEST IS BACK WOVEN WRAP DRESS ",33.14,1,"black",,"100% viscose",,,,,"Laces",,"Low v-neck","Floral",,"Extra short","Short","Short","30.5 "" (Size SxS)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size SxS","14.0 "" (Size SxS)","No","No","No","No","No","girly"
"casual chic",7.906117639643075E-6,0.5061020731708926,0.48732367932841647,1.4721400061490754E-4,1.768593538998348E-4,1.0973462430001218E-10,0.006242267918801974,37,857,"Monki","Day dress",31.0,1,"black/white",,"100% polyester",,"Machine wash at 40Â°C",,,"Button",,"Round neckline","Polka dot",,"Calf length","23.5 "" (Size S)","Long","42.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)","No","No","No","No","No","classic"
"trendy",0.01483514185495633,0.0450619995443933,6.418725883833127E-4,3.3766323684469683E-4,8.693114743249064E-5,6.48306168233426E-14,0.9390363916279252,38,858,"Cras","LILI DRESS ",159.99,4,"bright multi-coloured",,"100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Laces",,"Round neckline","Prints in general","Bust darts","Calf length","Elbow length","Elbow length","45.5 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 11""  tall and is wearing size 8","17.5 "" (Size 8)","No","No","No","No","No","trendy"
"casual chic",0.220385858910059,0.7740590505826778,0.0024221030617817287,0.0029551046809629376,6.270588650724938E-7,9.768804910916984E-16,1.7725570565253242E-4,39,859,"Never Fully Dressed","RETRO DAISY PANEL DRESS ",104.99,3,"black multi-coloured",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Mandarin collar",,"Button",,"Round neckline","Floral","Bust darts","Calf length","Long","Long",,"Loose Fit","Loose fit",,,"No","No","No","No","No","casual chic"
"trendy",3.8105010100244986E-6,6.613231046196131E-6,0.002298801270604384,1.4787278309547108E-5,0.3208584330995103,3.875187701916156E-8,0.6768175158676426,40,860,"Yas","YASANGLEA DRESS ",174.99,4,"white",,"100% cotton","100% cotton","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Low v-neck","Plain","Slip","Maxi/long","Sleeveless","Sleeveless","57.0 "" (Size S)","Regular Fit","Regular fit",,"11.5 "" (Size S)","No","No","No","No","No","girly"
"casual chic",5.441256312458524E-6,0.9104747291469746,2.004695234053841E-4,1.4932706156786308E-5,0.08678781824828605,3.808266537557905E-9,0.00251660531059835,41,861,"SUMMERY Copenhagen","IBEN DRESS ",194.99,4,"pink",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C",,,"Laces",,"Low v-neck","Checked","Bust darts","Short","23.5 "" (Size S)","Long","33.5 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)","No","No","No","No","No","girly"
"classic",0.006847338237927761,0.05690869391298493,0.9264987439054198,0.007875210232728809,6.094884287004636E-7,3.2066788233029706E-8,0.001869372155721829,42,862,"b.young","BYJOSA TUNIC DRESS ",39.99,1,"black/white",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Henley neckline","Prints in general",,"Short","26.0 "" (Size 8)","Long","37.0 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)","No","No","No","No","No","edgy"
"trendy",1.2341517025533877E-12,7.44290071152089E-10,4.429302954202597E-6,0.16021492282892502,1.1275089714371551E-5,1.3950214841211152E-20,0.8397693720328822,43,863,"Diane von Furstenberg","BRIONI DRESS ",365.0,5,"black","Satin","100% silk",,"Dry clean only",,,,,"Cowl neckline","Plain","Adjustable straps","Calf length","Spaghetti straps","Spaghetti straps","49.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)","No","No","No","No","No","edgy"
"casual chic",0.3049937102991602,0.45640569546417004,0.09133331128140683,0.04099649727498953,0.0013095439506083995,1.63588953915734E-4,0.10479765277574932,44,864,"Mango","MALAWI",35.99,1,"black",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C",,,,,"Low v-neck","Plain",,"Calf length","Elbow length","Elbow length",,"Loose Fit","Loose fit",,,"No","No","No","No","No","edgy"
"classic",0.0014680682413422555,0.007916894618976792,0.5081030650051237,9.173774300764326E-4,0.47222749236685635,3.031052217081896E-6,0.009364071285407312,45,865,"2nd Day","CINZIA BOUNCE ",109.99,3,"sand",,"95% viscose, 4% cotton, 1% elastane",,"Machine wash at 30Â°C",,,,,"Square neckline","Plain",,"Calf length","Short","Short","45.0 "" (Size 8)","Regular Fit","Regular fit",,,"No","No","No","No","No","girly"
"trendy",1.1282421627843917E-4,1.0182265828012879E-4,3.749621364005906E-8,0.0038192199280201815,1.5324887177922473E-5,1.4992906565489065E-15,0.9959507708140282,46,866,"ALIGNE","FRANCESCA LOW BACK SLIP DRESS WITH SELF TIE ",74.99,2,"black","Satin","100% viscose",,"Do not wash",,,,,"Spaghetti straps","Plain","Bust darts, adjustable straps","Calf length","Spaghetti straps","Spaghetti straps","53.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)","No","No","No","No","Yes","edgy"
"alternative",0.5567376927717652,0.027125112722765275,0.003567352830959193,0.002697243986623958,1.1660881527898629E-5,4.8262023090323583E-4,0.40937831657545515,47,867,"Love Moschino","Day dress",154.99,4,"blue","Sweat","100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Round neckline","Prints in general",,"Short","Short","Short","32.5 "" (Size 8)","Regular Fit","Regular fit",,,"No","No","No","No","No","alternative"
"casual chic",2.8967229876385793E-4,0.9992521475431771,9.782004959282804E-7,4.2584850180599063E-4,3.129404261519207E-5,3.162909780819583E-14,5.9413110312576406E-8,48,868,"Only","ONLMARIANA MYRINA DRESS ",23.99,1,"black",,"97% polyester, 3% elastane",,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Round neckline","Floral","Bow","Short","Short","Short","36.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)","No","No","No","No","No","edgy"
"classic",1.3883117055544746E-4,0.3751054115985879,0.6233314493063887,9.136518297317749E-5,7.524216785113274E-4,4.864017126151517E-4,9.411935036829603E-5,49,869,"Saint Tropez","LOUISESZ DRESS ",59.99,2,"red",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Standing collar",,,,"V-neck","Plain",,"Knee length","23.5 "" (Size S)","Long","38.5 "" (Size S)","Loose Fit","Loose fit",,"15.5 "" (Size S)","No","No","No","No","No","classic"
"casual chic",0.00935976024450645,0.6254745870733821,0.00414775952772949,0.05430368341882114,2.840338184485472E-5,7.569906606127312E-10,0.3066858055967251,50,870,"NAF NAF","ORIENT  ",74.99,2,"electric blue","Satin","100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Round neckline","Plain","Slip","Short","Long","Long",,"Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","12.0 "" (Size 8)","No","No","No","No","No","casual chic"
"trendy",1.7536725630238736E-14,8.484884296406617E-13,0.0055600554036224215,0.2848889312720464,9.795545901240628E-5,6.753225368301481E-23,0.7094530578644528,51,872,"Philosophy di Lorenzo Serafini","Day dress",455.0,5,"black","Chiffon","100% polyester","100% polyester","Hand wash only, Dry cleanable",,,"Zip",,"Round neckline","Plain","Slip","Short","23.0 "" (Size 10)","Long","34.5 "" (Size 10)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)","No","No","No","No","No","edgy"
"casual chic",3.5015266355379324E-4,0.9692556410476698,0.002846250450078512,0.027533891985572656,4.749256568907905E-6,1.2834382661063587E-6,8.031158290455784E-6,52,873,"JDY","SHORT DRESS ",18.99,1,"black","Rib","95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Round neckline","Floral",,,"23.0 "" (Size S)","Long","32.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","Yes","casual chic"
