cv_predicted,IndexID,Style,Link,Brand,"Dress name ",Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?
edgy,10,edgy,https://www.zalando.co.uk/2nd-day-loretta-crispy-day-dress-lark-s3821c068-b11.html,2nd Day,"LORETTA CRISPY ",94.99,3,brown,Cotton,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",,,Button,,Round neckline,Plain,,Short,Short,Short,"36.0 "" (Size 8)",Loose Fit,Loose fit,,"16.5 "" (Size 8)",No,No,No,No,No
classic,11,classic,https://www.zalando.co.uk/maxandco-damerino-cocktail-dress-party-dress-black-mq921c0ba-q11.html,MAX&Co.,"DAMERINO ",199.99,4,black,Polyester,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Low v-neck,Plain,,Calf length,"23.5 "" (Size S)",Long,"44.5 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,No
trendy,12,trendy,https://www.zalando.co.uk/rich-and-royal-dress-long-printed-day-dress-scarlet-red-ri521c04x-g11.html,Rich & Royal,"DRESS LONG PRINTED ",104.99,3,red,Jersey,"65% modal, 30% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Prints in general,,Calf length,"24.5 "" (Size S)",Long,"49.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No
classic,13,classic,https://www.zalando.co.uk/seidensticker-malia-day-dress-dunkelblau-3se21c01l-k11.html,Seidensticker,"MALIA  ",109.99,3,navy,Linnen,100% linen,,,Mandarin collar,,,,Low v-neck,Plain,Inseam pockets,Knee length,Short,Short,"38.5 "" (Size 10)",,,"Our model is 5' 10""  tall and is wearing size 10","16.5 "" (Size 10)",Yes,No,No,No,No
trendy,14,trendy,https://www.zalando.co.uk/vero-moda-vmboa-highneck-short-dress-shirt-dress-pine-grove-ve121c2e2-m11.html,Vero Moda,Day dress,26.34,1,black,Polyester,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not bleach",Standing collar,,Button,Accentuating the waist,Round neckline,Plain,Belt included,Short,Long,Long,,Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No
sporty,15,sporty,https://www.zalando.co.uk/superdry-day-dress-black-su221c0ng-q11.html,Superdry,"STRAP BACK  ",34.99,1,black,Polyester,"58% modal, 42% polyester",,"Do not bleach, do not tumble dry",,,,,Boat neckline (wide),Plain,,Maxi/long,Sleeveless,Sleeveless,,,,,,No,No,No,No,No
alternative,16,alternative,https://www.zalando.co.uk/soft-rebels-ulrikke-dress-day-dress-mahogany-r6721c06q-o11.html,Soft Rebels,"ULRIKKE DRESS ",69.99,2,dusty pink,Polyester,"73% modal, 27% polyester",,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",,,,,Round neckline,Plain,,Knee length,"18.5 "" (Size S)",Elbow length,"38.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No
trendy,17,trendy,https://www.zalando.co.uk/anna-field-day-dress-black-an621c1i6-q12.html,Anna Field,Jersey dress,28.99,1,black,Jersey,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Accentuating the waist,Round neckline,Plain,"Belt included, elasticated waist",Knee length,Spaghetti straps,Spaghetti straps,"41.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No
edgy,18,edgy,https://www.zalando.co.uk/2nd-day-spin-day-dress-black-s3821c05s-q11.html,2nd Day,"SPIN  ",179.99,4,black,Polyester,100% polyester,,"Do not tumble dry, Hand wash only",Standing collar,,,,Round neckline,Plain,,Short,"23.5 "" (Size 8)",Long,"37.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
classic,19,classic,https://www.zalando.co.uk/mango-marte2-day-dress-kaki-m9121c5kw-n11.html,Mango,"MARTE2 ",49.99,2,army green,Linnen,"83% modal, 17% polyester",,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",,,Button,,Low v-neck,Plain,,Calf length,Extra short,Short,,Regular Fit,Regular fit,,,No,No,No,No,No
alternative,20,casual chic,https://www.zalando.co.uk/only-onlhanna-smock-dress-day-dress-multi-coloured-on321c2p4-c11.html,Only,"ONLHANNA SMOCK DRESS ",29.74,1,multi-coloured,Chiffon,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",,,Button,,Round neckline,Floral,"Elasticated waist, slip",Knee length,"23.0 "" (Size S)",Long,"36.0 "" (Size S)",Regular Fit,Regular fit,,"14.5 "" (Size S)",No,No,No,No,No
sporty,21,sporty,https://www.zalando.co.uk/evenandodd-2-pack-day-dress-blackgrey-ev421c158-q13.html,Even&Odd,"2 PACK ",24.99,1,black/grey,Jersey,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Prints in general,,Knee length,Elbow length,Elbow length,"32.0 "" (Size S)",Loose Fit,Loose fit,,,No,No,No,No,No
edgy,22,casual chic,https://www.zalando.co.uk/jdy-jdyivy-mathilde-dress-day-dress-mottled-dark-grey-jy121c0px-c11.html,JDY,"JDYIVY MATHILDE DRESS ",16.14,1,grey,Sweat,"63% polyester, 37% cotton",,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",,,,,Round neckline,Plain,,Short,"25.5 "" (Size S)",Long,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No
girly,23,girly,https://www.zalando.co.uk/fiorucci-alpine-angels-mini-bodice-dress-cocktail-dress-party-dress-multi-fi921c00k-t11.html,Fiorucci,"ALPINE ANGELS MINI BODICE DRESS ",194.99,4,bright multi-coloured,Polyester,"97% polyester, 3% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,Zip,Bodycon dresses,Square neckline,Prints in general,"Wired bustier, bow",Extra short,"23.0 "" (Size S)",Long,"28.5 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,Yes
sporty,24,sporty,https://www.zalando.co.uk/jdy-jdyivy-dress-day-dress-lavendula-jy121c0dg-i11.html,JDY,"JDYIVY DRESS ",17.99,1,pastel purple,Sweat,"62% cotton, 38% polyester",,"Machine wash at 40Â°C, do not tumble dry",,,,,Round neckline,Plain,,Knee length,Short,Short,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No
alternative,25,alternative,https://www.zalando.co.uk/superdry-alana-cami-day-dress-autumn-mustard-su221c0nj-e11.html,Superdry,"ALANA ",44.99,2,orange,Polyester,"50% polyester, 50% cotton",,,,,,,Spaghetti straps,,,,Spaghetti straps,Spaghetti straps,,,,,,No,No,No,No,No
sporty,26,sporty,https://www.zalando.co.uk/only-onlevery-hoodie-dress-day-dress-junebug-on321c2p6-m11.html,Only,"ONLEVERY HOODIE DRESS ",30.99,1,dark green,Sweat,"60% cotton, 40% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Plain,Inseam pockets,Short,"23.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,No
girly,27,girly,https://www.zalando.co.uk/vero-moda-vmhenna-wrap-frill-dress-day-dress-laurel-wreath-ve121c2ra-m11.html,Vero Moda,"VMHENNA WRAP FRILL DRESS ",30.99,1,pastel green,Polyester,100% polyester,,"Do not tumble dry, machine wash at 30Â°C",,,Laces,Wrap dresses,Low v-neck,Polka dot,Bust darts,Short,Short,Short,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No
girly,28,girly,https://www.zalando.co.uk/wal-g-micha-round-neck-skater-dress-day-dress-pastel green-wg021c0so-m11.html,WAL G.,"MICHA ROUND NECK SKATER DRESS ",37.99,1,pastel blue,Jersey,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Round neckline,Plain,,Short,Sleeveless,Sleeveless,"38.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10",,No,No,No,No,Yes
girly,29,girly,https://www.zalando.co.uk/only-tall-onlolivia-wrap-dress-day-dress-dusk-blue-ond21c05c-k11.html,Only,"ONLOLIVIA DRESS ",25.99,1,pastel blue,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,Laces,Wrap dresses,Low v-neck,Floral,Bust darts,Knee length,Short,Short,"40.5 "" (Size 8)",Slim Fit,Slim fit,,"15.5 "" (Size 8)",No,No,No,No,No
alternative,30,classic,https://www.zalando.co.uk/see-by-chloe-day-dress-sand-se321e04e-b11.html,See by Chloe,Day dress,255.0,5,sand,Canvas,"54% cotton, 44% polyamide, 2% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,Laces,,Low v-neck,Plain,,Short,Sleeveless,Sleeveless,"35.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","17.0 "" (Size 10)",No,No,No,No,No
classic,31,casual chic,https://www.zalando.co.uk/gap-tiered-midi-dress-day-dress-true-black-gp021c0kc-q11.html,GAP,"TIERED MIDI DRESS ",64.99,2,black,,100% viscose,,Machine wash at 30Â°C,Mandarin collar,,Button,,Round neckline,Prints in general,Bust darts,Calf length,"25.0 "" (Size M)",Long,"49.0 "" (Size M)",Regular Fit,Regular fit,,"16.5 "" (Size M)",No,No,No,No,No
edgy,32,edgy,https://www.zalando.co.uk/abodi-cadmael-dress-cocktail-dress-party-dress-black-abi21c001-q11.html,ABODI,"CADMAEL DRESS ",865.0,5,black/brown,Leather,100% polyester,"68% acetate, 32% polyester",Do not wash,,,Zip,Bodycon dresses,Low v-neck,Checked,,Knee length,"24.0 "" (Size 10)",Long,"43.5 "" (Size 10)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No
edgy,33,edgy,https://www.zalando.co.uk/adidas-originals-day-dress-multi-coloured-ad121c08x-t11.html,Adidas,Day dress,49.95,2,brown,,"93% cotton, 7% elastane",,"Colour may run - please wash separately, do not tumble dry, machine wash at 30Â°C",Zip neck,,Zip,,,Prints in general,,Short,Long,Long,"68.0 "" (Size 10)",Slim Fit,Slim fit,,,No,No,No,No,No
classic,34,classic,https://www.zalando.co.uk/closed-noelle-day-dress-black-cl321c02e-q11.html,CLOSED,"NOELLE ",279.99,5,black,Chiffon,100% viscose,,Dry clean only,,,Zip,,Low v-neck,Plain,,Calf length,"24.5 "" (Size S)",Long,"51.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S",,Yes,No,No,No,No
trendy,35,trendy,https://www.zalando.co.uk/never-fully-dressed-rainbow-mini-wrap-cocktail-dress-party-dress-multi-nen21c04c-t11.html,Never Fully Dressed,"RAINBOW MINI WRAP ",94.99,3,bright multi-coloured,,"63% polyester, 31% metal, 6% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,Wrap dresses,Low v-neck,Prints in general,,Knee length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No
trendy,36,trendy,https://www.zalando.co.uk/closet-closet-london-puff-sleeve-dress-cocktail-dress-party-dress-lilac-cl921c0tc-i11.html,Closet,"CLOSET LONDON PUFF SLEEVE DRESS ",114.99,3,pastel purple,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Round neckline,Prints in general,,Calf length,"24.5 "" (Size 10)",Long,"50.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No
girly,37,trendy,https://www.zalando.co.uk/cult-gaia-orella-dress-cocktail-dress-party-dress-off-white-cui21c00u-a11.html,Cult Gaia,"ORELLA DRESS ",440.0,5,off-white,,"55% linen, 43% viscose, 2% elastane",,Dry cleaning,,,Zip,,Low v-neck,Plain,,Calf length,Sleeveless,Sleeveless,"55.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,Yes
girly,38,girly,https://www.zalando.co.uk/only-onllaurence-day-dress-apple-butter-on321c2sn-g11.html,Only,"ONLLAURENCE  ",34.99,1,dusty pink,Tulle,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",,,,,Low v-neck,Plain,Slip,Short,"25.5 "" (Size S)",Long,"34.5 "" (Size S)",Regular Fit,Regular fit,,"12.5 "" (Size S)",Yes,No,No,No,No
sporty,39,sporty,https://www.zalando.co.uk/superdry-college-crew-jersey-dress-eclipse-navy-su221c0pf-k12.html,Superdry,"COLLEGE CREW ",25.0,1,navy,Sweat,100% cotton,,"Do not bleach, do not tumble dry",,,,,Round neckline,Prints in general,,Extra short,Long,Long,,Oversized,Loose fit,,,No,No,No,No,No
classic,40,classic,https://www.zalando.co.uk/vero-moda-vmaya-vneck-dress-day-dress-black-ve121c2ec-q11.html,Vero Moda,"VMAYA VNECK ",26.24,1,black,,"99% polyester, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",,,,,Henley neckline,Plain,Slip,Knee length,"24.0 "" (Size S)",Long,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
sporty,41,sporty,https://www.zalando.co.uk/anna-field-mama-jersey-dress-black-ex429f035-q11.html,Anna Field,"NURSING ",23.99,1,black,Sweat,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Plain,"Elasticated waist, nursing-friendly",Knee length,"25.5 "" (Size M)",Long,"37.0 "" (Size M)",Regular Fit,Regular fit,,,No,No,No,No,No
classic,42,classic,https://www.zalando.co.uk/the-kooples-dress-cocktail-dress-party-dress-black-tha21c09o-q11.html,The Kooples,"DRESS ",349.99,5,black,Chiffon,100% polyester,100% viscose,Dry clean only,,,Zip,,Round neckline,Plain,"Button row, slip",Calf length,"25.0 "" (Size 8)",Long,"49.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)",No,No,No,No,No
classic,43,casual chic,https://www.zalando.co.uk/only-onlaneline-wrap-day-dress-moonlight-blue-on321c2pb-k11.html,Only,"ONLANELINE WRAP ",30.99,1,blue,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",,,,Wrap dresses,Low v-neck,Plain,"Elasticated waist, slip",Short,"25.5 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,,,Yes,No,No,No,No
trendy,44,trendy,https://www.zalando.co.uk/elisabetta-franchi-womens-dress-with-belt-cocktail-dress-party-dress-cammello-ef121c0bk-b11.html,Elisabetta Franchi,"WOMENS DRESS WITH BELT ",514.99,5,sand,Leather,100% polyester,"97% polyester, 3% elastane",Hand wash only,Lapel collar,,Zip,Accentuating the waist,Low v-neck,Plain,"Belt included, zip fastening, slip",Short,Short,Short,"36.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No
girly,45,girly,https://www.zalando.co.uk/only-onlmella-dress-day-dress-blue-heron-stripes-on321c2ti-k11.html,Only,"ONLMELLA DRESS  ",34.99,1,pastel blue,,"80% polyester, 20% cotton",,"Do not tumble dry, machine wash at 30Â°C",Standing collar,,,Accentuating the waist,V-neck,Striped,"Border, bust darts, belt included",Short,Elbow length,Elbow length,"33.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,Yes,No,No,No,No
casual chic,46,casual chic,https://www.zalando.co.uk/ilse-jacobsen-ruma-day-dress-black-il121c04n-b11.html,Ilse Jacobsen,"RUMA ",174.99,4,black,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",,,Zip,Wrap dresses,Low v-neck,Prints in general,"Belt included, bust darts",Calf length,"20.5 "" (Size 8)",Long,"51.0 "" (Size 8)",Loose Fit,Loose fit,,"16.0 "" (Size 8)",No,No,No,No,No
casual chic,47,casual chic,https://www.zalando.co.uk/esprit-dresses-light-shirt-dress-red-es121c225-g11.html,Esprit,"LIGHT ",59.99,2,red,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,,Button down dresses,Low v-neck,Floral,Decorative buttons,Knee length,"24.0 "" (Size 10)",Long,"40.5 "" (Size 10)",Loose Fit,Loose fit,,"16.0 "" (Size 10)",No,No,No,No,No
trendy,48,casual chic,https://www.zalando.co.uk/jdy-jdymathilde-dress-day-dress-sagebrush-green-jy121c0hd-m11.html,JDY,"JDYMATHILDE DRESS ",23.99,1,pastel green,Jersey,"65% polyester, 35% cotton",,"Do not tumble dry, machine wash at 30Â°C",,,,,Round neckline,Plain,,Short,"25.0 "" (Size S)",Long,"34.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No
casual chic,49,casual chic,https://www.zalando.co.uk/ps-paul-smith-dress-day-dress-dark-blue-ps721c034-k11.html,PS Paul Smith,"DRESS ",279.99,5,blue,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,V-neck,Floral,Border,Short,"26.0 "" (Size 8)",Long,"35.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No
trendy,50,trendy,https://www.zalando.co.uk/versace-jeans-couture-cady-bistretch-cocktail-dress-party-dress-black-vei21c042-q11.html,Versace Jeans Couture,"CADY BISTRETCH ",329.99,5,black,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Square neckline,Plain,,Extra short,Sleeveless,Sleeveless,"33.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size 8",,No,No,No,No,Yes
trendy,51,trendy,https://www.zalando.co.uk/only-petite-onldaya-strap-print-dress-cocktail-dress-party-dress-marine-green-op421c0dt-m11.html,Only,"ONLDAYA STRAP PRINT DRESS ",25.99,1,green,Satin,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,Cowl neckline,Prints in general,,Extra short,Spaghetti straps,Spaghetti straps,"34.5 "" (Size 8)",Regular Fit,Regular fit,,,No,No,No,No,Yes
trendy,52,trendy,https://www.zalando.co.uk/gant-pleated-dress-day-dress-eggshell-ga321c061-a11.html,GANT,"PLEATED DRESS ",219.99,5,multi-coloured,,100% polyester,,Machine wash at 30Â°C,Turn-down collar,,Button,Button down dresses,,Prints in general,Belt included,Calf length,"23.5 "" (Size 8)",Long,"47.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No
classic,53,classic,https://www.zalando.co.uk/vero-moda-vmkatniss-short-dress-day-dress-black-ve121c2pa-q11.html,Vero Moda,"VMKATNISS SHORT DRESS ",31.49,1,black,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,Button,Accentuating the waist,Round neckline,Floral,"Belt included, bust darts, slip",Short,Sleeveless,Sleeveless,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
classic,54,classic,https://www.zalando.co.uk/esprit-dresses-light-day-dress-red-es121c22n-g11.html,Esprit,"DRESSES LIGHT ",54.99,2,red,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,,V-neck,Plain,,Knee length,"20.0 "" (Size 10)",Long,"39.5 "" (Size 10)",Loose Fit,Loose fit,,"16.5 "" (Size 10)",No,No,No,No,No
girly,55,girly,https://www.zalando.co.uk/vero-moda-petite-vmhenna-wrap-frill-dress-day-dress-goji-berry-vm021c0d8-g11.html,Vero Moda,"VMHENNA WRAP FRILL DRESS ",30.99,1,red,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Belt,Wrap dresses,Low v-neck,Polka dot,,Knee length,Short,Short,"36.0 "" (Size S)",Slim Fit,Slim fit,,"15.0 "" (Size S)",No,No,No,No,No
girly,56,girly,https://www.zalando.co.uk/needle-and-thread-floret-ballerina-dress-cocktail-dress-party-dress-petal-pink-nt521c0f3-j11.html,Needle & Thread,"FLORET BALLERINA DRESS ",499.99,5,pastel pink,Tulle,100% polyester,100% polyester,Dry clean only,,,Zip,,Round neckline,Floral,"Bust darts, slip, border, embroidery",Calf length,"25.0 "" (Size 8)",Long,"48.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
girly,57,girly,https://www.zalando.co.uk/ivy-and-oak-cocktail-dress--party-dress-snow-white-iv321c03e-a11.html,"IVY & OAK ","DRESS ",239.99,5,white,Lace,"75% cotton, 25% nylon","65% cotton, 32% nylon, 3% elastane","Hand wash only, Dry cleanable",Mandarin collar,,Zip,,Round neckline,Plain,"Bust darts, slip, fringing",Knee length,Short,Short,"41.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,Yes
alternative,58,trendy,https://www.zalando.co.uk/wal-g-jina-skater-dress-cocktail-dress-party-dress-forest-green-wg021c0r4-m11.html,WAL G.,"JINA SKATER DRESS ",33.99,1,dark green,Jersey,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Low v-neck,Plain,,Short,Spaghetti straps,Spaghetti straps,"34.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10",,No,No,No,No,No
