,Unnamed: 0,Brand,Dress name ,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,cv_predicted
10,829,Cotton On,PETITE DRESS ,28.99,1,black,Rib,"72% viscose, 28% polyamide",,Hand wash only,Turn-down collar,,,Bodycon dresses,Low v-neck,Plain,,Extra short,Short,Short,"33.5 "" (Size S)",Bodycon,Slim fit,,,No,No,No,No,No,unknown
11,830,Esprit,Day dress,75.0,2,navy,,"86% cotton, 13% polyamide, 1% elastane",100% polyester,"Do not bleach, do not tumble dry, machine wash at 30Â°C",,,,,Round neckline,Striped,Slip,Calf length,Elbow length,Elbow length,,Regular Fit,Regular fit,,,No,No,No,No,No,classic
12,831,Tommy Hilfiger,REGULAR HOODIE DRESS ,84.49,3,black,Sweat,100% cotton,,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Plain,"Inseam pockets, elasticated waist",Knee length,"25.0 "" (Size S)",Long,"39.0 "" (Size S)",Regular Fit,Regular fit,,,No,yes,No,No,No,sporty
13,832,IVY & OAK ,JOLANDA ,279.99,5,white,,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Round neckline,Plain,"Button row, bust darts, slip, decorative buttons",Calf length,"25.5 "" (Size 8)",Long,"49.0 "" (Size 8)",Regular Fit,Regular fit,,"13.5 "" (Size 8)",No,No,No,No,No,girly
14,833,MICHAEL Michael Kors,SPRING BUD MIDI DRESS ,234.99,5,burgundy,,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,Accentuating the waist,Low v-neck,Floral,"Belt included, slip",Calf length,"24.5 "" (Size S)",Long,"48.5 "" (Size S)",Regular Fit,Regular fit,,"15.0 "" (Size S)",No,No,No,No,No,classic
15,834,Only,ONLTYRA LIFE SHORT DRESS ,34.99,1,white,,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not bleach",,,Button,,Round neckline,Plain,"Slip, Crochet Detailing",Short,3/4 length,Elbow length,"36.0 "" (Size 10)",Regular Fit,Regular fit,,,No,No,No,No,No,girly
16,835,Superdry,ALANA ,44.99,2,navy,,100% viscose,,"Do not bleach, do not tumble dry",,,Button,,Low round neckline,Plain,Border,Short,Spaghetti straps,Spaghetti straps,,Regular Fit,Regular fit,,,No,Yes,No,No,No,alternative
17,837,David Koma,Cocktail dress / Party dress,510.0,5,white,Rib,"75% viscose, 23% nylon, 2% elastane",,Dry clean only,,,Hook fasteningÂ ,Bodycon dresses,Round neckline,Plain,,Extra short,Long,Long,"33.5 "" (Size 10)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size 10",,No,No,No,No,Yes,trendy
18,838,Needle & Thread,WALTZING BLOOMS RUFFLE GOWN ,359.99,5,white multi-coloured,Tulle,100% nylon,100% polyester,Dry cleanable,,,Zip,,Low v-neck,Floral,Slip,Maxi/long,Short,Short,"58.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,No,girly
19,839,Diane von Furstenberg,KORA DRESS ,285.0,5,black/green,,100% polyester,,Dry clean only,,,,Accentuating the waist,Low v-neck,Prints in general,"Belt included, inseam pockets",Knee length,Short,Short,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)",No,yes,No,No,No,trendy
20,840,Tommy Hilfiger,BADGE CREW DRESS ,79.99,2,navy,Sweat,"70% cotton, 30% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,,,,Plain,"Inseam pockets, elasticated waist",Short,"25.0 "" (Size 20)",Long,"36.0 "" (Size 20)",Loose Fit,Loose fit,,,No,yes,No,No,No,sporty
21,841,Alice + Olivia,VERNITA ,360.0,5,black,,"50% viscose, 32% nylon, 18% cotton","94% polyester, 6% elastane",Dry clean only,Standing collar,,Zip,,,Plain,"Button row, slip, bow, border",Short,Short,Short,"33.0 "" (Size 6)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 6","14.5 "" (Size 6)",No,No,No,No,No,girly
22,842,Only,CARMARRAKESH CALF DRESS ,43.99,2,dusty pink,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",Standing collar,,,,Low v-neck,Prints in general,Bust darts,Calf length,"19.0 "" (Size 14)",Elbow length,"49.0 "" (Size 14)",Loose Fit,Loose fit,,"14.5 "" (Size 14)",Yes,No,No,No,No,girly
23,843,Calvin Klein,FLORAL DRESS ,89.99,3,black,,100% viscose,,Hand wash only,Mandarin collar,,Zip,,Round neckline,Floral,,Short,"24.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,casual chic
24,844,Vila,VILAUREN DRESS ,34.99,1,pastel pink,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,Accentuating the waist,Round neckline,Floral,Belt included,Knee length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No,trendy
25,845,Glamorous,PPLISSE MIDE WITH SIDE SPLIT ,38.99,1,red/white,Satin,"73% polyester, 23% viscose, 4% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,Accentuating the waist,Round neckline,Checked,Belt included,Calf length,"24.5 "" (Size 8)",Long,"49.0 "" (Size 8)",Slim Fit,Slim fit,,"19.0 "" (Size 8)",No,No,No,No,No,trendy
26,846,Vila,VILANA V,26.34,1,navy,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Accentuating the waist,Low v-neck,Floral,Belt included,Short,"25.5 "" (Size 10)",Long,"38.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No,casual chic
27,847,Mango,MOGAMBOL H ,39.99,1,off-white,,"45% viscose, 40% cotton, 15% linen",,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Square neckline,Plain,Adjustable straps,Calf length,Spaghetti straps,Spaghetti straps,,Slim Fit,Slim fit,,,No,No,No,No,No,alternative
28,848,Massimo Dutti,MIT NECKHOLDER ,149.0,4,yellow,,100% linen,,"Do not tumble dry, Do not wash",,,Zip,,Round neckline,Plain,,Knee length,Sleeveless,Sleeveless,,Regular Fit,Regular fit,,,No,No,No,No,No,alternative
29,849,KARL LAGERFELD,SIGNATURE DRESS ,199.99,4,white,Sweat,100% cotton,,,,,,,Round neckline,Plain,"Inseam pockets, elasticated waist, embroidery",Knee length,"26.5 "" (Size S)",Long,"34.5 "" (Size S)",Loose Fit,Loose fit,,,No,yes,No,No,No,sporty
30,850,Swing,Cocktail dress / Party dress,89.99,3,gold,,"95% polyester, 5% elastane","80% polyester, 20% elastane",,,,Zip,,Round neckline,,Slip,Short,Short,Short,"40.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,No,alternative
31,851,Needle & Thread,WILLOW RUFFLE GOWN ,449.99,5,burgundy,Tulle,100% polyester,100% polyester,Dry cleanable,,,Zip,,Round neckline,Plain,,Maxi/long,Elbow length,Elbow length,"59.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,No,girly
32,852,Only,ONLCLEAN LIFE SLIM DRESS  ,17.99,1,black,Rib,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,Bodycon dresses,Round neckline,Plain,,Extra short,Short,Short,"30.5 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size S",,No,No,No,No,No,alternative
33,853,Vila,VITINNY ,24.99,1,navy,Jersey,"79% polyester, 18% viscose, 3% elastane",,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",,,Zip,,Round neckline,Plain,Bust darts,Short,"18.0 "" (Size S)",Elbow length,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No,classic
34,854,Needle & Thread,EMILANA SHORT SLEEVE DRESS ,394.99,5,silver,Tulle,100% polyester,100% polyester,Dry clean only,,,Zip,,Round neckline,Plain,"Slip, border, embroidery",Short,Short,Short,"35.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,girly
35,855,Abercrombie & Fitch,Day dress,89.99,3,green,Jersey,"95% polyester, 5% elastane",,Machine wash at 30Â°C,,,Zip,,Boat neckline (wide),Plain,Bust darts,Extra short,Spaghetti straps,Spaghetti straps,"32.5 "" (Size S)",Slim Fit,Slim fit,,,No,No,No,No,Yes,trendy
36,856,Hollister Co.,BEST IS BACK WOVEN WRAP DRESS ,33.14,1,black,,100% viscose,,,,,Laces,,Low v-neck,Floral,,Extra short,Short,Short,"30.5 "" (Size SxS)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size SxS","14.0 "" (Size SxS)",No,No,No,No,No,girly
37,857,Monki,Day dress,31.0,1,black/white,,100% polyester,,Machine wash at 40Â°C,,,Button,,Round neckline,Polka dot,,Calf length,"23.5 "" (Size S)",Long,"42.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,classic
38,858,Cras,LILI DRESS ,159.99,4,bright multi-coloured,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,,Round neckline,Prints in general,Bust darts,Calf length,Elbow length,Elbow length,"45.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","17.5 "" (Size 8)",No,No,No,No,No,trendy
39,859,Never Fully Dressed,RETRO DAISY PANEL DRESS ,104.99,3,black multi-coloured,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,,Button,,Round neckline,Floral,Bust darts,Calf length,Long,Long,,Loose Fit,Loose fit,,,No,No,No,No,No,casual chic
40,860,Yas,YASANGLEA DRESS ,174.99,4,white,,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Low v-neck,Plain,Slip,Maxi/long,Sleeveless,Sleeveless,"57.0 "" (Size S)",Regular Fit,Regular fit,,"11.5 "" (Size S)",No,No,No,No,No,girly
41,861,SUMMERY Copenhagen,IBEN DRESS ,194.99,4,pink,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",,,Laces,,Low v-neck,Checked,Bust darts,Short,"23.5 "" (Size S)",Long,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,girly
42,862,b.young,BYJOSA TUNIC DRESS ,39.99,1,black/white,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Henley neckline,Prints in general,,Short,"26.0 "" (Size 8)",Long,"37.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)",No,No,No,No,No,edgy
43,863,Diane von Furstenberg,BRIONI DRESS ,365.0,5,black,Satin,100% silk,,Dry clean only,,,,,Cowl neckline,Plain,Adjustable straps,Calf length,Spaghetti straps,Spaghetti straps,"49.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,edgy
44,864,Mango,MALAWI,35.99,1,black,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",,,,,Low v-neck,Plain,,Calf length,Elbow length,Elbow length,,Loose Fit,Loose fit,,,No,No,No,No,No,edgy
45,865,2nd Day,CINZIA BOUNCE ,109.99,3,sand,,"95% viscose, 4% cotton, 1% elastane",,Machine wash at 30Â°C,,,,,Square neckline,Plain,,Calf length,Short,Short,"45.0 "" (Size 8)",Regular Fit,Regular fit,,,No,No,No,No,No,girly
46,866,ALIGNE,FRANCESCA LOW BACK SLIP DRESS WITH SELF TIE ,74.99,2,black,Satin,100% viscose,,Do not wash,,,,,Spaghetti straps,Plain,"Bust darts, adjustable straps",Calf length,Spaghetti straps,Spaghetti straps,"53.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,Yes,edgy
47,867,Love Moschino,Day dress,154.99,4,blue,Sweat,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Prints in general,,Short,Short,Short,"32.5 "" (Size 8)",Regular Fit,Regular fit,,,No,No,No,No,No,alternative
48,868,Only,ONLMARIANA MYRINA DRESS ,23.99,1,black,,"97% polyester, 3% elastane",,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Floral,Bow,Short,Short,Short,"36.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No,edgy
49,869,Saint Tropez,LOUISESZ DRESS ,59.99,2,red,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,,,V-neck,Plain,,Knee length,"23.5 "" (Size S)",Long,"38.5 "" (Size S)",Loose Fit,Loose fit,,"15.5 "" (Size S)",No,No,No,No,No,classic
50,870,NAF NAF,ORIENT  ,74.99,2,electric blue,Satin,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Plain,Slip,Short,Long,Long,,Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","12.0 "" (Size 8)",No,No,No,No,No,casual chic
51,872,Philosophy di Lorenzo Serafini,Day dress,455.0,5,black,Chiffon,100% polyester,100% polyester,"Hand wash only, Dry cleanable",,,Zip,,Round neckline,Plain,Slip,Short,"23.0 "" (Size 10)",Long,"34.5 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)",No,No,No,No,No,edgy
52,873,JDY,SHORT DRESS ,18.99,1,black,Rib,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Floral,,,"23.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,Yes,casual chic
53,874,Only,ONLVICTORIA WRAP DRESS ,30.99,1,black/brown,,"80% viscose, 20% nylon",,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Do not iron, Machine wash on gentle cycle",Standing collar,,Button,Accentuating the waist,,Animal Prints in general,Belt included,Short,"23.5 "" (Size S)",Long,"33.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 5""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No,trendy
54,875,DanefÃ¦ KÃ¸benhavn,JULI DRESS ,104.99,3,yellow,,100% cotton,,Machine wash at 30Â°C,,,Button,,Round neckline,Floral,Bust darts,Calf length,Elbow length,Elbow length,"49.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No,casual chic
55,876,Gina Tricot,LIO DRESS ,25.99,1,black,Jersey,"97% polyester, 3% elastane",,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",,,,,Spaghetti straps,Plain,,Short,Spaghetti straps,Spaghetti straps,,Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,Yes,alternative
56,878,KARL LAGERFELD,PRINTED KAFTAN ,349.99,5,navy,Satin,100% silk,,,Turn-down collar,Asymmetrical,Belt,Button down dresses,Round neckline,Prints in general,"Belt included, covered fastener",Calf length,"19.5 "" (Size S/M)",Long,"49.0 "" (Size S/M)",Loose Fit,Loose fit,,"15.5 "" (Size S/M)",No,No,No,No,Yes,alternative
57,879,Minimum,RAGATTA ,69.99,2,brown,Jersey,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Accentuating the waist,Round neckline,Plain,Belt included,Calf length,Short,Short,"48.0 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,No,sporty
58,880,Ralph Lauren,SLEEVELESS JERSEY DRESS ,139.99,4,black,Jersey,"53% cotton, 41% viscose, 6% elastane","95% polyester, 5% elastane",Machine wash at 30Â°C,,,Zip,Wrap dresses,Low v-neck,Plain,Slip,Knee length,Sleeveless,Sleeveless,"40.5 "" (Size 10)",Slim Fit,Slim fit,,,No,No,No,No,No,classic
59,882,Only,ONLINC FENJA DRESS ,21.99,1,orange,Rib,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,Bodycon dresses,Round neckline,Floral,,Short,Sleeveless,Sleeveless,"34.5 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No,alternative
60,883,Glamorous,FIXED WRAP FRONT SMOCK DRESS WITH LONG SLEEVES ,28.99,1,black,,"55% cotton, 45% polyester",100% cotton,"Do not tumble dry, machine wash at 30Â°C",,,,Wrap dresses,Low v-neck,Plain,Slip,Short,"25.0 "" (Size 8)",Long,"35.0 "" (Size 8)",Loose Fit,Loose fit,,"17.5 "" (Size 8)",No,No,No,No,No,edgy
61,884,Vila,PAYA ,30.99,1,black,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Do not bleach",,,Button,,Round neckline,Floral,,Knee length,Short,Short,"36.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,classic
62,885,Mango,DALIA H ,39.99,1,black/white,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Round neckline,Paisley,,Short,Sleeveless,Sleeveless,,Slim Fit,Slim fit,,,No,No,No,No,No,classic
63,886,Guess by Marciano,AURORA DRESS ,179.99,4,grey,Satin,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,,Zip,Polo dresses,,Floral,"Lined fastener, underskirt",Knee length,"25.0 "" (Size 10)",Long,"39.5 "" (Size 10)",Regular Fit,Regular fit,,"16.0 "" (Size 10)",No,No,No,No,No,unknown
64,887,Lindex,Day dress,39.99,1,dark green,,100% cotton,,"Machine wash at 40Â°C, do not tumble dry",Standing collar,,,,,Floral,"Bust darts, border",,"25.5 "" (Size 10/12)",Long,"37.0 "" (Size 10/12)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10/12","16.5 "" (Size 10/12)",No,No,No,No,No,edgy
65,888,Vero Moda,VMLISA DRESS ,35.99,1,black,,100% cotton,,,,,,,Low v-neck,Plain,Bow,Knee length,Extra short,Short,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,Yes,girly
66,889,Cinq Ã  Sept,KAYA DRESS ,315.0,5,navy,,100% polyester,100% polyester,Dry clean only,Standing collar,,Zip,,,Plain,,Short,"25.5 "" (Size 8)",Long,"33.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,trendy
67,890,Never Fully Dressed,LUCY PRINT CLASH DRESS ,104.99,3,bright multi-coloured,,"98% polyester, 2% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Low v-neck,Prints in general,,Maxi/long,"23.5 "" (Size 8)",Long,"51.0 "" (Size 8)",Regular Fit,Regular fit,,"13.5 "" (Size 8)",No,No,No,No,No,trendy
68,891,Vero Moda,VMOLGA ,26.34,1,army green,,100% polyester,,,,,,Wrap dresses,Low v-neck,Floral,Bust darts,Short,"19.5 "" (Size 16)",Long,"38.0 "" (Size 16)",Regular Fit,Regular fit,,"15.5 "" (Size 16)",No,No,No,No,No,casual chic
69,892,retrofÃªte,GABRIELLE ROBE ,455.0,5,gold,,100% viscose,100% viscose,Dry clean only,,,Belt,Wrap dresses,Low v-neck,,Sequins,Extra short,"23.5 "" (Size S)",Long,"27.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S",,No,No,yes,No,No,girly
70,893,Alberta Ferretti,DRESS EMBROIDERED ,910.0,5,yellow,"Lace, tulle",100% polyester,"90% acetate, 5% silk, 5% elastane",Dry clean only,,,Zip,,Round neckline,Plain,"Slip, border, embroidery",Short,"22.0 "" (Size 10)",Long,"35.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No,unknown
71,894,Hollister Co.,BEST IS BACK ,34.99,1,pastel blue,Jersey,"92% polyester, 8% elastane",100% polyester,Machine wash at 30Â°C,,,,,Spaghetti straps,Floral,"Adjustable straps, bow",Calf length,Spaghetti straps,Spaghetti straps,"47.0 "" (Size SxL)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size SxL",,No,No,No,No,Yes,girly
72,895,Vero Moda,VMFIE MINI DRESS ,34.99,1,white,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",,,,Wrap dresses,Low v-neck,Polka dot,"Belt included, bust darts, slip",Short,"26.5 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","17.0 "" (Size S)",No,No,No,No,No,girly
73,896,Marc'o polo,DRESS SLEEVE ELASTIC CUFF ,99.99,3,grey,,100% lyocell,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Plain,Bust darts,Knee length,"18.5 "" (Size S)",Elbow length,"36.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No,classic
74,897,Only,ONLSOPHIA DRESS ,29.74,1,black/white,Tulle,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Animal Prints in general,,Calf length,"23.5 "" (Size 10)",Long,"46.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10",,No,No,No,No,No,classic
75,898,Selected Femme,SLFIONA SHORT DRESS ,59.99,2,pastel purple,Chiffon,"98% polyester, 2% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,Button,Accentuating the waist,,Plain,Belt included,Short,Elbow length,Elbow length,"35.5 "" (Size 8)",Loose Fit,Loose fit,,"19.5 "" (Size 8)",Yes,No,No,No,No,girly
76,899,2nd Day,LORETTA  ,94.99,3,army green,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Plain,,Short,Short,Short,,Loose Fit,Loose fit,,,Yes,No,No,No,No,edgy
77,900,Ralph Lauren,OFF THE SHOULDER GOWN ,219.99,5,white,Jersey,"89% polyester, 11% elastane","94% polyester, 6% elastane","Machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Boat neckline (wide),Plain,"Bust darts, slip",Maxi/long,Extra short,Short,"57.5 "" (Size 10)",Slim Fit,Slim fit,,,No,No,No,No,No,girly
78,901,MAMALICIOUS,MLZELMA DRESS ,44.99,2,army green,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,Button,Accentuating the waist,,Floral,Belt included,Knee length,"24.5 "" (Size 8)",Long,"39.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,alternative
