IndexID,Unnamed: 0,Style,Link,Brand,"Dress name ",Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,cv_predicted
21,841,,https://www.zalando.co.uk/alice-olivia-vernita-cocktail-dress-party-dress-black-a2n21c00r-q11.html,Alice + Olivia,"VERNITA ",360.0,5,black,,"50% viscose, 32% nylon, 18% cotton","94% polyester, 6% elastane",Dry clean only,Standing collar,,Zip,,,Plain,"Button row, slip, bow, border",Short,Short,Short,"33.0 "" (Size 6)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 6","14.5 "" (Size 6)",No,No,No,No,No,girly
22,842,,https://www.zalando.co.uk/only-carmakoma-carmarrakesh-calf-dress-day-dress-rose-brown-ona21c070-j11.html,Only,"CARMARRAKESH CALF DRESS ",43.99,2,dusty pink,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",Standing collar,,,,Low v-neck,Prints in general,Bust darts,Calf length,"19.0 "" (Size 14)",Elbow length,"49.0 "" (Size 14)",Loose Fit,Loose fit,,"14.5 "" (Size 14)",Yes,No,No,No,No,girly
23,843,,https://www.zalando.co.uk/calvin-klein-jeans-floral-dress-day-dress-black-c1821c07h-q11.html,Calvin Klein,"FLORAL DRESS ",89.99,3,black,,100% viscose,,Hand wash only,Mandarin collar,,Zip,,Round neckline,Floral,,Short,"24.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,casual chic
24,844,,https://www.zalando.co.uk/vila-petite-vilauren-dress-day-dress-light-pink-vip21c040-j11.html,Vila,"VILAUREN DRESS ",34.99,1,pastel pink,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,Accentuating the waist,Round neckline,Floral,Belt included,Knee length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No,trendy
25,845,,https://www.zalando.co.uk/glamorous-bloom-pplisse-mide-with-side-split-day-dress-dark-red-check-plisse-gli29f04l-g11.html,Glamorous,"PPLISSE MIDE WITH SIDE SPLIT ",38.99,1,red/white,Satin,"73% polyester, 23% viscose, 4% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,Accentuating the waist,Round neckline,Checked,Belt included,Calf length,"24.5 "" (Size 8)",Long,"49.0 "" (Size 8)",Slim Fit,Slim fit,,"19.0 "" (Size 8)",No,No,No,No,No,trendy
26,846,,https://www.zalando.co.uk/vila-vilana-v-neck-belt-dress-day-dress-navy-v1021c2wu-k13.html,Vila,VILANA V,26.34,1,navy,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Accentuating the waist,Low v-neck,Floral,Belt included,Short,"25.5 "" (Size 10)",Long,"38.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No,casual chic
27,847,,https://www.zalando.co.uk/mango-day-dress-ecru-m9121c5if-a11.html,Mango,"MOGAMBOL H ",39.99,1,off-white,,"45% viscose, 40% cotton, 15% linen",,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Square neckline,Plain,Adjustable straps,Calf length,Spaghetti straps,Spaghetti straps,,Slim Fit,Slim fit,,,No,No,No,No,No,alternative
28,848,,https://www.zalando.co.uk/massimo-dutti-mit-neckholder-day-dress-yellow-m3i21c0ez-m11.html,Massimo Dutti,"MIT NECKHOLDER ",149.0,4,yellow,,100% linen,,"Do not tumble dry, Do not wash",,,Zip,,Round neckline,Plain,,Knee length,Sleeveless,Sleeveless,,Regular Fit,Regular fit,,,No,No,No,No,No,alternative
29,849,,https://www.zalando.co.uk/karl-lagerfeld-signature-dress-day-dress-off-white-k4821c04w-a11.html,KARL LAGERFELD,"SIGNATURE DRESS ",199.99,4,white,Sweat,100% cotton,,,,,,,Round neckline,Plain,"Inseam pockets, elasticated waist, embroidery",Knee length,"26.5 "" (Size S)",Long,"34.5 "" (Size S)",Loose Fit,Loose fit,,,No,yes,No,No,No,sporty
30,850,,https://www.zalando.co.uk/swing-cocktail-dress-party-dress-gold-sg721c0ex-f11.html,Swing,Cocktail dress / Party dress,89.99,3,gold,,"95% polyester, 5% elastane","80% polyester, 20% elastane",,,,Zip,,Round neckline,,Slip,Short,Short,Short,"40.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,No,alternative
31,851,,https://www.zalando.co.uk/needle-and-thread-willow-ruffle-gown-occasion-wear-burgundy-nt521c0fw-g11.html,Needle & Thread,"WILLOW RUFFLE GOWN ",449.99,5,burgundy,Tulle,100% polyester,100% polyester,Dry cleanable,,,Zip,,Round neckline,Plain,,Maxi/long,Elbow length,Elbow length,"59.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,No,girly
32,852,,https://www.zalando.co.uk/only-onlclean-life-slim-dress-shift-dress-black-on321c2sm-q11.html,Only,"ONLCLEAN LIFE SLIM DRESS  ",17.99,1,black,Rib,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,Bodycon dresses,Round neckline,Plain,,Extra short,Short,Short,"30.5 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size S",,No,No,No,No,No,alternative
33,853,,https://www.zalando.co.uk/vila-vitinny-jersey-dress-v1021c0mm-k11.html,Vila,"VITINNY ",24.99,1,navy,Jersey,"79% polyester, 18% viscose, 3% elastane",,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",,,Zip,,Round neckline,Plain,Bust darts,Short,"18.0 "" (Size S)",Elbow length,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No,classic
34,854,,https://www.zalando.co.uk/needle-and-thread-emilana-short-sleeve-dress-cocktail-dress-party-dress-ice-blue-nt521c0f1-k11.html,Needle & Thread,"EMILANA SHORT SLEEVE DRESS ",394.99,5,silver,Tulle,100% polyester,100% polyester,Dry clean only,,,Zip,,Round neckline,Plain,"Slip, border, embroidery",Short,Short,Short,"35.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,girly
35,855,,https://www.zalando.co.uk/abercrombie-and-fitch-day-dress-green-solid-a0f21c09p-m11.html,Abercrombie & Fitch,Day dress,89.99,3,green,Jersey,"95% polyester, 5% elastane",,Machine wash at 30Â°C,,,Zip,,Boat neckline (wide),Plain,Bust darts,Extra short,Spaghetti straps,Spaghetti straps,"32.5 "" (Size S)",Slim Fit,Slim fit,,,No,No,No,No,Yes,trendy
36,856,,https://www.zalando.co.uk/hollister-co-day-dress-black-h0421c04z-q11.html,Hollister Co.,"BEST IS BACK WOVEN WRAP DRESS ",33.14,1,black,,100% viscose,,,,,Laces,,Low v-neck,Floral,,Extra short,Short,Short,"30.5 "" (Size SxS)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size SxS","14.0 "" (Size SxS)",No,No,No,No,No,girly
37,857,,https://www.zalando.co.uk/monki-day-dress-watery-dot-moq21c0bu-q11.html,Monki,Day dress,31.0,1,black/white,,100% polyester,,Machine wash at 40Â°C,,,Button,,Round neckline,Polka dot,,Calf length,"23.5 "" (Size S)",Long,"42.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,classic
38,858,,https://www.zalando.co.uk/cras-lili-dress-cocktail-dress-party-dress-pink-crg21c01d-j11.html,Cras,"LILI DRESS ",159.99,4,bright multi-coloured,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,,Round neckline,Prints in general,Bust darts,Calf length,Elbow length,Elbow length,"45.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","17.5 "" (Size 8)",No,No,No,No,No,trendy
39,859,,https://www.zalando.co.uk/never-fully-dressed-tall-retro-daisy-panel-dress-day-dress-multi-n0l21c01c-t11.html,Never Fully Dressed,"RETRO DAISY PANEL DRESS ",104.99,3,black multi-coloured,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,,Button,,Round neckline,Floral,Bust darts,Calf length,Long,Long,,Loose Fit,Loose fit,,,No,No,No,No,No,casual chic
40,860,,https://www.zalando.co.uk/yas-yasanglea-dress-occasion-wear-star-white-y0121c1sd-a11.html,Yas,"YASANGLEA DRESS ",174.99,4,white,,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Low v-neck,Plain,Slip,Maxi/long,Sleeveless,Sleeveless,"57.0 "" (Size S)",Regular Fit,Regular fit,,"11.5 "" (Size S)",No,No,No,No,No,girly
41,861,,https://www.zalando.co.uk/summery-copenhagen-iben-dress-day-dress-super-pink-cec21c03p-j11.html,SUMMERY Copenhagen,"IBEN DRESS ",194.99,4,pink,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",,,Laces,,Low v-neck,Checked,Bust darts,Short,"23.5 "" (Size S)",Long,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,girly
42,862,,https://www.zalando.co.uk/byoung-josa-tunic-dress-day-dress-copenhagen-night-mix-by221c0f7-k12.html,b.young,"BYJOSA TUNIC DRESS ",39.99,1,black/white,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Henley neckline,Prints in general,,Short,"26.0 "" (Size 8)",Long,"37.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)",No,No,No,No,No,edgy
43,863,,https://www.zalando.co.uk/diane-von-furstenberg-brioni-dress-cocktail-dress-party-dress-black-df221c0bh-q11.html,Diane von Furstenberg,"BRIONI DRESS ",365.0,5,black,Satin,100% silk,,Dry clean only,,,,,Cowl neckline,Plain,Adjustable straps,Calf length,Spaghetti straps,Spaghetti straps,"49.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,edgy
44,864,,https://www.zalando.co.uk/mango-day-dress-noir-m9121c5k6-q11.html,Mango,MALAWI,35.99,1,black,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",,,,,Low v-neck,Plain,,Calf length,Elbow length,Elbow length,,Loose Fit,Loose fit,,,No,No,No,No,No,edgy
45,865,,https://www.zalando.co.uk/2nd-day-cinzia-bounce-day-dress-oatmeal-s3821c06g-b11.html,2nd Day,"CINZIA BOUNCE ",109.99,3,sand,,"95% viscose, 4% cotton, 1% elastane",,Machine wash at 30Â°C,,,,,Square neckline,Plain,,Calf length,Short,Short,"45.0 "" (Size 8)",Regular Fit,Regular fit,,,No,No,No,No,No,girly
46,866,,https://www.zalando.co.uk/aligne-cocktail-dress-party-dress-black-aly21c011-q11.html,ALIGNE,"FRANCESCA LOW BACK SLIP DRESS WITH SELF TIE ",74.99,2,black,Satin,100% viscose,,Do not wash,,,,,Spaghetti straps,Plain,"Bust darts, adjustable straps",Calf length,Spaghetti straps,Spaghetti straps,"53.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,Yes,edgy
47,867,,https://www.zalando.co.uk/love-moschino-day-dress-blue-lo921c083-k11.html,Love Moschino,Day dress,154.99,4,blue,Sweat,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Prints in general,,Short,Short,Short,"32.5 "" (Size 8)",Regular Fit,Regular fit,,,No,No,No,No,No,alternative
48,868,,https://www.zalando.co.uk/only-onlmariana-myrina-dress-day-dress-black-on321c1cc-q12.html,Only,"ONLMARIANA MYRINA DRESS ",23.99,1,black,,"97% polyester, 3% elastane",,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Floral,Bow,Short,Short,Short,"36.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No,edgy
49,869,,https://www.zalando.co.uk/saint-tropez-louisesz-dress-day-dress-calypso-coral-s2821c0ef-g11.html,Saint Tropez,"LOUISESZ DRESS ",59.99,2,red,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,,,V-neck,Plain,,Knee length,"23.5 "" (Size S)",Long,"38.5 "" (Size S)",Loose Fit,Loose fit,,"15.5 "" (Size S)",No,No,No,No,No,classic
50,870,,https://www.zalando.co.uk/naf-naf-orient-cocktail-dress-party-dress-green-na521c19a-m11.html,NAF NAF,"ORIENT  ",74.99,2,electric blue,Satin,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Plain,Slip,Short,Long,Long,,Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","12.0 "" (Size 8)",No,No,No,No,No,casual chic
51,872,,https://www.zalando.co.uk/philosophy-di-lorenzo-serafini-day-dress-black-phh21c00n-q11.html,Philosophy di Lorenzo Serafini,Day dress,455.0,5,black,Chiffon,100% polyester,100% polyester,"Hand wash only, Dry cleanable",,,Zip,,Round neckline,Plain,Slip,Short,"23.0 "" (Size 10)",Long,"34.5 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)",No,No,No,No,No,edgy
52,873,,https://www.zalando.co.uk/jdy-short-dress-day-dress-black-jy121c0q4-q11.html,JDY,"SHORT DRESS ",18.99,1,black,Rib,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Floral,,,"23.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,Yes,casual chic
53,874,,https://www.zalando.co.uk/only-petite-onlvictoria-wrap-dress-day-dress-trench-coatbreaker-op421c0bu-q11.html,Only,"ONLVICTORIA WRAP DRESS ",30.99,1,black/brown,,"80% viscose, 20% nylon",,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Do not iron, Machine wash on gentle cycle",Standing collar,,Button,Accentuating the waist,,Animal Prints in general,Belt included,Short,"23.5 "" (Size S)",Long,"33.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 5""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No,trendy
54,875,,https://www.zalando.co.uk/danefa-koebenhavn-juli-dress-day-dress-mellow-yellow-fleurie-dai21c00h-e12.html,DanefÃ¦ KÃ¸benhavn,"JULI DRESS ",104.99,3,yellow,,100% cotton,,Machine wash at 30Â°C,,,Button,,Round neckline,Floral,Bust darts,Calf length,Elbow length,Elbow length,"49.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No,casual chic
55,876,,https://www.zalando.co.uk/gina-tricot-lio-dress-cocktail-dress-party-dress-black-gid21c08o-q11.html,Gina Tricot,"LIO DRESS ",25.99,1,black,Jersey,"97% polyester, 3% elastane",,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",,,,,Spaghetti straps,Plain,,Short,Spaghetti straps,Spaghetti straps,,Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,Yes,alternative
56,878,,https://www.zalando.co.uk/karl-lagerfeld-printed-kaftan-day-dress-dark-blue-k4821c053-o11.html,KARL LAGERFELD,"PRINTED KAFTAN ",349.99,5,navy,Satin,100% silk,,,Turn-down collar,Asymmetrical,Belt,Button down dresses,Round neckline,Prints in general,"Belt included, covered fastener",Calf length,"19.5 "" (Size S/M)",Long,"49.0 "" (Size S/M)",Loose Fit,Loose fit,,"15.5 "" (Size S/M)",No,No,No,No,Yes,alternative
57,879,,https://www.zalando.co.uk/minimum-ragatta-day-dress-crocodile-mi421c0bx-o11.html,Minimum,"RAGATTA ",69.99,2,brown,Jersey,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Accentuating the waist,Round neckline,Plain,Belt included,Calf length,Short,Short,"48.0 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,No,sporty
58,880,,https://www.zalando.co.uk/lauren-ralph-lauren-afara-cocktail-dress-party-dress-polo-black-l4221c1c6-q11.html,Ralph Lauren,"SLEEVELESS JERSEY DRESS ",139.99,4,black,Jersey,"53% cotton, 41% viscose, 6% elastane","95% polyester, 5% elastane",Machine wash at 30Â°C,,,Zip,Wrap dresses,Low v-neck,Plain,Slip,Knee length,Sleeveless,Sleeveless,"40.5 "" (Size 10)",Slim Fit,Slim fit,,,No,No,No,No,No,classic
59,882,,https://www.zalando.co.uk/only-onlinc-fenja-dress-shift-dress-flame-orange-on321c2qj-h11.html,Only,"ONLINC FENJA DRESS ",21.99,1,orange,Rib,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,Bodycon dresses,Round neckline,Floral,,Short,Sleeveless,Sleeveless,"34.5 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No,alternative
60,883,,https://www.zalando.co.uk/glamorous-tall-fixed-wrap-front-smock-dress-with-long-sleeves-day-dress-black-glc21c03e-q11.html,Glamorous,"FIXED WRAP FRONT SMOCK DRESS WITH LONG SLEEVES ",28.99,1,black,,"55% cotton, 45% polyester",100% cotton,"Do not tumble dry, machine wash at 30Â°C",,,,Wrap dresses,Low v-neck,Plain,Slip,Short,"25.0 "" (Size 8)",Long,"35.0 "" (Size 8)",Loose Fit,Loose fit,,"17.5 "" (Size 8)",No,No,No,No,No,edgy
