,Article number,Back material,Back width,Bottom part material,Care instructions,Collar,Contains non-textile parts of animal origin,Cut,Details,Fabric,Fastening,Filling,Fit,Front material,Insert material,Jacket length,Length,Licensed characters,Lining,Middle part material,Neckline,Our model's height,Outer fabric material,Outer leg length,Pattern,Pockets,Sheer,Sleeve length,Sleeve length.1,Sleeves material,Sport,Top part material,Total length,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,category,color,day dress,description,heading1,link,price
10,SU221C0NQ-K11,--,--,--,"Do not bleach, do not tumble dry",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Crew neck,--,"58% linen, 42% viscose",--,--,--,--,--,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,optic, Day dress,TEXTURED ,Superdry,https://www.zalando.co.uk/superdry-day-dress-optic-su221c0nq-k11.html,Â£34.99
11,SU221C0NQ-K11,--,--,--,"Do not bleach, do not tumble dry",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Crew neck,--,"58% linen, 42% viscose",--,--,--,--,--,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,TEXTURED ,Superdry,https://www.zalando.co.uk/superdry-day-dress-optic-su221c0nq-k11.html,Â£34.99
12,H0421C04U-Q11,--,--,--,Machine wash at 30Â°C,--,--,--,Bow,Jersey,Hook fasteningÂ ,--,Regular Fit,--,--,--,Short,--,--,--,Cache-coeur,--,"95% cotton, 5% elastane",--,Floral,--,--,Short,--,--,--,--,"32.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black/yellow, Day dress,CINCH DRESS ,Hollister Co.,https://www.zalando.co.uk/hollister-co-cinch-dress-day-dress-blackyellow-h0421c04u-q11.html,Â£22.94
13,H0421C04U-Q11,--,--,--,Machine wash at 30Â°C,--,--,--,Bow,Jersey,Hook fasteningÂ ,--,Regular Fit,--,--,--,Short,--,--,--,Cache-coeur,--,"95% cotton, 5% elastane",--,Floral,--,--,Short,--,--,--,--,"32.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,navy ditsy, Day dress,CINCH DRESS ,Hollister Co.,https://www.zalando.co.uk/hollister-co-cinch-dress-day-dress-blackyellow-h0421c04u-q11.html,Â£22.94
14,JY121C0KZ-Q11,--,"14.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Slip,Chiffon,--,--,Loose Fit,--,--,--,Extra short,--,100% polyester,--,Cache-coeur,--,100% polyester,--,Floral,--,--,"24.5 "" (Size 8)",--,--,--,--,"34.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black/grey, Day dress,JDYPENELOPE DRESS ,JDY,https://www.zalando.co.uk/jdy-jdypenelope-dress-day-dress-blackgrey-jy121c0kz-q11.html,Â£20.39
15,JY121C0KZ-Q11,--,"14.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Slip,Chiffon,--,--,Loose Fit,--,--,--,Extra short,--,100% polyester,--,Cache-coeur,--,100% polyester,--,Floral,--,--,"24.5 "" (Size 8)",--,--,--,--,"34.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,kalamata, Day dress,JDYPENELOPE DRESS ,JDY,https://www.zalando.co.uk/jdy-jdypenelope-dress-day-dress-blackgrey-jy121c0kz-q11.html,Â£20.39
16,JY121C0KZ-Q11,--,"14.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Slip,Chiffon,--,--,Loose Fit,--,--,--,Extra short,--,100% polyester,--,Cache-coeur,--,100% polyester,--,Floral,--,--,"24.5 "" (Size 8)",--,--,--,--,"34.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,sea spray/peach, Day dress,JDYPENELOPE DRESS ,JDY,https://www.zalando.co.uk/jdy-jdypenelope-dress-day-dress-blackgrey-jy121c0kz-q11.html,Â£20.39
17,ES421C1JX-K11,--,"15.5 "" (Size 10)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,"Belt included, elasticated waist",--,--,--,Regular Fit,--,--,--,Calf-length,--,--,--,Cache-coeur,"Our model is 5' 10""  tall and is wearing size 10",100% viscose,--,Print,--,--,Elbow length,--,--,--,--,"45.0 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,grey blue, Day dress,ECOVERO SILKDRE ,Esprit Collection,https://www.zalando.co.uk/esprit-collection-ecovero-silkdre-day-dress-grey-blue-es421c1jx-k11.html,From Â£75.00
18,EV421C17T-Q11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Rib,--,--,Bodycon,--,--,--,Calf-length,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","95% cotton, 5% elastane",--,Print,--,--,"22.5 "" (Size S)",--,--,--,--,"44.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black / grey / white, Day dress,DRESS ,Even&Odd,https://www.zalando.co.uk/evenandodd-dress-day-dress-black-grey-white-ev421c17t-q11.html,Â£30.99
19,FI021C06E-K11,--,"13.5 "" (Size 8)",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Belt included,--,Button,--,Regular Fit,--,--,--,Calf-length,--,--,--,Low-cut v-neck,"Our model is 5' 10""  tall and is wearing size 8",100% viscose,--,Floral,--,--,"26.5 "" (Size 8)",--,--,--,--,"50.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,dark blue, Day dress,VESTIDO MIDI CAMISE ,Springfield,https://www.zalando.co.uk/springfield-vestido-midi-camise-day-dress-dark-blue-fi021c06e-k11.html,Â£43.99
20,RD521C0M2-T11,--,"13.5 "" (Size S)",--,"Do not tumble dry, Hand wash only",--,--,--,"Slip, tassels, rhinestones",--,--,--,Regular Fit,--,--,--,Knee-length,--,100% cotton,--,Low-cut v-neck,--,100% cotton,--,Colourful,--,--,"24.5 "" (Size S)",--,--,--,--,"38.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,multi-coloured, Day dress,ALICANTE ROBE ,Derhy,https://www.zalando.co.uk/derhy-alicante-robe-day-dress-multi-coloured-rd521c0m2-t11.html,Â£119.99
21,AN621C1PC-Q11,--,"17.5 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Jersey,--,--,Slim Fit,--,--,--,Calf-length,--,--,--,Boat neck,"Our model is 5' 9""  tall and is wearing size S","95% polyester, 5% elastane",--,Floral,--,--,"17.5 "" (Size S)",--,--,--,--,"46.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black/green, Day dress,Quarter sleeves elevated casual midi dress ,Anna Field,https://www.zalando.co.uk/anna-field-quarter-sleeves-elevated-casual-midi-dress-day-dress-blackgreen-an621c1pc-q11.html,Â£23.99
22,AN621C1PC-Q11,--,"17.5 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Jersey,--,--,Slim Fit,--,--,--,Calf-length,--,--,--,Boat neck,"Our model is 5' 9""  tall and is wearing size S","95% polyester, 5% elastane",--,Floral,--,--,"17.5 "" (Size S)",--,--,--,--,"46.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,red, Day dress,Quarter sleeves elevated casual midi dress ,Anna Field,https://www.zalando.co.uk/anna-field-quarter-sleeves-elevated-casual-midi-dress-day-dress-blackgreen-an621c1pc-q11.html,Â£23.99
23,TO121C08R-K11,--,--,--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,--,--,--,PiquÃ©,--,--,Slim Fit,--,--,--,Short,--,--,--,--,"Our model is 5' 10""  tall and is wearing size S","96% cotton, 4% elastane",--,Plain,--,--,Short,--,--,--,--,"35.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,midnight, Day dress,HERITAGE SLIM DRESS ,Tommy Hilfiger,https://www.zalando.co.uk/tommy-hilfiger-heritage-slim-polo-dress-day-dress-midnight-to121c08r-k11.html,From Â£59.49
24,Y0121C1WT-T11,--,"12.5 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,"Bust darts, Crochet Detailing",--,Button,--,Loose Fit,--,--,--,Knee-length,--,--,--,--,--,100% viscose,--,Print,--,--,"20.5 "" (Size S)",--,--,--,--,"36.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,silver/pink, Day dress,YASGEOLA SHIRT DRESS ,YAS,https://www.zalando.co.uk/yas-yasgeola-shirt-dress-day-dress-silverpink-y0121c1wt-t11.html,Â£59.99
25,ES421C1IP-G11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,"Elasticated waist, slip",--,Button,--,Regular Fit,--,--,--,Calf-length,--,100% polyester,--,--,"Our model is 5' 9""  tall and is wearing size 10","95% polyamide, 5% elastane",--,Print,--,--,"23.0 "" (Size 10)",--,--,--,--,"45.5 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,bordeaux,,Day dress,Esprit Collection,https://www.zalando.co.uk/esprit-collection-new-print-day-dress-bordeaux-es421c1ip-g11.html,From Â£39.99
26,ES421C1IP-G11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,"Elasticated waist, slip",--,Button,--,Regular Fit,--,--,--,Calf-length,--,100% polyester,--,--,"Our model is 5' 9""  tall and is wearing size 10","95% polyamide, 5% elastane",--,Print,--,--,"23.0 "" (Size 10)",--,--,--,--,"45.5 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black ,,Day dress,Esprit Collection,https://www.zalando.co.uk/esprit-collection-new-print-day-dress-bordeaux-es421c1ip-g11.html,From Â£39.99
27,ES421C1IP-G11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,"Elasticated waist, slip",--,Button,--,Regular Fit,--,--,--,Calf-length,--,100% polyester,--,--,"Our model is 5' 9""  tall and is wearing size 10","95% polyamide, 5% elastane",--,Print,--,--,"23.0 "" (Size 10)",--,--,--,--,"45.5 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,dark blue 4,,Day dress,Esprit Collection,https://www.zalando.co.uk/esprit-collection-new-print-day-dress-bordeaux-es421c1ip-g11.html,From Â£39.99
28,ES421C1IP-K11,--,--,--,"Do not bleach, do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,--,--,Button,--,Regular Fit,--,--,--,Knee-length,--,100% polyester,--,--,--,"95% polyamide, 5% elastane",--,Print,--,--,Long,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,dark blue 4,,Day dress,Esprit Collection,https://www.zalando.co.uk/esprit-collection-day-dress-dark-blue-4-es421c1ip-k11.html,Â£39.99
29,ES421C1IP-K11,--,--,--,"Do not bleach, do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,--,--,Button,--,Regular Fit,--,--,--,Knee-length,--,100% polyester,--,--,--,"95% polyamide, 5% elastane",--,Print,--,--,Long,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black ,,Day dress,Esprit Collection,https://www.zalando.co.uk/esprit-collection-day-dress-dark-blue-4-es421c1ip-k11.html,Â£39.99
30,ES421C1IP-K11,--,--,--,"Do not bleach, do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,--,--,Button,--,Regular Fit,--,--,--,Knee-length,--,100% polyester,--,--,--,"95% polyamide, 5% elastane",--,Print,--,--,Long,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,bordeaux,,Day dress,Esprit Collection,https://www.zalando.co.uk/esprit-collection-day-dress-dark-blue-4-es421c1ip-k11.html,Â£39.99
31,RD521C0M4-T11,--,"13.5 "" (Size S)",--,Hand wash only,--,--,--,"Button row, border",--,Zip,--,Regular Fit,--,--,--,Long,--,--,--,Low-cut v-neck,--,100% viscose,--,Floral,--,--,Elbow length,--,--,--,--,"48.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,multi coloured, Day dress,AMANTHE ROBE ,Derhy,https://www.zalando.co.uk/derhy-amanthe-robe-day-dress-multi-coloured-rd521c0m4-t11.html,Â£99.99
32,N3P21C003-B11,--,"16.5 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,--,--,Button,--,Regular Fit,--,--,--,Short,--,--,--,--,--,100% polyester,--,Print,--,--,"25.5 "" (Size S)",--,--,--,--,"33.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,cloud dancer, Day dress,NEOPERLE ROUCHING DRESS ,Neon & Nylon,https://www.zalando.co.uk/neon-and-nylon-neoperle-rouching-dress-day-dress-cloud-dancer-n3p21c003-b11.html,Â£29.74
33,GP021C0KW-K12,--,"14.5 "" (Size 10)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button row,--,Zip,--,Regular Fit,--,--,--,Short,--,--,--,Low-cut v-neck,--,100% viscose,--,Floral,--,--,Short,--,--,--,--,"34.0 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,blue floral, Day dress,CAP SLEEVE BUTTON FRONT ,GAP,https://www.zalando.co.uk/gap-cap-sleeve-button-front-day-dress-blue-floral-gp021c0kw-k12.html,Â£46.74
34,GP021C0KW-K12,--,"14.5 "" (Size 10)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button row,--,Zip,--,Regular Fit,--,--,--,Short,--,--,--,Low-cut v-neck,--,100% viscose,--,Floral,--,--,Short,--,--,--,--,"34.0 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,dark blue/white, Day dress,CAP SLEEVE BUTTON FRONT ,GAP,https://www.zalando.co.uk/gap-cap-sleeve-button-front-day-dress-blue-floral-gp021c0kw-k12.html,Â£46.74
35,GP021C0KW-K12,--,"14.5 "" (Size 10)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button row,--,Zip,--,Regular Fit,--,--,--,Short,--,--,--,Low-cut v-neck,--,100% viscose,--,Floral,--,--,Short,--,--,--,--,"34.0 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,true black, Day dress,CAP SLEEVE BUTTON FRONT ,GAP,https://www.zalando.co.uk/gap-cap-sleeve-button-front-day-dress-blue-floral-gp021c0kw-k12.html,Â£46.74
36,JY121C0KZ-N11,--,"15.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Slip,Chiffon,--,--,Regular Fit,--,--,--,Short,--,100% polyester,--,Cache-coeur,"Our model is 5' 10""  tall and is wearing size 8",100% polyester,--,Floral,--,--,"24.5 "" (Size 8)",--,--,--,--,"32.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,kalamata, Day dress,JDYPENELOPE DRESS ,JDY,https://www.zalando.co.uk/jdy-jdypenelope-dress-day-dress-kalamata-jy121c0kz-n11.html,Â£23.99
37,JY121C0KZ-N11,--,"15.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Slip,Chiffon,--,--,Regular Fit,--,--,--,Short,--,100% polyester,--,Cache-coeur,"Our model is 5' 10""  tall and is wearing size 8",100% polyester,--,Floral,--,--,"24.5 "" (Size 8)",--,--,--,--,"32.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black/grey, Day dress,JDYPENELOPE DRESS ,JDY,https://www.zalando.co.uk/jdy-jdypenelope-dress-day-dress-kalamata-jy121c0kz-n11.html,Â£23.99
38,JY121C0KZ-N11,--,"15.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Slip,Chiffon,--,--,Regular Fit,--,--,--,Short,--,100% polyester,--,Cache-coeur,"Our model is 5' 10""  tall and is wearing size 8",100% polyester,--,Floral,--,--,"24.5 "" (Size 8)",--,--,--,--,"32.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,sea spray/peach, Day dress,JDYPENELOPE DRESS ,JDY,https://www.zalando.co.uk/jdy-jdypenelope-dress-day-dress-kalamata-jy121c0kz-n11.html,Â£23.99
39,RD521C0LF-K11,--,"15.0 "" (Size S)",--,"Do not tumble dry, Hand wash only",Turn-down collar,--,--,"Belt included, slip",--,Button,--,Regular Fit,--,--,--,Short,--,100% cotton,--,--,"Our model is 5' 10""  tall and is wearing size S",100% viscose,--,--,--,--,"19.5 "" (Size S)",--,--,--,--,"36.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,bleu/petrole, Day dress,AINOA ROBE ,Derhy,https://www.zalando.co.uk/derhy-ainoa-robe-day-dress-bleupetrole-rd521c0lf-k11.html,Â£99.99
40,S2821C08E-K11,--,"15.0 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,--,--,--,--,--,--,Normal fit,--,--,--,Knee-length,--,--,--,Low-cut v-neck,"Our model is 5' 10""  tall and is wearing size S",100% viscose,--,Plain,--,--,"16.5 "" (Size S)",--,--,--,--,"39.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,blue deep, Day dress,EDASZ SOLID DRESS ,Saint Tropez,https://www.zalando.co.uk/saint-tropez-edasz-solid-dress-day-dress-blue-deep-s2821c08e-k11.html,Â£34.99
41,S2821C08E-K11,--,"15.0 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,--,--,--,--,--,--,Normal fit,--,--,--,Knee-length,--,--,--,Low-cut v-neck,"Our model is 5' 10""  tall and is wearing size S",100% viscose,--,Plain,--,--,"16.5 "" (Size S)",--,--,--,--,"39.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,EDASZ SOLID DRESS ,Saint Tropez,https://www.zalando.co.uk/saint-tropez-edasz-solid-dress-day-dress-blue-deep-s2821c08e-k11.html,Â£34.99
42,S2821C08E-K11,--,"15.0 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,--,--,--,--,--,--,Normal fit,--,--,--,Knee-length,--,--,--,Low-cut v-neck,"Our model is 5' 10""  tall and is wearing size S",100% viscose,--,Plain,--,--,"16.5 "" (Size S)",--,--,--,--,"39.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,toasted coconut, Day dress,EDASZ SOLID DRESS ,Saint Tropez,https://www.zalando.co.uk/saint-tropez-edasz-solid-dress-day-dress-blue-deep-s2821c08e-k11.html,Â£34.99
